actor_type,num_followers,thread_id
0,86.0000,158
6,126391.0000,346
8,6059.0000,346
3,2251.5000,346
0,1345.0000,346
2,8437.0000,346
4,1957.0000,346
0,2881.5000,350
3,2442.3333,350
3,5434.6667,351
0,503.5000,351
2,2340.5000,351
8,4978.0000,351
4,1957.0000,353
0,3059.7143,353
3,2759.4000,353
2,20084.0000,361
0,1084.0000,363
3,3073.0000,363
4,6740.0000,363
0,702.0000,373
6,1516997.0000,373
4,4004.0000,373
3,2846.0000,373
3,10251.3333,376
0,694.7500,376
8,4339.5000,376
0,277.0000,384
8,3317.0000,385
0,652.3333,385
3,1928.3333,385
8,4978.0000,388
3,1927.0000,388
0,667.1818,388
0,592.3333,393
3,3334.0000,393
0,4460.0000,401
3,9420.0000,401
4,43652.0000,401
0,626.5000,412
0,692.0000,417
2,3039.0000,417
3,3256.3333,417
4,4004.0000,417
8,3874.0000,417
0,1294.0000,421
0,313.0000,427
4,14071.0000,427
3,9420.0000,427
2,5157.0000,427
3,2613.0000,429
0,651.0000,429
0,877.6667,447
3,3355.8571,447
4,3451.5000,447
4,14071.0000,453
0,832.0000,453
0,3364.6667,455
3,3842.0000,455
3,1829.6667,463
0,1205.2000,463
4,14071.0000,464
8,6059.0000,464
0,324.2500,478
3,2621.0000,478
3,4913.0000,488
0,838.0000,488
3,3483.0000,489
0,397.0000,489
6,1134.0000,506
0,840.7500,506
4,23060.0000,514
2,24693.5000,514
0,828.3333,515
3,2065.0000,515
3,2670.0000,528
2,22902.5000,528
0,786.2500,528
8,18612.0000,528
0,812.6667,552
3,1571.3333,552
3,2918.5000,553
0,565.0000,553
0,917.0000,578
0,290.0000,580
3,2034.2500,582
0,1398.0000,582
8,7695.2500,582
0,395.2000,601
0,29404.0000,611
4,4004.0000,615
0,2404.1667,615
3,818.0000,615
0,55.0000,619
0,303.0000,625
3,4730.8000,625
0,549.0000,626
8,4978.0000,626
3,3196.2500,626
0,999.0000,636
4,6740.0000,636
8,18612.0000,636
5,8171.6667,636
3,5109.9091,636
2,3105.5000,636
0,718.7500,640
4,4946.0000,653
6,1134.0000,653
3,2015.8000,653
8,4978.0000,653
0,669.1111,653
0,3465.5000,662
0,279.0000,668
3,724.0000,668
0,2184.0000,669
3,2497.3333,682
0,149.0000,682
0,625.7500,684
1,174659.0000,684
2,8078.0000,691
0,277.0000,696
3,4322.0000,717
4,1157.0000,717
2,5157.0000,717
0,492.0000,724
3,8260.5000,724
3,1945.3333,725
0,1275.6667,725
0,15040.0000,741
8,8037.0000,749
0,535.0000,749
0,253.0000,763
0,787.6667,787
3,2715.0000,787
0,944.3333,794
2,6617.5000,794
0,95.0000,817
3,9420.0000,817
4,4004.0000,817
0,945.6667,826
3,4123.5000,827
0,93.7500,827
3,1749.0000,831
2,5157.0000,831
0,727.0000,831
4,1157.0000,855
6,1134.0000,855
0,840.1818,855
8,6059.0000,855
3,2495.3333,855
3,2495.0000,859
4,14071.0000,859
0,437.2500,863
2,26335.0000,868
3,2020.0000,868
0,2679.5000,868
3,1342.5000,882
0,399.0000,882
0,858.0000,913
0,472.5000,926
2,2578.5000,926
3,1739.5000,929
0,798.8333,929
3,3197.0000,938
0,1351.5000,938
2,5157.0000,938
6,1134.0000,942
0,100867.3333,942
3,2459.0000,942
4,10084.0000,942
2,1002349.0000,984
0,2632.0000,984
0,177.0000,991
3,3497.0000,1014
2,26800.0000,1014
0,33474.0000,1014
4,4946.0000,1014
0,661.0000,1024
8,4978.0000,1028
0,774.0000,1028
4,387629.0000,1038
0,2158.6000,1038
3,4834.5000,1038
3,2447.7143,1061
0,1451.2500,1061
3,8863.0000,1062
0,4773.0000,1062
0,136.0000,1071
0,598.6000,1076
6,1134.0000,1076
1,483822.0000,1076
3,2296.0000,1089
0,967.0000,1113
3,3300.6667,1113
6,1134.0000,1123
3,3331.0000,1123
0,492.0000,1123
3,2613.0000,1131
6,1134.0000,1131
2,18299.0000,1131
3,1696.0000,1137
0,4022.5000,1137
3,3775.6000,1139
2,3039.0000,1139
0,1175.9444,1139
0,807.0000,1144
3,8863.0000,1144
0,719.5000,1155
3,5738.0000,1155
6,1134.0000,1161
0,348.0000,1161
3,1851.0000,1161
2,5157.0000,1161
0,367.0000,1171
6,3179.0000,1171
3,7254.0000,1171
3,1994.4286,1180
8,4978.0000,1180
0,2896.4667,1180
0,25.0000,1212
3,2004.0000,1212
0,113118.5000,1218
8,3317.0000,1218
0,933.7500,1229
3,1686.7500,1229
0,2464.0000,1247
3,8119.5000,1247
2,5157.0000,1247
3,2954.8000,1255
0,632.7143,1255
0,512.0000,1282
5,10952.0000,1305
0,397.0000,1305
1,174659.0000,1318
0,559.5000,1362
0,549.0000,1364
3,6584.5000,1364
3,3497.0000,1373
8,6059.0000,1373
4,1157.0000,1373
0,463.0000,1373
0,482.0000,1374
3,9420.0000,1374
8,3874.0000,1374
0,26711.5000,1382
3,3003.0000,1382
3,2846.0000,1407
0,1083.2857,1407
0,595.0417,1415
3,3658.0000,1415
3,8863.0000,1429
0,21.0000,1429
0,290.5000,1452
3,8863.0000,1454
0,614.0000,1476
0,1479.0000,1483
0,1925.0000,1487
2,17547.5000,1487
3,3497.0000,1487
3,1536.0000,1488
0,402.6667,1488
0,561.3333,1502
3,4913.0000,1502
0,357.3333,1504
3,4348.3333,1504
0,269.0000,1520
3,1669.0000,1534
0,237.0000,1534
4,1157.0000,1565
3,1524.0000,1565
0,65.5000,1565
2,15049.0000,1566
0,1583.5000,1566
3,2606.5000,1566
2,26335.0000,1581
3,3658.0000,1581
0,708.2500,1581
3,4797.0000,1583
0,614.0000,1583
0,16799.0000,1615
3,1509.0000,1628
0,13495.5000,1628
7,2113084.0000,1628
3,3215.0000,1633
3,1735.0000,1636
3,1623.0000,1647
8,3317.0000,1647
0,736.2500,1647
3,1669.0000,1662
4,4004.0000,1662
0,2025.5000,1662
8,3317.0000,1662
3,2415.0000,1669
0,109.0000,1669
3,2390.0000,1709
0,538.5000,1709
0,332.9231,1738
3,2088.7143,1738
3,4797.0000,1746
0,1821.3333,1759
8,18612.0000,1760
