| p_type |                   friends_count | thread_id |
|      0 |                         59.0000 |       158 |
|      6 |                       6701.0000 |       346 |
|      8 |                        367.0000 |       346 |
|      3 |                        804.5000 |       346 |
|      0 |                        242.8333 |       346 |
|      2 |                        577.0000 |       346 |
|      4 |                        292.0000 |       346 |
|      0 |                         51.2500 |       350 |
|      3 |                        775.6667 |       350 |
|      3 |                       1302.6667 |       351 |
|      0 |                        328.5000 |       351 |
|      2 |                        215.0000 |       351 |
|      8 |                        880.0000 |       351 |
|      4 |                        292.0000 |       353 |
|      0 |                        685.5714 |       353 |
|      3 |                        538.4000 |       353 |
|      2 |                       1035.0000 |       361 |
|      0 |                        414.0000 |       363 |
|      3 |                       2338.5000 |       363 |
|      4 |                        999.0000 |       363 |
|      0 |                        358.0000 |       373 |
|      6 |                        259.0000 |       373 |
|      4 |                        943.0000 |       373 |
|      3 |                         11.0000 |       373 |
|      3 |                        879.4444 |       376 |
|      0 |                        398.6250 |       376 |
|      8 |                        655.5000 |       376 |
|      0 |                        402.0000 |       384 |
|      8 |                        139.0000 |       385 |
|      0 |                        360.3333 |       385 |
|      3 |                        797.6667 |       385 |
|      8 |                        880.0000 |       388 |
|      3 |                        992.1429 |       388 |
|      0 |                        285.3636 |       388 |
|      0 |                        280.6667 |       393 |
|      3 |                       2223.0000 |       393 |
|      0 |                        263.6667 |       401 |
|      3 |                        348.0000 |       401 |
|      4 |                        449.0000 |       401 |
|      0 |                        199.0000 |       412 |
|      0 |                        352.5714 |       417 |
|      2 |                       1944.0000 |       417 |
|      3 |                       1219.6667 |       417 |
|      4 |                        943.0000 |       417 |
|      8 |                        463.0000 |       417 |
|      0 |                       1027.0000 |       421 |
|      0 |                        234.0000 |       427 |
|      4 |                        755.0000 |       427 |
|      3 |                        348.0000 |       427 |
|      2 |                        621.0000 |       427 |
|      3 |                        362.0000 |       429 |
|      0 |                        506.0000 |       429 |
|      0 |                        225.8333 |       447 |
|      3 |                        775.8571 |       447 |
|      4 |                        150.0000 |       447 |
|      4 |                        755.0000 |       453 |
|      0 |                        723.0000 |       453 |
|      0 |                       1228.0000 |       455 |
|      3 |                       1728.3333 |       455 |
|      3 |                        837.6667 |       463 |
|      0 |                        733.6000 |       463 |
|      4 |                        755.0000 |       464 |
|      8 |                        367.0000 |       464 |
|      0 |                        318.5000 |       478 |
|      3 |                       1022.0000 |       478 |
|      3 |                        795.0000 |       488 |
|      0 |                        267.0000 |       488 |
|      3 |                        141.0000 |       489 |
|      0 |                        450.0000 |       489 |
