|   type | thread_id |                       thread_id |
|      0 |       158 |                               1 |
|      0 |       346 |                               6 |
|      2 |       346 |                               2 |
|      3 |       346 |                               6 |
|      4 |       346 |                               1 |
|      6 |       346 |                               1 |
|      8 |       346 |                               1 |
|      0 |       350 |                               4 |
|      3 |       350 |                               3 |
|      0 |       351 |                               2 |
|      2 |       351 |                               2 |
|      3 |       351 |                               3 |
|      8 |       351 |                               1 |
|      0 |       353 |                               7 |
|      3 |       353 |                               5 |
|      4 |       353 |                               1 |
|      2 |       361 |                               1 |
|      0 |       363 |                               2 |
|      3 |       363 |                               2 |
|      4 |       363 |                               1 |
|      0 |       373 |                               2 |
|      3 |       373 |                               1 |
|      4 |       373 |                               1 |
|      6 |       373 |                               1 |
|      0 |       376 |                               8 |
|      3 |       376 |                               9 |
|      8 |       376 |                               2 |
|      0 |       384 |                               1 |
|      0 |       385 |                               3 |
|      3 |       385 |                               3 |
|      8 |       385 |                               1 |
|      0 |       388 |                              11 |
|      3 |       388 |                               7 |
|      8 |       388 |                               1 |
|      0 |       393 |                               3 |
|      3 |       393 |                               1 |
|      0 |       401 |                               3 |
|      3 |       401 |                               1 |
|      4 |       401 |                               1 |
|      0 |       412 |                               2 |
|      0 |       417 |                               7 |
|      2 |       417 |                               1 |
|      3 |       417 |                               6 |
|      4 |       417 |                               1 |
|      8 |       417 |                               1 |
|      0 |       421 |                               2 |
|      0 |       427 |                               2 |
|      2 |       427 |                               1 |
|      3 |       427 |                               1 |
|      4 |       427 |                               1 |
|      0 |       429 |                               1 |
|      3 |       429 |                               1 |
|      0 |       447 |                              12 |
|      3 |       447 |                               7 |
|      4 |       447 |                               2 |
|      0 |       453 |                               1 |
|      4 |       453 |                               1 |
|      0 |       455 |                               3 |
|      3 |       455 |                               3 |
|      0 |       463 |                               5 |
|      3 |       463 |                               3 |
|      4 |       464 |                               1 |
|      8 |       464 |                               1 |
|      0 |       478 |                               4 |
|      3 |       478 |                               4 |
|      0 |       488 |                               1 |
|      3 |       488 |                               1 |
|      0 |       489 |                               1 |
|      3 |       489 |                               1 |
|      0 |       506 |                               8 |
|      6 |       506 |                               1 |
|      2 |       514 |                               2 |
|      4 |       514 |                               3 |
|      0 |       515 |                               3 |
|      3 |       515 |                               3 |
|      0 |       528 |                               4 |
|      2 |       528 |                               2 |
|      3 |       528 |                               1 |
|      8 |       528 |                               1 |
|      0 |       552 |                               6 |
|      3 |       552 |                               3 |
|      0 |       553 |                               2 |
|      3 |       553 |                               2 |
|      0 |       578 |                               3 |
|      0 |       580 |                               1 |
|      0 |       582 |                               4 |
|      3 |       582 |                               4 |
|      8 |       582 |                               4 |
|      0 |       601 |                               5 |
|      0 |       611 |                               1 |
|      0 |       615 |                               6 |
|      3 |       615 |                               1 |
|      4 |       615 |                               1 |
|      0 |       619 |                               2 |
|      0 |       625 |                               1 |
|      3 |       625 |                               5 |
|      0 |       626 |                               2 |
|      3 |       626 |                               4 |
|      8 |       626 |                               1 |
|      0 |       636 |                               6 |
|      2 |       636 |                               2 |
|      3 |       636 |                              11 |
|      4 |       636 |                               1 |
|      5 |       636 |                               3 |
|      8 |       636 |                               1 |
|      0 |       640 |                               4 |
|      0 |       653 |                               9 |
|      3 |       653 |                               5 |
|      4 |       653 |                               1 |
|      6 |       653 |                               1 |
|      8 |       653 |                               1 |
|      0 |       662 |                               2 |
|      0 |       668 |                               2 |
|      3 |       668 |                               1 |
|      0 |       669 |                               1 |
|      0 |       682 |                               1 |
|      3 |       682 |                               3 |
|      0 |       684 |                               4 |
|      1 |       684 |                               1 |
|      2 |       691 |                               1 |
|      0 |       696 |                               1 |
|      2 |       717 |                               1 |
|      3 |       717 |                               1 |
|      4 |       717 |                               1 |
|      0 |       724 |                               3 |
|      3 |       724 |                               2 |
|      0 |       725 |                               6 |
|      3 |       725 |                               3 |
|      0 |       741 |                               3 |
|      0 |       749 |                               1 |
|      8 |       749 |                               1 |
|      0 |       763 |                               1 |
|      0 |       787 |                               6 |
|      3 |       787 |                               1 |
|      0 |       794 |                               6 |
|      2 |       794 |                               2 |
|      0 |       817 |                               1 |
|      3 |       817 |                               1 |
|      4 |       817 |                               1 |
|      0 |       826 |                               3 |
|      0 |       827 |                              40 |
|      3 |       827 |                               2 |
|      0 |       831 |                               1 |
|      2 |       831 |                               1 |
|      3 |       831 |                               1 |
|      0 |       855 |                              11 |
|      3 |       855 |                               6 |
|      4 |       855 |                               1 |
|      6 |       855 |                               1 |
|      8 |       855 |                               1 |
|      3 |       859 |                               2 |
|      4 |       859 |                               1 |
|      0 |       863 |                               4 |
|      0 |       868 |                               4 |
|      2 |       868 |                               1 |
|      3 |       868 |                               2 |
|      0 |       882 |                               8 |
|      3 |       882 |                               2 |
|      0 |       913 |                               1 |
|      0 |       926 |                               2 |
|      2 |       926 |                               2 |
|      0 |       929 |                               6 |
|      3 |       929 |                               4 |
|      0 |       938 |                               2 |
|      2 |       938 |                               1 |
|      3 |       938 |                               1 |
|      0 |       942 |                               3 |
|      3 |       942 |                               1 |
|      4 |       942 |                               1 |
|      6 |       942 |                               1 |
|      0 |       984 |                               1 |
|      2 |       984 |                               1 |
|      0 |       991 |                               1 |
|      0 |      1014 |                               1 |
|      2 |      1014 |                               1 |
|      3 |      1014 |                               1 |
|      4 |      1014 |                               1 |
|      0 |      1024 |                               1 |
|      0 |      1028 |                               3 |
|      8 |      1028 |                               1 |
|      0 |      1038 |                               5 |
|      3 |      1038 |                               2 |
|      4 |      1038 |                               1 |
|      0 |      1061 |                               4 |
|      3 |      1061 |                               7 |
|      0 |      1062 |                               3 |
|      3 |      1062 |                               1 |
|      0 |      1071 |                               1 |
|      0 |      1076 |                              20 |
|      1 |      1076 |                               1 |
|      6 |      1076 |                               1 |
|      3 |      1089 |                               2 |
|      0 |      1113 |                               7 |
|      3 |      1113 |                               3 |
|      0 |      1123 |                               2 |
|      3 |      1123 |                               1 |
|      6 |      1123 |                               1 |
|      2 |      1131 |                               1 |
|      3 |      1131 |                               1 |
|      6 |      1131 |                               1 |
|      0 |      1137 |                               2 |
|      3 |      1137 |                               1 |
|      0 |      1139 |                              18 |
|      2 |      1139 |                               1 |
|      3 |      1139 |                               5 |
|      0 |      1144 |                               1 |
|      3 |      1144 |                               1 |
|      0 |      1155 |                               2 |
|      3 |      1155 |                               2 |
|      0 |      1161 |                               3 |
|      2 |      1161 |                               1 |
|      3 |      1161 |                               2 |
|      6 |      1161 |                               1 |
|      0 |      1171 |                               4 |
|      3 |      1171 |                               1 |
|      6 |      1171 |                               2 |
|      0 |      1180 |                              15 |
|      3 |      1180 |                               7 |
|      8 |      1180 |                               1 |
|      0 |      1212 |                               1 |
|      3 |      1212 |                               1 |
|      0 |      1218 |                               6 |
|      8 |      1218 |                               1 |
|      0 |      1229 |                               4 |
|      3 |      1229 |                               4 |
|      0 |      1247 |                               2 |
|      2 |      1247 |                               1 |
|      3 |      1247 |                               2 |
|      0 |      1255 |                               7 |
|      3 |      1255 |                               5 |
|      0 |      1282 |                               1 |
|      0 |      1305 |                               1 |
|      5 |      1305 |                               1 |
|      1 |      1318 |                               1 |
|      0 |      1362 |                               2 |
|      0 |      1364 |                               4 |
|      3 |      1364 |                               2 |
|      0 |      1373 |                               3 |
|      3 |      1373 |                               1 |
|      4 |      1373 |                               1 |
|      8 |      1373 |                               1 |
|      0 |      1374 |                               5 |
|      3 |      1374 |                               1 |
|      8 |      1374 |                               1 |
|      0 |      1382 |                               6 |
|      3 |      1382 |                               3 |
|      0 |      1407 |                               7 |
|      3 |      1407 |                               1 |
|      0 |      1415 |                              24 |
|      3 |      1415 |                               1 |
|      0 |      1429 |                               1 |
|      3 |      1429 |                               1 |
|      0 |      1452 |                               2 |
|      3 |      1454 |                               1 |
|      0 |      1476 |                               1 |
|      0 |      1483 |                               2 |
|      0 |      1487 |                               2 |
|      2 |      1487 |                               2 |
|      3 |      1487 |                               1 |
|      0 |      1488 |                               9 |
|      3 |      1488 |                               2 |
|      0 |      1502 |                               3 |
|      3 |      1502 |                               1 |
|      0 |      1504 |                               3 |
|      3 |      1504 |                               3 |
|      0 |      1520 |                               1 |
|      0 |      1534 |                               1 |
|      3 |      1534 |                               1 |
|      0 |      1565 |                               2 |
|      3 |      1565 |                               7 |
|      4 |      1565 |                               1 |
|      0 |      1566 |                               2 |
|      2 |      1566 |                               1 |
|      3 |      1566 |                               2 |
|      0 |      1581 |                               4 |
|      2 |      1581 |                               1 |
|      3 |      1581 |                               1 |
|      0 |      1583 |                               1 |
|      3 |      1583 |                               1 |
|      0 |      1615 |                               2 |
|      0 |      1628 |                               2 |
|      3 |      1628 |                               1 |
|      7 |      1628 |                               1 |
|      3 |      1633 |                               1 |
|      3 |      1636 |                               1 |
|      0 |      1647 |                               4 |
|      3 |      1647 |                               1 |
|      8 |      1647 |                               1 |
|      0 |      1662 |                               2 |
|      3 |      1662 |                               1 |
|      4 |      1662 |                               1 |
|      8 |      1662 |                               1 |
|      0 |      1669 |                               1 |
|      3 |      1669 |                               1 |
|      0 |      1709 |                               6 |
|      3 |      1709 |                               1 |
|      0 |      1738 |                              26 |
|      3 |      1738 |                               7 |
|      3 |      1746 |                               1 |
|      0 |      1759 |                               3 |
|      8 |      1760 |                               1 |
|      0 |      1772 |                               2 |
|      2 |      1772 |                               1 |
|      3 |      1772 |                               2 |
|      6 |      1775 |                               1 |
|      0 |      1776 |                               3 |
|      3 |      1776 |                               1 |
|      4 |      1776 |                               3 |
|      0 |      1777 |                               2 |
|      3 |      1777 |                               1 |
|      4 |      1777 |                               2 |
|      0 |      1787 |                               1 |
|      0 |      1788 |                               8 |
|      3 |      1788 |                               2 |
|      4 |      1788 |                               2 |
|      8 |      1788 |                               1 |
|      0 |      1791 |                               9 |
|      0 |      1811 |                               2 |
|      3 |      1811 |                               1 |
|      0 |      1859 |                               1 |
|      2 |      1859 |                               1 |
|      0 |      1901 |                              10 |
|      0 |      1909 |                               3 |
|      3 |      1909 |                               2 |
|      0 |      1913 |                               1 |
|      2 |      1913 |                               1 |
|      3 |      1913 |                               1 |
|      4 |      1913 |                               1 |
|      0 |      1941 |                               1 |
|      2 |      1941 |                               1 |
|      3 |      1941 |                               1 |
|      4 |      1941 |                               1 |
|      0 |      2031 |                              12 |
|      3 |      2031 |                              10 |
|      0 |      2040 |                               4 |
|      1 |      2040 |                               1 |
|      8 |      2040 |                               1 |
|      0 |      2052 |                               1 |
|      0 |      2062 |                               3 |
|      1 |      2062 |                               1 |
|      8 |      2062 |                               1 |
|      0 |      2064 |                               1 |
|      3 |      2064 |                               1 |
|      0 |      2072 |                               3 |
|      0 |      2074 |                               2 |
|      3 |      2074 |                               3 |
|      0 |      2085 |                               3 |
|      0 |      2100 |                               6 |
|      3 |      2100 |                               3 |
|      6 |      2100 |                               1 |
|      2 |      2101 |                               1 |
|      0 |      2115 |                               4 |
|      3 |      2115 |                               1 |
|      0 |      2146 |                               2 |
|      3 |      2146 |                               3 |
|      8 |      2146 |                               1 |
|      0 |      2150 |                               2 |
|      3 |      2150 |                               2 |
|      4 |      2150 |                               1 |
|      0 |      2156 |                               1 |
|      1 |      2161 |                               2 |
|      4 |      2161 |                               2 |
|      4 |      2170 |                               1 |
|      3 |      2184 |                               1 |
|      6 |      2184 |                               1 |
|      0 |      2203 |                               1 |
|      2 |      2203 |                               1 |
|      0 |      2204 |                               1 |
|      3 |      2204 |                               1 |
|      0 |      2224 |                               3 |
|      3 |      2224 |                               4 |
|      0 |      2231 |                               1 |
|      2 |      2231 |                               1 |
|      0 |      2233 |                               3 |
|      2 |      2233 |                               1 |
|      4 |      2233 |                               1 |
|      0 |      2249 |                               1 |
|      3 |      2249 |                               1 |
|      0 |      2250 |                              17 |
|      2 |      2250 |                               1 |
|      3 |      2250 |                               2 |
|      0 |      2259 |                               1 |
|      0 |      2261 |                               1 |
|      3 |      2261 |                               1 |
|      0 |      2275 |                               5 |
|      3 |      2275 |                               3 |
|      0 |      2300 |                               8 |
|      3 |      2300 |                               4 |
|      0 |      2310 |                               5 |
|      0 |      2361 |                               1 |
|      0 |      2364 |                               1 |
|      0 |      2370 |                               2 |
|      0 |      2396 |                               2 |
|      3 |      2396 |                               2 |
|      8 |      2396 |                               1 |
|      0 |      2417 |                               1 |
|      0 |      2438 |                               1 |
|      2 |      2458 |                               1 |
|      4 |      2458 |                               2 |
|      0 |      2461 |                               1 |
|      0 |      2467 |                               1 |
|      3 |      2467 |                               1 |
|      0 |      2476 |                               8 |
|      3 |      2476 |                               3 |
|      8 |      2476 |                               1 |
|      0 |      2490 |                               1 |
|      3 |      2490 |                               1 |
|      2 |      2492 |                               1 |
|      3 |      2492 |                               2 |
|      0 |      2529 |                              28 |
|      0 |      2530 |                               1 |
|      0 |      2536 |                               1 |
|      0 |      2544 |                               2 |
|      3 |      2544 |                               1 |
|      0 |      2545 |                               1 |
|      0 |      2546 |                               2 |
|      3 |      2546 |                               5 |
|      6 |      2546 |                               1 |
|      8 |      2546 |                               1 |
|      0 |      2558 |                               2 |
|      1 |      2558 |                               1 |
|      3 |      2558 |                               1 |
|      3 |      2566 |                               4 |
|      0 |      2570 |                               2 |
|      6 |      2570 |                               1 |
|      0 |      2593 |                               2 |
|      2 |      2593 |                               1 |
|      4 |      2593 |                               1 |
|      0 |      2596 |                               1 |
|      0 |      2621 |                               2 |
|      3 |      2621 |                               1 |
|      0 |      2628 |                               4 |
|      3 |      2628 |                               1 |
|      5 |      2628 |                               1 |
|      8 |      2628 |                               1 |
|      0 |      2643 |                               1 |
|      1 |      2643 |                               1 |
|      2 |      2643 |                               1 |
|      3 |      2676 |                               1 |
|      0 |      2680 |                               1 |
|      0 |      2710 |                               1 |
|      2 |      2710 |                               1 |
|      5 |      2710 |                               1 |
|      0 |      2725 |                               3 |
|      3 |      2725 |                               5 |
|      0 |      2751 |                               1 |
|      0 |      2763 |                               1 |
|      0 |      2774 |                               2 |
|      3 |      2774 |                               1 |
|      6 |      2774 |                               1 |
|      0 |      2805 |                               6 |
|      3 |      2805 |                               1 |
|      0 |      2820 |                               3 |
|      3 |      2820 |                               1 |
|      0 |      2826 |                               4 |
|      0 |      2832 |                               4 |
|      3 |      2832 |                               3 |
|      4 |      2832 |                               1 |
