thread_id,duration,num_posts
8187,13582,37
6222,372327,88
2161,12360,41
1113,17907,41
1244,294897,96
7860,12090,32
393,9966,52
2751,42924,33
9367,18382,37
3341,38760,71
2031,443662,193
9695,89388,50
787,60833,50
2359,5546,59
2490,36153,49
2621,52278,40
1180,347420,342
3080,10310,45
1901,12647,34
3735,39967,52
984,37202,34
3997,83771,58
4259,15253,90
9434,8879,37
3277,11300,119
6814,13692,31
3932,18955,60
7076,76749,38
6356,159587,50
4129,29959,40
1247,23589,33
5832,7828,36
5963,40241,31
53451,291860,153
12055,32571,55
6422,4606,34
5243,100849,52
2361,124882,84
2492,24910,37
1772,179324,259
724,10647,45
855,68393,324
2558,9427,33
7012,11932,32
4261,43089,46
2820,71130,39
3410,102779,52
528,64706,97
6423,50565,43
2100,261261,93
2231,58151,108
463,53730,48
725,20275,99
4524,59935,34
2101,109262,33
3215,43694,36
464,62419,124
10748,6674,35
6425,29304,37
5115,31707,30
2233,31267,50
2364,83171,50
2888,67223,56
1709,8951,39
9766,45401,43
1382,54280,59
1775,71109,35
6426,66059,34
662,22390,36
5247,209561,53
1579,25220,34
4789,41033,43
2300,86841,136
859,70608,40
4527,170751,196
1776,45013,82
401,48458,39
532,326401,81
794,10714,52
2628,32412,51
1318,129265,70
5772,82851,89
37409,425161,53
6493,40607,46
2170,34498,47
991,28209,39
1777,173042,240
926,181935,109
1581,36174,47
10031,369438,113
9114,157804,34
8066,45868,31
2040,70956,143
5053,11553,48
1123,153456,71
2826,37533,36
5970,248890,112
1647,438562,44
1909,110514,104
15992,64112,35
7084,45330,40
3023,279360,35
4595,37879,30
4006,25625,38
1255,28092,72
8133,208629,30
6561,31056,45
3810,181300,38
2893,182642,40
1452,34109,51
1583,40998,34
7478,137495,54
6299,29482,35
601,354760,52
863,50040,44
2566,13204,34
2370,159062,49
929,34723,63
6955,14278,37
2763,44699,47
4597,380554,90
16715,47777,51
15995,368304,50
668,62287,154
1061,154483,70
1454,174928,72
4991,973,37
19598,94570,33
5450,130001,37
1520,6585,37
1913,141423,137
669,6381,69
1062,76693,163
2896,19510,51
3027,83237,46
2438,102575,46
5451,32797,57
3093,53265,30
3224,99213,55
4796,26162,46
6499,9184,38
2570,153749,76
2832,394789,60
1195,235876,37
868,6783,44
4274,71224,47
4929,84362,65
12462,13628,33
6698,15351,44
4995,54297,35
19602,9103,34
8467,30986,47
2310,120833,45
1131,7769,31
3358,52547,40
4930,39143,43
11284,72010,32
15149,39626,30
1787,104914,127
346,75607,119
3294,41743,38
412,211940,104
2115,64729,46
3687,171110,35
12137,48307,31
4408,20356,32
3229,70584,150
1788,93160,108
478,64176,47
55826,363851,30
14430,6813,40
3950,58371,42
3295,56737,36
6112,1,30
741,114981,98
6636,6850,42
12073,19740,34
10632,11758,31
1331,28575,32
938,41627,37
22095,222136,32
12008,18192,34
9257,52352,31
3231,38317,43
2052,18245,49
611,42371,35
2249,16080,86
5262,68479,138
8603,9405,34
5459,127795,45
3101,19528,30
1791,55302,118
350,196116,38
2184,25506,59
1071,24055,46
2643,33582,59
2774,53069,58
2250,121395,133
1137,66355,51
351,254474,169
2906,49847,42
417,240097,849
20002,143857,43
2710,188226,50
