actor_type,avg_number_followers,thread_id
3,1226.0000,20
0,389.0000,20
2,3172.0000,568
3,2529.5000,568
0,270.0000,568
0,431.7500,617
2,15049.0000,617
3,2392.0000,617
0,2803.4000,818
3,3567.2500,818
0,2178.5714,828
4,1957.0000,828
3,1291.0000,828
3,4049.8571,862
2,15049.0000,862
0,2069.0000,862
3,1648.7500,1195
0,708.0000,1195
0,625.5000,1197
5,10952.0000,1197
3,3023.5000,1197
0,2138.0000,1305
3,2010.5000,1639
2,15049.0000,1639
8,6059.0000,1639
0,19388.7500,1744
3,922.0000,1744
8,6059.0000,1767
4,1157.0000,1767
0,5400.0000,1767
3,2550.0000,1767
2,3172.0000,2391
3,2211.3333,2391
8,8037.0000,2571
2,3172.0000,2571
0,1071.2500,2571
3,1882.0000,2571
3,2186.0000,2612
0,3560.0000,2612
2,15049.0000,2612
3,2695.4286,2622
0,179.4000,2622
3,2550.0000,2691
0,68.0000,2691
0,69.3000,2692
0,662.2500,3134
3,3429.0000,3134
0,157.6000,3843
0,1016.0000,4559
0,3402.5000,4561
4,10084.0000,4561
3,2060.5714,4561
8,4340.6667,4561
3,1214.0000,4584
0,2132.2500,4584
0,3380.8571,4645
3,1478.0000,4645
5,9553.0000,5145
0,720.6667,5145
5,9553.0000,5309
0,2505.0000,5309
3,1669.0000,5309
0,547.5000,5432
3,1669.0000,5467
0,664.3333,5467
0,17.7000,5587
3,3816.6667,5747
0,814.0000,5747
2,3792.0000,5747
0,94.0000,5847
0,4508.0000,6083
3,8285.5000,6083
3,1153.5000,6189
4,26748.6667,6189
5,2611.0000,6189
0,2718.0000,6189
0,2858.0000,6612
0,225.2000,7101
3,2272.3333,7101
5,13215.0000,7101
0,136.5000,7114
3,1377.7500,7114
8,2620.0000,7187
3,1735.0000,7187
0,105.0000,7187
3,1394.0000,7540
0,2773.6667,7540
3,1337.0000,7854
0,6104.0000,7854
0,1147.7500,7875
3,3701.3333,7875
2,15049.0000,7875
4,2576.0000,7875
0,747.0000,8298
0,3532.0000,8894
3,3675.5000,8894
4,20830.0000,8976
0,1368.0000,8976
3,2550.0000,8976
0,1303.5000,9818
3,3578.6667,9818
0,6104.0000,9821
0,33474.0000,9823
3,2506.0000,9823
2,15049.0000,9823
7,2113084.0000,9825
0,15268.0000,9828
3,2764.0000,9832
3,4266.5000,9855
0,1740.0000,9855
3,2455.0000,9858
8,6059.0000,9858
0,2168.0000,9858
2,3172.0000,9874
0,4280.0000,9874
3,3497.0000,9874
1,9197.0000,9874
4,10993.5000,9874
0,7046.0000,9894
3,1291.0000,9894
0,515.0000,9897
3,2985.2000,9897
8,2620.0000,9897
3,2137.5000,9910
0,472.0000,9910
0,2381.0000,9920
6,911501.0000,9920
4,4818.0000,9920
3,5993.0000,9920
0,533.6667,9925
3,6584.5000,9958
8,8037.0000,9958
0,1575.5000,9965
3,5416.4000,9965
0,134.0000,9966
0,4619.3333,9975
0,1066.0000,9978
6,3179.0000,10000
3,3334.0000,10001
0,11768.0000,10008
3,2340.0000,10017
0,409.0000,10017
3,2808.0000,10022
0,40192.0000,10022
2,5287.0000,10022
4,3948.5000,10022
8,8037.0000,10029
3,3657.0000,10029
0,2632.0000,10029
0,15090.0000,10030
2,3044.0000,10030
4,1157.0000,10050
0,3961.6667,10051
3,2380.0000,10051
0,2269.0000,10070
0,84.5000,10072
3,2570.5000,10072
3,2030.0000,10074
4,305336.0000,10089
0,2783.6000,10112
3,3411.0000,10112
3,1509.0000,10140
0,749.0000,10140
0,1207.2500,10177
3,3890.3333,10177
0,1023.0000,10189
3,1714.0000,10189
0,338.5000,10201
2,3172.0000,10206
0,1087.0000,10206
3,1412.2500,10206
8,2365.0000,10206
0,535.0000,10216
0,226.6667,10238
3,1696.0000,10240
0,416.0000,10240
0,2256.2857,10279
3,4755.8000,10279
4,117837.0000,10295
0,713.5000,10314
3,2957.5000,10329
0,952.0000,10329
0,955.0909,10331
3,2025.5000,10339
0,2037.8889,10339
0,3464.3333,10350
3,2415.0000,10350
8,6059.0000,10350
0,2509.7143,10354
4,58259.0000,10354
3,3053.0000,10354
2,37542.0000,10354
8,6059.0000,10358
0,397.0000,10358
0,223.0000,10371
0,106.0000,10382
0,2878.0000,10400
0,274.0000,10412
0,384.5000,10419
0,655.3333,10443
3,1586.0000,10443
3,1896.0000,10453
8,6059.0000,10453
0,2239.6667,10453
4,1957.0000,10453
2,15049.0000,10453
0,13512.0000,10455
3,3053.0000,10457
0,6222.0000,10457
8,3317.0000,10479
0,501.3333,10479
0,1450.9000,10493
2,1825.0000,10497
5,10952.0000,10548
8,5698.6667,10548
3,2645.5000,10548
0,1632.1429,10548
4,7060.0000,10548
0,5754.0000,10549
0,377.3333,10562
3,2520.4000,10614
0,406.3333,10614
3,1829.0000,10630
8,2620.0000,10630
0,3811.5000,10630
0,74.0000,10631
0,774.0000,10637
4,7060.0000,10654
0,2664.5000,10654
3,2288.0000,10654
0,159769.0000,10660
0,5357.0000,10674
3,4577.5000,10674
0,3160.0000,10691
0,2716.6667,10693
3,3945.0000,10693
0,1562.5833,10713
0,2075.6667,10729
3,5375.5000,10739
0,4406.5000,10739
0,1583.5000,10786
3,3569.0000,10786
0,486.5000,10814
3,851.0000,10814
0,928.0000,10848
2,15049.0000,10856
3,2910.5000,10856
0,1442.8000,10856
4,1157.0000,10856
0,1218.0000,10879
0,829.3333,10883
3,4797.0000,10897
4,305336.0000,10897
3,2390.0000,10905
0,1644.5000,10908
0,956.5000,10918
0,1002.4545,10937
0,2438.0000,10945
1,3829129.0000,10947
3,6779.6667,10969
0,1310.0000,10969
0,1679.7500,11035
4,1157.0000,11102
0,397.0000,11102
7,2113084.0000,11176
0,2244.5000,11176
0,1487.0000,11178
8,6059.0000,11178
0,535.0000,11180
5,10952.0000,11197
0,512.0000,11197
0,137.5000,11266
0,1927.0000,11283
8,8037.0000,11283
0,1860.0000,11307
0,1370.0000,11330
0,9759.0000,11346
0,10185.0000,11353
8,3874.0000,11360
0,807.0000,11360
0,6383.5000,11369
0,427.5000,11388
3,2264.3333,11388
0,1694.5000,11418
5,9553.0000,11418
0,226.0000,11423
1,1984317.5000,11436
3,3334.0000,11436
7,2113084.0000,11438
3,1214.0000,11443
0,3977.0000,11443
3,4436.3333,11453
0,773.0000,11453
0,848.0000,11469
3,8863.0000,11469
0,1858.5000,11498
0,4012.0000,11499
5,71007.0000,11519
0,90.0000,11561
0,438.0000,11599
8,4688.0000,11624
0,546.6667,11624
3,3497.0000,11624
0,459.0000,11633
