actor_type,avg_friends,thread_id
3,151.0000,20
0,118.3333,20
2,87.0000,568
3,1189.0000,568
0,166.0000,568
0,253.5000,617
2,536.0000,617
3,1054.0000,617
0,391.8000,818
3,1695.5000,818
0,765.4286,828
4,292.0000,828
3,255.0000,828
3,1171.2857,862
2,536.0000,862
0,391.0000,862
3,1079.7500,1195
0,10.0000,1195
0,672.5000,1197
5,448.0000,1197
3,1173.5000,1197
0,158.0000,1305
3,1374.0000,1639
2,536.0000,1639
8,367.0000,1639
0,187.2500,1744
3,419.0000,1744
8,367.0000,1767
4,271.0000,1767
0,186.0000,1767
3,1920.0000,1767
2,87.0000,2391
3,1794.3333,2391
8,2513.0000,2571
2,87.0000,2571
0,316.0000,2571
3,1157.0000,2571
3,304.0000,2612
0,694.0000,2612
2,536.0000,2612
3,836.0000,2622
0,61.8000,2622
3,1920.0000,2691
0,1.0000,2691
0,4.8500,2692
0,153.2500,3134
3,460.0000,3134
0,24.0000,3843
0,170.3333,4559
0,886.2500,4561
4,686.0000,4561
3,701.2857,4561
8,1452.0000,4561
3,394.0000,4584
0,300.7500,4584
0,498.0000,4645
3,487.6667,4645
5,293.0000,5145
0,163.6667,5145
5,293.0000,5309
0,84.0000,5309
3,289.0000,5309
0,165.0000,5432
3,289.0000,5467
0,209.6667,5467
0,0.2500,5587
3,790.3333,5747
0,1257.0000,5747
2,293.0000,5747
0,78.0000,5847
0,322.3333,6083
3,155.0000,6083
3,347.0000,6189
4,1349.3333,6189
5,1503.0000,6189
0,276.6667,6189
0,3146.0000,6612
0,82.8000,7101
3,640.0000,7101
5,3.0000,7101
0,27.0000,7114
3,204.0000,7114
8,944.0000,7187
3,170.0000,7187
0,398.0000,7187
3,1051.0000,7540
0,681.6667,7540
3,632.0000,7854
0,384.0000,7854
0,468.5000,7875
3,1688.3333,7875
2,536.0000,7875
4,2154.0000,7875
0,325.5000,8298
0,530.2000,8894
3,951.2500,8894
4,1535.0000,8976
0,240.0000,8976
3,1920.0000,8976
0,316.0000,9818
3,507.3333,9818
0,384.0000,9821
0,351.0000,9823
3,418.0000,9823
2,536.0000,9823
7,312.0000,9825
0,677.0000,9828
3,222.5000,9832
3,2067.0000,9855
0,3.0000,9855
3,736.0000,9858
8,367.0000,9858
0,332.2500,9858
2,87.0000,9874
0,1591.5000,9874
3,427.0000,9874
1,182.0000,9874
4,903.0000,9874
0,1067.0000,9894
3,255.0000,9894
0,533.6000,9897
3,797.4000,9897
8,944.0000,9897
3,903.8333,9910
0,341.0000,9910
0,497.5000,9920
6,0.0000,9920
4,1280.0000,9920
3,2017.5000,9920
0,320.6667,9925
3,672.5000,9958
8,2513.0000,9958
0,430.6667,9965
3,236.2000,9965
0,172.0000,9966
0,487.0000,9975
0,285.2000,9978
6,1285.0000,10000
3,2223.0000,10001
0,65.7500,10008
3,411.0000,10017
0,0.0000,10017
3,1127.2000,10022
0,221.4444,10022
2,237.0000,10022
4,635.0000,10022
8,2513.0000,10029
3,240.7500,10029
0,519.0000,10029
0,381.5000,10030
2,827.0000,10030
4,271.0000,10050
0,259.3333,10051
3,286.0000,10051
0,2.0000,10070
0,44.0000,10072
3,1778.5000,10072
3,707.0000,10074
4,251.0000,10089
0,184.6000,10112
3,1775.5000,10112
3,1330.0000,10140
0,400.0000,10140
0,908.0000,10177
3,412.3333,10177
0,345.6667,10189
3,1159.0000,10189
0,254.0000,10201
2,87.0000,10206
0,254.3333,10206
3,633.5000,10206
8,899.0000,10206
0,226.0000,10216
0,90.0000,10238
3,923.0000,10240
0,352.0000,10240
0,255.4286,10279
3,562.6000,10279
4,89180.0000,10295
0,589.6000,10314
3,699.0000,10329
0,741.0000,10329
0,745.7273,10331
3,1978.5000,10339
0,265.2222,10339
0,261.6667,10350
3,1154.0000,10350
8,367.0000,10350
0,762.0000,10354
4,2242.0000,10354
3,3190.0000,10354
2,35686.0000,10354
8,367.0000,10358
0,450.0000,10358
0,102.6000,10371
0,1.0000,10382
0,150.5000,10400
0,10.5000,10412
0,884.5000,10419
0,396.0000,10443
3,208.0000,10443
3,684.0000,10453
8,367.0000,10453
0,413.0000,10453
4,292.0000,10453
2,536.0000,10453
0,4143.0000,10455
3,3190.0000,10457
0,2409.6000,10457
8,139.0000,10479
0,249.3333,10479
0,1193.8000,10493
2,618.0000,10497
5,448.0000,10548
8,538.0000,10548
3,1343.2500,10548
0,312.7143,10548
4,406.0000,10548
0,1001.0000,10549
0,95.6667,10562
3,812.6000,10614
0,349.0000,10614
3,1027.0000,10630
8,944.0000,10630
0,595.5000,10630
0,321.0000,10631
0,452.0000,10637
4,406.0000,10654
0,215.0000,10654
3,667.5000,10654
0,171.0000,10660
0,582.0000,10674
3,1783.0000,10674
0,2997.0000,10691
0,300.3333,10693
3,588.3333,10693
0,1082.7500,10713
0,146.6667,10729
3,312.5000,10739
0,254.5000,10739
0,372.5000,10786
3,441.0000,10786
0,228.0000,10814
3,426.0000,10814
0,3.0000,10848
2,536.0000,10856
3,1278.2500,10856
0,188.0000,10856
4,271.0000,10856
0,11.0000,10879
0,399.0000,10883
3,166.0000,10897
4,251.0000,10897
3,1031.0000,10905
0,981.5000,10908
0,691.0000,10918
0,868.0000,10937
0,1552.0000,10945
1,31.0000,10947
3,800.0000,10969
0,198.0000,10969
0,1365.5000,11035
4,271.0000,11102
0,450.0000,11102
7,312.0000,11176
0,136.5000,11176
0,218.2000,11178
8,367.0000,11178
0,226.0000,11180
5,448.0000,11197
0,403.0000,11197
0,40.5000,11266
0,437.5000,11283
8,2513.0000,11283
0,207.0000,11307
0,1732.3333,11330
0,2.0000,11346
0,10843.0000,11353
8,463.0000,11360
0,238.0000,11360
0,1787.5000,11369
0,161.5000,11388
3,1612.0000,11388
0,161.7500,11418
5,293.0000,11418
0,227.5000,11423
1,293.0000,11436
3,2223.0000,11436
7,312.0000,11438
3,394.0000,11443
0,106.5000,11443
3,1027.6667,11453
0,8.0000,11453
0,352.0000,11469
3,780.0000,11469
0,2063.0000,11498
0,3979.0000,11499
5,14.0000,11519
0,75.0000,11561
0,1.0000,11599
8,253.0000,11624
0,228.6667,11624
3,427.0000,11624
0,304.0000,11633
3,780.0000,11633
0,673.2000,11722
0,1220.6154,11859
0,188.5000,11872
0,38.0000,11874
0,2773.6667,11906
0,245.0000,11939
3,526.0000,11939
0,321.0000,12016
0,546.8571,12110
0,1615.5000,12124
0,1472.2857,12171
0,256.0000,12195
2,536.0000,12282
0,282.0000,12282
3,1627.0000,12282
0,352.0000,12318
3,1837.0000,12325
0,261.0000,12325
2,399.0000,12358
0,530.0000,12358
4,2242.0000,12358
0,344.6667,12371
0,856.8333,12405
1,555.0000,12405
0,240.5000,12439
3,1172.3333,12439
0,105.0000,12526
0,16.0000,12538
3,733.0000,12538
7,312.0000,12564
0,0.0000,12564
0,349.0000,12736
0,1128.5000,12766
3,632.0000,12770
0,1.0000,12770
3,297.0000,12800
0,1243.4000,12800
2,633.0000,12833
0,60.2500,12833
4,599.0000,12833
3,802.5000,12833
0,2492.6667,12873
0,1.0000,12930
3,3190.0000,12951
0,763.3333,12951
0,2001.0000,12968
0,291.0000,13007
8,367.0000,13007
3,665.0000,13007
3,286.0000,13045
0,171.5000,13045
0,331.5000,13092
3,302.4000,13092
0,13.3333,13292
0,71.0000,13329
0,194.0000,13370
0,1.0000,13376
3,254.0000,13393
0,102.0000,13393
8,367.0000,13393
1,31.0000,13447
3,289.0000,13457
0,88.0000,13457
3,286.0000,13544
0,208.5000,13544
3,891.6667,13559
0,629.1429,13559
0,253.6667,13590
3,511.0000,13590
0,105.0000,13595
3,727.0000,13595
0,2404.0000,13604
0,133.0000,13634
3,2599.0000,13634
0,199.7500,13674
3,1920.0000,13674
2,87.0000,13674
3,1920.0000,13724
0,191.5000,13724
0,656.0000,13725
3,327.0000,13725
1,177.0000,13731
0,424.3333,13731
0,903.0000,13769
0,5.0000,13775
0,452.7500,13781
0,215.0000,13823
3,780.0000,13823
3,195.0000,13867
7,312.0000,13867
0,546.1667,13886
3,733.0000,13886
0,282.6000,13900
3,1550.0000,13900
0,1531.6000,13910
0,714.0000,13941
0,314.5000,13965
0,330.0000,13982
3,218.0000,13982
3,1920.0000,14000
0,111.3333,14000
0,452.0000,14066
2,621.0000,14090
8,139.0000,14090
0,226.0000,14090
3,1920.0000,14090
3,1845.6667,14100
8,899.0000,14100
0,429.0000,14100
0,947.3846,14116
0,992.5000,14117
3,711.0000,14117
0,168.5000,14130
3,1920.0000,14153
0,1333.4000,14164
3,1920.0000,14220
4,1421.0000,14220
0,1717.5000,14220
0,1723.5000,14227
0,207.0000,14279
3,359.0000,14279
0,1276.5000,14373
0,144.3333,14436
3,1035.5000,14476
0,31.5000,14476
0,1001.0000,14666
0,352.0000,14696
3,883.0000,14793
0,309.0000,14793
0,43.0000,15019
0,16.0000,15027
2,87.0000,15027
8,899.0000,15027
3,324.5000,15027
3,632.0000,15031
4,755.0000,15083
0,1428.5000,15292
2,536.0000,15309
3,583.0000,15309
0,314.6000,15309
0,502.0000,15468
3,378.7500,15470
0,299.6667,15470
8,367.0000,15470
3,3190.0000,15479
3,3190.0000,15524
0,19.0000,15524
0,1.0000,15777
1,208.0000,15831
0,998.2500,15831
0,12.6667,15850
2,148.0000,15874
0,534.3333,15874
0,78.0000,15903
2,87.0000,15971
0,9.0000,15971
4,2154.0000,15971
0,405.4000,16080
0,236.6667,16328
3,1130.8000,16328
0,1018.0000,16353
2,1029.0000,16360
3,573.3333,16360
0,351.0000,16360
0,1007.3333,16407
0,180.0000,16415
3,1272.0000,16415
0,1.0000,16527
0,1.0000,16586
0,1470.1250,16704
8,139.0000,16762
3,1701.0000,16762
0,192.3333,16762
3,1031.0000,16802
0,49.0000,16802
0,25.0000,17057
0,376.0000,17187
0,75.0000,17660
0,6325.0000,17775
3,1089.0000,17921
0,1274.5000,17921
0,2188.4000,18063
0,2174.5385,18306
0,3979.0000,18318
0,2679.2000,18383
3,1194.5000,18952
0,1481.6000,18994
0,95.8000,19297
3,1154.0000,19297
0,216.0000,19347
0,2776.6667,19630
0,2000.0000,19707
0,94.5000,19742
0,1149.3333,19788
3,1089.0000,19788
0,1609.0000,19814
0,561.0000,19897
0,330.0000,20024
2,333.0000,20024
1,192.5000,20314
2,563.0000,20314
0,1182.0000,20314
0,143.2500,20496
0,0.0000,20669
0,3231.0000,20757
0,1956.0000,22102
3,1615.5000,22356
1,1311.0000,22356
0,3100.0000,22356
8,139.0000,22356
0,1926.2500,22359
2,621.0000,22545
0,238.0000,23171
0,756.0000,23183
1,349.0000,23183
0,384.0000,23550
3,271.0000,23550
0,93.0000,23602
3,157.0000,23602
0,5013.0000,24270
2,354.0000,24281
4,927.0000,24281
3,997.0000,24281
0,427.0000,24281
0,544.5000,24402
0,1.0000,24661
0,561.0000,25070
0,289.0000,26113
3,1216.0000,26717
0,1352.0000,26717
0,64.0000,26961
0,45.6000,27398
3,1920.0000,27398
0,10.0000,28978
0,21.0000,30920
0,195.5000,32025
2,148.0000,32025
3,984.5000,32025
0,322.0000,33126
0,1399.6667,34322
