actor_type,thread_id,num_posts
0,20,3
3,20,1
0,568,3
2,568,1
3,568,2
0,617,4
2,617,1
3,617,2
0,818,5
3,818,4
0,828,7
3,828,1
4,828,1
0,862,5
2,862,1
3,862,7
0,1195,1
3,1195,4
0,1197,2
3,1197,2
5,1197,1
0,1305,2
2,1639,1
3,1639,2
8,1639,1
0,1744,4
3,1744,1
0,1767,1
3,1767,1
4,1767,1
8,1767,1
2,2391,1
3,2391,3
0,2571,4
2,2571,1
3,2571,2
8,2571,1
0,2612,2
2,2612,1
3,2612,1
0,2622,5
3,2622,7
0,2691,20
3,2691,1
0,2692,20
0,3134,4
3,3134,1
0,3843,5
0,4559,3
0,4561,4
3,4561,7
4,4561,1
8,4561,3
0,4584,4
3,4584,1
0,4645,7
3,4645,3
0,5145,3
5,5145,1
0,5309,2
3,5309,1
5,5309,1
0,5432,2
0,5467,3
3,5467,1
0,5587,40
0,5747,1
2,5747,1
3,5747,3
0,5847,1
0,6083,3
3,6083,2
0,6189,3
3,6189,2
4,6189,3
5,6189,1
0,6612,33
0,7101,5
3,7101,3
5,7101,1
0,7114,4
3,7114,4
0,7187,1
3,7187,1
8,7187,1
0,7540,3
3,7540,2
0,7854,1
3,7854,1
0,7875,4
2,7875,1
3,7875,3
4,7875,1
0,8298,2
0,8894,5
3,8894,4
0,8976,1
3,8976,1
4,8976,1
0,9818,2
3,9818,3
0,9821,1
0,9823,1
2,9823,1
3,9823,1
7,9825,1
0,9828,3
3,9832,2
0,9855,3
3,9855,2
0,9858,4
3,9858,1
8,9858,1
0,9874,2
1,9874,1
2,9874,1
3,9874,1
4,9874,2
0,9894,1
3,9894,1
0,9897,5
3,9897,5
8,9897,1
0,9910,4
3,9910,6
0,9920,2
3,9920,2
4,9920,2
6,9920,1
0,9925,3
3,9958,2
8,9958,1
0,9965,6
3,9965,5
0,9966,1
0,9975,3
0,9978,5
6,10000,1
3,10001,1
0,10008,4
0,10017,1
3,10017,1
0,10022,9
2,10022,2
3,10022,5
4,10022,2
0,10029,1
3,10029,4
8,10029,1
0,10030,2
2,10030,1
4,10050,1
0,10051,3
3,10051,1
0,10070,1
0,10072,2
3,10072,2
3,10074,1
4,10089,1
0,10112,5
3,10112,2
0,10140,1
3,10140,1
0,10177,4
3,10177,3
0,10189,3
3,10189,1
0,10201,2
0,10206,3
2,10206,1
3,10206,4
8,10206,1
0,10216,1
0,10238,6
0,10240,1
3,10240,1
0,10279,7
3,10279,5
4,10295,1
0,10314,10
0,10329,3
3,10329,2
0,10331,11
0,10339,9
3,10339,2
0,10350,3
3,10350,1
8,10350,1
0,10354,7
2,10354,2
3,10354,1
4,10354,1
0,10358,1
8,10358,1
0,10371,5
0,10382,1
0,10400,2
0,10412,4
0,10419,2
0,10443,3
3,10443,1
0,10453,3
2,10453,1
3,10453,2
4,10453,1
8,10453,1
0,10455,2
0,10457,5
3,10457,1
0,10479,3
8,10479,1
0,10493,10
2,10497,1
0,10548,7
3,10548,4
4,10548,1
5,10548,1
8,10548,3
0,10549,2
0,10562,3
0,10614,6
3,10614,5
0,10630,2
3,10630,2
8,10630,1
0,10631,1
0,10637,1
0,10654,2
3,10654,2
4,10654,1
0,10660,1
0,10674,3
3,10674,4
0,10691,1
0,10693,3
3,10693,3
0,10713,12
0,10729,3
0,10739,2
3,10739,2
0,10786,2
3,10786,1
0,10814,2
3,10814,1
0,10848,1
0,10856,5
2,10856,1
3,10856,4
4,10856,1
0,10879,2
0,10883,6
3,10897,1
4,10897,1
3,10905,1
0,10908,2
0,10918,2
0,10937,11
0,10945,1
1,10947,1
0,10969,2
3,10969,3
0,11035,4
0,11102,1
4,11102,1
0,11176,2
7,11176,1
0,11178,5
8,11178,1
0,11180,1
0,11197,1
5,11197,1
0,11266,2
0,11283,2
8,11283,1
0,11307,1
0,11330,3
0,11346,1
0,11353,1
0,11360,1
8,11360,1
0,11369,2
0,11388,2
3,11388,3
0,11418,4
5,11418,1
0,11423,2
1,11436,2
3,11436,1
7,11438,1
0,11443,2
3,11443,1
0,11453,1
3,11453,3
0,11469,1
3,11469,1
0,11498,2
0,11499,1
5,11519,1
0,11561,1
0,11599,1
0,11624,3
3,11624,1
8,11624,2
0,11633,1
3,11633,1
0,11722,5
0,11859,13
0,11872,6
0,11874,1
0,11906,3
0,11939,1
3,11939,2
0,12016,1
0,12110,7
0,12124,2
0,12171,14
0,12195,1
0,12282,3
2,12282,1
3,12282,2
0,12318,1
0,12325,2
3,12325,2
0,12358,2
2,12358,1
4,12358,1
0,12371,3
0,12405,6
1,12405,1
0,12439,2
3,12439,3
0,12526,1
0,12538,1
3,12538,1
0,12564,1
7,12564,1
0,12736,3
0,12766,2
0,12770,92
3,12770,1
0,12800,5
3,12800,1
0,12833,4
2,12833,3
3,12833,4
4,12833,2
0,12873,6
0,12930,28
0,12951,3
3,12951,1
0,12968,1
0,13007,3
3,13007,2
8,13007,1
0,13045,4
3,13045,1
0,13092,2
3,13092,5
0,13292,3
0,13329,2
0,13370,1
0,13376,50
0,13393,2
3,13393,1
8,13393,1
1,13447,1
0,13457,1
3,13457,1
0,13544,4
3,13544,1
0,13559,7
3,13559,3
0,13590,3
3,13590,2
0,13595,1
3,13595,1
0,13604,4
0,13634,3
3,13634,2
0,13674,4
2,13674,1
3,13674,1
0,13724,6
3,13724,1
0,13725,1
3,13725,2
0,13731,3
1,13731,1
0,13769,3
0,13775,1
0,13781,4
0,13823,2
3,13823,1
3,13867,1
7,13867,1
0,13886,6
3,13886,2
0,13900,5
3,13900,2
0,13910,5
0,13941,3
0,13965,6
0,13982,1
3,13982,3
0,14000,3
3,14000,1
0,14066,1
0,14090,1
2,14090,1
3,14090,1
8,14090,1
0,14100,4
3,14100,3
8,14100,1
0,14116,13
0,14117,2
3,14117,3
0,14130,2
3,14153,1
0,14164,5
0,14220,2
3,14220,1
4,14220,1
0,14227,2
0,14279,2
3,14279,2
0,14373,4
0,14436,3
0,14476,2
3,14476,2
0,14666,4
0,14696,1
0,14793,3
3,14793,1
0,15019,1
0,15027,1
2,15027,1
3,15027,2
8,15027,1
3,15031,1
4,15083,1
0,15292,2
0,15309,5
2,15309,1
3,15309,4
0,15468,1
0,15470,3
3,15470,4
8,15470,1
3,15479,1
0,15524,2
3,15524,1
0,15777,47
0,15831,4
1,15831,1
0,15850,3
0,15874,3
2,15874,1
0,15903,1
0,15971,4
2,15971,1
4,15971,1
0,16080,5
0,16328,3
3,16328,5
0,16353,7
0,16360,1
2,16360,1
3,16360,3
0,16407,6
0,16415,2
3,16415,1
0,16527,1
0,16586,30
0,16704,8
0,16762,3
3,16762,2
8,16762,1
0,16802,1
3,16802,1
0,17057,2
0,17187,2
0,17660,35
0,17775,1
0,17921,4
3,17921,1
0,18063,5
0,18306,13
0,18318,1
0,18383,5
3,18952,2
0,18994,5
0,19297,5
3,19297,1
0,19347,1
0,19630,3
0,19707,5
0,19742,2
0,19788,3
3,19788,1
0,19814,2
0,19897,1
0,20024,1
2,20024,1
0,20314,3
1,20314,2
2,20314,1
0,20496,4
0,20669,1
0,20757,2
0,22102,2
0,22356,1
1,22356,1
3,22356,2
8,22356,1
0,22359,4
2,22545,1
0,23171,2
0,23183,7
1,23183,1
0,23550,1
3,23550,1
0,23602,5
3,23602,1
0,24270,3
0,24281,3
2,24281,2
3,24281,1
4,24281,1
0,24402,2
0,24661,65
0,25070,1
0,26113,1
0,26717,4
3,26717,3
0,26961,1
0,27398,5
3,27398,1
0,28978,1
0,30920,2
0,32025,2
2,32025,1
3,32025,2
0,33126,1
0,34322,6
