thread_id,duration,num_posts
13634,199500,58
22545,38346,29
30920,44195,53
18994,123331,72
11624,202435,36
15309,4141,39
11423,45559,56
20669,33577,34
23550,9241,35
11859,43676,121
16415,194123,31
10050,299736,31
16080,73297,36
10017,72716,34
28978,395429,60
13769,156157,59
10419,33774,69
23183,40442,58
10654,178466,148
10051,240728,145
12195,357947,66
19297,16642,40
10453,50717,49
12564,69133,33
14373,78961,45
17187,341906,35
15479,42969,32
10856,30190,47
1744,63417,40
10488,5420,42
13101,177385,51
9818,96147,45
7875,10840,38
12833,345915,56
10354,410245,283
7540,7862,28
12766,78235,29
12800,57606,39
10455,6469,49
4559,40214,28
13604,53422,57
16586,9501,30
11561,66748,29
13370,133156,86
11360,57002,47
12968,23243,31
14476,149180,30
9920,401262,1968
10691,1099,30
15850,267191,42
10457,32526,30
16353,240362,60
10189,78311,125
5432,20709,30
13941,105599,29
4561,39418,78
24661,420769,83
9821,450906,75
10022,317654,290
17660,4638,36
10089,39000,54
17057,99795,31
9855,35197,28
12736,60758,33
13674,229034,45
10358,44873,29
13775,132683,29
5467,14642,31
18063,26552,78
12770,36914,103
10693,64464,35
11330,68087,56
10660,129856,57
13910,68829,36
10493,27919,127
11498,216492,61
9823,336970,188
11197,70841,32
14279,339982,57
15083,123547,40
11599,12535,34
12906,24930,54
11633,120705,161
11499,84707,28
9958,88701,33
19707,14903,33
10729,10598,30
12873,176422,33
9858,49320,32
12538,44728,35
2622,37278,44
9925,89735,45
13007,189494,42
10562,61000,56
10361,17,29
16659,103,32
13376,18590,51
12371,41719,32
9825,102200,36
10897,34959,59
10931,156079,37
12405,65798,46
13879,209789,41
13544,86310,33
11266,41173,36
19742,13956,55
12171,73162,143
10630,163359,62
10295,284497,63
12439,89628,55
16928,155676,31
15019,40448,37
2691,71476,28
10329,6121,48
9994,66853,79
9894,74402,34
22356,78715,34
10631,24615,34
10497,120714,58
16527,248624,62
16762,230610,62
11469,185524,39
7114,4553,41
2692,71478,28
16360,69321,46
25070,162616,30
11369,47995,31
9828,76221,100
14116,22310,83
13781,6571,28
13982,100655,63
6612,15058,33
2391,13912,28
11436,195844,34
10029,52456,38
20314,104338,55
11068,257250,38
11872,122524,29
10331,114805,82
11939,12019,28
13447,87507,48
11035,109631,39
10030,215243,182
15524,311614,78
16328,6940,43
11906,8338,54
13045,37647,33
11102,294442,33
14117,76099,62
10868,44994,30
24402,195824,37
12476,22001,50
9997,247939,115
617,61122,49
818,23338,36
11438,20196,31
10969,243789,69
22359,26656,28
9897,53008,40
16028,81811,47
15358,40268,34
11874,125630,31
7854,9018,30
18306,233784,97
10400,192883,31
19814,11379,32
9965,175689,137
14153,29793,59
14220,186231,90
10937,77408,155
15292,31999,73
12277,206908,29
24270,45573,39
5309,27449,44
12110,41844,39
9899,12765,31
8894,3404,44
9966,14108,87
26113,58864,31
9832,35749,38
13082,65072,73
13886,55435,32
10000,305189,33
10201,8240,41
10637,37921,56
19347,130345,38
10905,296944,129
11307,75535,41
21759,141874,32
26717,158195,30
34322,8108,35
23602,70595,44
10001,112691,44
7187,6416,28
5847,29696,29
5747,23501,49
3134,13010,28
16802,47232,32
15027,76617,29
15831,157618,36
10739,279200,83
11443,55518,71
13855,154536,34
6083,17324,30
14793,246140,44
10371,251704,221
5145,12561,29
17775,79423,39
11410,207186,47
12951,96030,46
14090,188101,36
10070,45242,37
20,21287,28
20757,91453,64
11176,10061,44
10908,47694,29
10238,258546,75
12282,120002,65
16704,24987,57
10339,14670,44
13823,59771,73
10674,60363,159
10038,20364,37
10206,81351,39
12886,10878,30
10072,417817,43
4645,42489,37
22534,73289,33
13724,32697,31
11446,71975,50
23171,70742,29
11178,52292,42
13590,91098,39
1195,23663,30
10240,79272,42
12150,101068,131
14696,77360,37
11346,78154,45
12016,308549,39
19788,363057,42
15031,73353,29
10140,58959,34
14227,86154,64
13725,26751,38
12318,35922,36
8298,5922,34
13457,7622,30
10074,26395,42
12218,110645,33
828,76912,46
3843,36017,32
15903,52103,33
10945,16802,30
13156,383849,31
11180,47966,31
18952,44235,29
1197,3079,29
862,16849,39
10443,183732,73
20024,172490,40
15468,261362,42
18383,7804,53
10879,65498,28
15971,204352,61
13559,43172,45
9874,98310,69
6189,15568,36
1767,14586,37
2571,10042,31
10008,338786,105
17144,11175,33
9975,40335,48
16407,235981,50
22102,19872,38
10947,28730,28
13292,6787,45
5587,2245,53
14666,14098,39
14130,35985,28
10713,47931,74
12857,100950,34
13393,94152,33
15470,93677,32
10177,187757,153
18318,5402,29
10814,83165,39
10479,146641,118
10412,3802,60
11283,251532,154
13092,137748,69
14164,19229,37
24281,172974,33
26961,249829,30
10848,11416,41
20496,57217,35
13595,171803,60
9910,177953,126
11820,7995,63
11418,10938,38
4584,57028,99
10614,88522,66
10279,46331,35
33126,407058,50
15673,39323,28
9978,82858,213
15874,63703,39
11519,170847,43
10112,204163,218
27398,14604,37
10883,56634,89
13965,33811,75
10548,156227,126
15439,84526,28
13329,22726,36
10314,67766,53
13731,60578,29
14066,345617,45
11453,89429,33
13095,1218,29
11353,26405,30
10013,50992,48
10549,256843,53
14100,38765,35
12358,293954,83
10918,5403,31
14000,190776,47
11722,9049,50
12124,32106,30
12325,122342,33
10382,283535,84
12526,30027,43
14436,186833,48
1639,58349,45
13900,162487,48
13867,126324,56
11388,7655,31
19897,131796,30
8976,1977,29
17921,60275,36
10350,44385,43
15777,17902,53
10216,89055,86
568,73669,33
1305,10162,29
19630,137368,92
32025,5884,31
12930,8709,28
7101,16933,112
2612,66035,33
10786,41534,34
