value,key
24,2011-01-24 12
24,2011-01-24 12
451,2011-01-24 13
563,2011-01-24 14
625,2011-01-24 15
526,2011-01-24 16
596,2011-01-24 17
362,2011-01-24 18
426,2011-01-24 19
577,2011-01-24 20
492,2011-01-24 21
609,2011-01-24 22
872,2011-01-24 23
1172,2011-01-25 00
1384,2011-01-25 01
1554,2011-01-25 02
1703,2011-01-25 03
1667,2011-01-25 04
1609,2011-01-25 05
1612,2011-01-25 06
1867,2011-01-25 07
1764,2011-01-25 08
1735,2011-01-25 09
1958,2011-01-25 10
2127,2011-01-25 11
4073,2011-01-25 12
2907,2011-01-25 13
2785,2011-01-25 14
3022,2011-01-25 15
3059,2011-01-25 16
3070,2011-01-25 17
2576,2011-01-25 18
2569,2011-01-25 19
2153,2011-01-25 20
2101,2011-01-25 21
2339,2011-01-25 22
2394,2011-01-25 23
2355,2011-01-26 00
2675,2011-01-26 01
2681,2011-01-26 02
2994,2011-01-26 03
2862,2011-01-26 04
2661,2011-01-26 05
2199,2011-01-26 06
1881,2011-01-26 07
2356,2011-01-26 08
2071,2011-01-26 09
2520,2011-01-26 10
2280,2011-01-26 11
2236,2011-01-26 12
2551,2011-01-26 13
2067,2011-01-26 14
2332,2011-01-26 15
2026,2011-01-26 16
2075,2011-01-26 17
1943,2011-01-26 18
1912,2011-01-26 19
1809,2011-01-26 20
1624,2011-01-26 21
1762,2011-01-26 22
1832,2011-01-26 23
1936,2011-01-27 00
2115,2011-01-27 01
1902,2011-01-27 02
1898,2011-01-27 03
1932,2011-01-27 04
2088,2011-01-27 05
1863,2011-01-27 06
1787,2011-01-27 07
1730,2011-01-27 08
1746,2011-01-27 09
1911,2011-01-27 10
1962,2011-01-27 11
1932,2011-01-27 12
2215,2011-01-27 13
1978,2011-01-27 14
2334,2011-01-27 15
2042,2011-01-27 16
2046,2011-01-27 17
2068,2011-01-27 18
2027,2011-01-27 19
1616,2011-01-27 20
1882,2011-01-27 21
1922,2011-01-27 22
1985,2011-01-27 23
1695,2011-01-28 00
1801,2011-01-28 01
1717,2011-01-28 02
1584,2011-01-28 03
1852,2011-01-28 04
1672,2011-01-28 05
1807,2011-01-28 06
1725,2011-01-28 07
1787,2011-01-28 08
2203,2011-01-28 09
1695,2011-01-28 10
1706,2011-01-28 11
1774,2011-01-28 12
1684,2011-01-28 13
1668,2011-01-28 14
471,2011-01-28 15
