value,key
1,2011-01-24 12-55
1,2011-01-24 12-55
10,2011-01-24 12-56
3,2011-01-24 12-57
5,2011-01-24 12-58
5,2011-01-24 12-59
10,2011-01-24 13-00
6,2011-01-24 13-01
6,2011-01-24 13-02
7,2011-01-24 13-03
5,2011-01-24 13-04
2,2011-01-24 13-05
4,2011-01-24 13-06
4,2011-01-24 13-07
4,2011-01-24 13-08
2,2011-01-24 13-09
6,2011-01-24 13-10
6,2011-01-24 13-11
7,2011-01-24 13-12
4,2011-01-24 13-13
10,2011-01-24 13-14
5,2011-01-24 13-15
13,2011-01-24 13-16
9,2011-01-24 13-17
6,2011-01-24 13-18
7,2011-01-24 13-19
16,2011-01-24 13-20
12,2011-01-24 13-21
4,2011-01-24 13-22
12,2011-01-24 13-23
10,2011-01-24 13-24
6,2011-01-24 13-25
6,2011-01-24 13-26
6,2011-01-24 13-27
7,2011-01-24 13-28
5,2011-01-24 13-29
6,2011-01-24 13-30
6,2011-01-24 13-31
7,2011-01-24 13-32
14,2011-01-24 13-33
9,2011-01-24 13-34
10,2011-01-24 13-35
15,2011-01-24 13-36
12,2011-01-24 13-37
11,2011-01-24 13-38
9,2011-01-24 13-39
8,2011-01-24 13-40
7,2011-01-24 13-41
1,2011-01-24 13-42
8,2011-01-24 13-43
4,2011-01-24 13-44
8,2011-01-24 13-45
4,2011-01-24 13-46
6,2011-01-24 13-47
7,2011-01-24 13-48
4,2011-01-24 13-49
9,2011-01-24 13-50
11,2011-01-24 13-51
9,2011-01-24 13-52
6,2011-01-24 13-53
7,2011-01-24 13-54
6,2011-01-24 13-55
13,2011-01-24 13-56
12,2011-01-24 13-57
7,2011-01-24 13-58
8,2011-01-24 13-59
20,2011-01-24 14-00
11,2011-01-24 14-01
8,2011-01-24 14-02
11,2011-01-24 14-03
4,2011-01-24 14-04
4,2011-01-24 14-05
15,2011-01-24 14-06
18,2011-01-24 14-07
9,2011-01-24 14-08
7,2011-01-24 14-09
7,2011-01-24 14-10
8,2011-01-24 14-11
7,2011-01-24 14-12
9,2011-01-24 14-13
6,2011-01-24 14-14
8,2011-01-24 14-15
5,2011-01-24 14-16
8,2011-01-24 14-17
8,2011-01-24 14-18
8,2011-01-24 14-19
5,2011-01-24 14-20
13,2011-01-24 14-21
10,2011-01-24 14-22
6,2011-01-24 14-23
4,2011-01-24 14-24
11,2011-01-24 14-25
6,2011-01-24 14-26
8,2011-01-24 14-27
20,2011-01-24 14-28
6,2011-01-24 14-29
9,2011-01-24 14-30
20,2011-01-24 14-31
9,2011-01-24 14-32
13,2011-01-24 14-33
7,2011-01-24 14-34
10,2011-01-24 14-35
6,2011-01-24 14-36
11,2011-01-24 14-37
8,2011-01-24 14-38
7,2011-01-24 14-39
8,2011-01-24 14-40
9,2011-01-24 14-41
8,2011-01-24 14-42
6,2011-01-24 14-43
11,2011-01-24 14-44
7,2011-01-24 14-45
11,2011-01-24 14-46
9,2011-01-24 14-47
10,2011-01-24 14-48
5,2011-01-24 14-49
8,2011-01-24 14-50
17,2011-01-24 14-51
19,2011-01-24 14-52
5,2011-01-24 14-53
9,2011-01-24 14-54
5,2011-01-24 14-55
11,2011-01-24 14-56
15,2011-01-24 14-57
11,2011-01-24 14-58
9,2011-01-24 14-59
6,2011-01-24 15-00
13,2011-01-24 15-01
4,2011-01-24 15-02
12,2011-01-24 15-03
6,2011-01-24 15-04
6,2011-01-24 15-05
7,2011-01-24 15-06
5,2011-01-24 15-07
5,2011-01-24 15-08
9,2011-01-24 15-09
6,2011-01-24 15-10
10,2011-01-24 15-11
8,2011-01-24 15-12
9,2011-01-24 15-13
11,2011-01-24 15-14
2,2011-01-24 15-15
9,2011-01-24 15-16
9,2011-01-24 15-17
9,2011-01-24 15-18
15,2011-01-24 15-19
18,2011-01-24 15-20
9,2011-01-24 15-21
9,2011-01-24 15-22
9,2011-01-24 15-23
13,2011-01-24 15-24
4,2011-01-24 15-25
4,2011-01-24 15-26
7,2011-01-24 15-27
5,2011-01-24 15-28
5,2011-01-24 15-29
7,2011-01-24 15-30
11,2011-01-24 15-31
10,2011-01-24 15-32
11,2011-01-24 15-33
10,2011-01-24 15-34
7,2011-01-24 15-35
16,2011-01-24 15-36
16,2011-01-24 15-37
19,2011-01-24 15-38
15,2011-01-24 15-39
12,2011-01-24 15-40
15,2011-01-24 15-41
12,2011-01-24 15-42
18,2011-01-24 15-43
10,2011-01-24 15-44
14,2011-01-24 15-45
16,2011-01-24 15-46
6,2011-01-24 15-47
18,2011-01-24 15-48
7,2011-01-24 15-49
8,2011-01-24 15-50
15,2011-01-24 15-51
15,2011-01-24 15-52
8,2011-01-24 15-53
16,2011-01-24 15-54
16,2011-01-24 15-55
15,2011-01-24 15-56
8,2011-01-24 15-57
16,2011-01-24 15-58
14,2011-01-24 15-59
6,2011-01-24 16-00
10,2011-01-24 16-01
5,2011-01-24 16-02
10,2011-01-24 16-03
8,2011-01-24 16-04
6,2011-01-24 16-05
5,2011-01-24 16-06
7,2011-01-24 16-07
9,2011-01-24 16-08
15,2011-01-24 16-09
15,2011-01-24 16-10
7,2011-01-24 16-11
12,2011-01-24 16-12
6,2011-01-24 16-13
19,2011-01-24 16-14
11,2011-01-24 16-15
8,2011-01-24 16-16
16,2011-01-24 16-17
6,2011-01-24 16-18
13,2011-01-24 16-19
4,2011-01-24 16-20
10,2011-01-24 16-21
5,2011-01-24 16-22
5,2011-01-24 16-23
7,2011-01-24 16-24
5,2011-01-24 16-25
12,2011-01-24 16-26
8,2011-01-24 16-27
8,2011-01-24 16-28
7,2011-01-24 16-29
9,2011-01-24 16-30
12,2011-01-24 16-31
11,2011-01-24 16-32
9,2011-01-24 16-33
2,2011-01-24 16-34
7,2011-01-24 16-35
11,2011-01-24 16-36
11,2011-01-24 16-37
10,2011-01-24 16-38
9,2011-01-24 16-39
4,2011-01-24 16-40
4,2011-01-24 16-41
9,2011-01-24 16-42
6,2011-01-24 16-43
7,2011-01-24 16-44
6,2011-01-24 16-45
8,2011-01-24 16-46
18,2011-01-24 16-47
7,2011-01-24 16-48
6,2011-01-24 16-49
4,2011-01-24 16-50
9,2011-01-24 16-51
7,2011-01-24 16-52
11,2011-01-24 16-53
7,2011-01-24 16-54
10,2011-01-24 16-55
5,2011-01-24 16-56
8,2011-01-24 16-57
7,2011-01-24 16-58
27,2011-01-24 16-59
16,2011-01-24 17-00
9,2011-01-24 17-01
9,2011-01-24 17-02
11,2011-01-24 17-03
8,2011-01-24 17-04
15,2011-01-24 17-05
14,2011-01-24 17-06
12,2011-01-24 17-07
12,2011-01-24 17-08
13,2011-01-24 17-09
11,2011-01-24 17-10
11,2011-01-24 17-11
17,2011-01-24 17-12
10,2011-01-24 17-13
16,2011-01-24 17-14
13,2011-01-24 17-15
9,2011-01-24 17-16
8,2011-01-24 17-17
8,2011-01-24 17-18
16,2011-01-24 17-19
17,2011-01-24 17-20
4,2011-01-24 17-21
5,2011-01-24 17-22
8,2011-01-24 17-23
12,2011-01-24 17-24
11,2011-01-24 17-25
13,2011-01-24 17-26
8,2011-01-24 17-27
12,2011-01-24 17-28
11,2011-01-24 17-29
19,2011-01-24 17-30
7,2011-01-24 17-31
7,2011-01-24 17-32
11,2011-01-24 17-33
13,2011-01-24 17-34
8,2011-01-24 17-35
8,2011-01-24 17-36
11,2011-01-24 17-37
8,2011-01-24 17-38
11,2011-01-24 17-39
6,2011-01-24 17-40
12,2011-01-24 17-41
10,2011-01-24 17-42
12,2011-01-24 17-43
8,2011-01-24 17-44
11,2011-01-24 17-45
