value,key
1,2011-01-8 18-19
1,2011-01-8 18-19
1,2011-01-9 05-12
1,2011-01-10 07-35
1,2011-01-11 03-32
1,2011-01-11 04-49
1,2011-01-11 14-54
1,2011-01-11 14-55
1,2011-01-11 15-03
1,2011-01-11 15-09
1,2011-01-11 15-54
1,2011-01-11 16-29
1,2011-01-11 17-01
1,2011-01-11 17-03
1,2011-01-11 17-07
1,2011-01-11 17-08
1,2011-01-11 17-09
1,2011-01-11 17-24
2,2011-01-11 17-25
1,2011-01-11 17-29
1,2011-01-11 17-50
1,2011-01-11 17-53
1,2011-01-11 18-10
1,2011-01-11 18-39
1,2011-01-11 20-20
1,2011-01-11 20-26
1,2011-01-11 20-42
1,2011-01-11 21-12
9,2011-01-12 05-43
18,2011-01-12 05-44
17,2011-01-12 05-45
20,2011-01-12 05-46
14,2011-01-12 05-47
15,2011-01-12 05-48
14,2011-01-12 05-49
21,2011-01-12 05-50
20,2011-01-12 05-51
19,2011-01-12 05-52
16,2011-01-12 05-53
17,2011-01-12 05-54
16,2011-01-12 05-55
18,2011-01-12 05-56
15,2011-01-12 05-57
13,2011-01-12 05-58
25,2011-01-12 05-59
26,2011-01-12 06-00
20,2011-01-12 06-01
23,2011-01-12 06-02
38,2011-01-12 06-03
23,2011-01-12 06-04
22,2011-01-12 06-05
23,2011-01-12 06-06
24,2011-01-12 06-07
19,2011-01-12 06-08
15,2011-01-12 06-09
19,2011-01-12 06-10
14,2011-01-12 06-11
20,2011-01-12 06-12
20,2011-01-12 06-13
18,2011-01-12 06-14
15,2011-01-12 06-15
13,2011-01-12 06-16
21,2011-01-12 06-17
20,2011-01-12 06-18
26,2011-01-12 06-19
13,2011-01-12 06-20
13,2011-01-12 06-21
20,2011-01-12 06-22
22,2011-01-12 06-23
26,2011-01-12 06-24
9,2011-01-12 06-25
12,2011-01-12 06-26
14,2011-01-12 06-27
12,2011-01-12 06-28
14,2011-01-12 06-29
17,2011-01-12 06-30
14,2011-01-12 06-31
12,2011-01-12 06-32
16,2011-01-12 06-33
9,2011-01-12 06-34
9,2011-01-12 06-35
12,2011-01-12 06-36
26,2011-01-12 06-37
26,2011-01-12 06-38
25,2011-01-12 06-39
20,2011-01-12 06-40
20,2011-01-12 06-41
19,2011-01-12 06-42
14,2011-01-12 06-43
14,2011-01-12 06-44
13,2011-01-12 06-45
17,2011-01-12 06-46
10,2011-01-12 06-47
19,2011-01-12 06-48
17,2011-01-12 06-49
19,2011-01-12 06-50
14,2011-01-12 06-51
18,2011-01-12 06-52
16,2011-01-12 06-53
16,2011-01-12 06-54
12,2011-01-12 06-55
14,2011-01-12 06-56
18,2011-01-12 06-57
15,2011-01-12 06-58
21,2011-01-12 06-59
7,2011-01-12 07-00
7,2011-01-12 07-01
9,2011-01-12 07-02
14,2011-01-12 07-03
18,2011-01-12 07-04
15,2011-01-12 07-05
13,2011-01-12 07-06
11,2011-01-12 07-07
5,2011-01-12 07-08
8,2011-01-12 07-09
11,2011-01-12 07-10
16,2011-01-12 07-11
21,2011-01-12 07-12
20,2011-01-12 07-13
9,2011-01-12 07-14
15,2011-01-12 07-15
18,2011-01-12 07-16
10,2011-01-12 07-17
21,2011-01-12 07-18
20,2011-01-12 07-19
15,2011-01-12 07-20
15,2011-01-12 07-21
12,2011-01-12 07-22
14,2011-01-12 07-23
12,2011-01-12 07-24
18,2011-01-12 07-25
9,2011-01-12 07-26
14,2011-01-12 07-27
19,2011-01-12 07-28
18,2011-01-12 07-29
