screen_name,relevant_total,irrelevant_total,friends_count,friends_percentile,followers_count,followers_percentile,statuses_count,statuses_percentile,created_at,relevant_user_gets_retweeted,relevant_user_retweets,relevant_percent_user_gets_retweeted,relevant_percent_user_retweets,irrelevant_user_gets_retweeted,irrelevant_user_retweets,irrelevant_percent_user_gets_retweeted,irrelevant_percent_user_retweets
0.482014388489209,417,24356,1.0,73,2398,0.953136396790664,mar3e,0.0,0,0.953136396790664,2008-10-07 02:28:49,0.486666666666667,150,1.0,201,1088,0.0,0,0.953136396790664
mar3e,150,417,1088,0.953136396790664,2398,0.953136396790664,24356,0.953136396790664,2008-10-07 02:28:49,73,0,0.486666666666667,0.0,201,0,0.482014388489209,0.0
alaa,222,1025,348,0.988876732312181,9269,0.988876732312181,33201,0.988876732312181,2007-03-22 18:41:12,181,0,0.815315315315315,0.0,593,0,0.578536585365854,0.0
ifikra,1,69,595,0.969756173804314,3511,0.969756173804314,6874,0.969756173804314,2008-06-07 12:01:01,1,0,1.0,0.0,39,0,0.565217391304348,0.0
RamyRaoof,36,249,112,0.988746483276024,9108,0.988746483276024,9430,0.988746483276024,2009-03-06 15:52:00,35,0,0.972222222222222,0.0,214,0,0.859437751004016,0.0
Ghonim,6,74,289,0.987860789830155,8559,0.987860789830155,3981,0.987860789830155,2009-03-07 12:35:22,5,0,0.833333333333333,0.0,58,0,0.783783783783784,0.0
weddady,211,1557,556,0.980202146504116,5236,0.980202146504116,30469,0.980202146504116,2008-06-27 08:57:04,181,0,0.85781990521327,0.0,894,0,0.574181117533719,0.0
wsaqaf,2,2,8,0.537694071063874,138,0.537746170678337,27,0.537694071063874,2008-08-22 14:47:42,1,0,0.5,0.0,0,0,0.0,0.0
justimage,55,103,138,0.968115035948734,3342,0.968115035948734,2805,0.968115035948734,2009-03-18 19:55:39,48,0,0.872727272727273,0.0,47,0,0.456310679611651,0.0
joshmull,113,435,2126,0.958658955923726,2667,0.958658955923726,12365,0.958658955923726,2007-03-28 04:31:51,69,0,0.610619469026549,0.0,162,0,0.372413793103448,0.0
ircpresident,27,306,827,0.966083150984683,3180,0.966083150984683,22668,0.966083150984683,2007-02-01 18:17:41,11,0,0.407407407407407,0.0,84,0,0.274509803921569,0.0
3arabawy,121,1101,351,0.990517870167761,11189,0.990517870167761,28986,0.990517870167761,2007-10-21 08:37:59,106,0,0.87603305785124,0.0,866,0,0.786557674841054,0.0
AzizaSami,159,957,101,0.690919037199125,318,0.690919037199125,2266,0.690919037199125,2011-01-01 16:58:50,93,0,0.584905660377358,0.0,431,0,0.450365726227795,0.0
H_Eid,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,"","",n/a,n/a,"","",n/a,n/a
Zeinobia,239,1623,2974,0.984265916432218,6674,0.984265916432218,34495,0.984265916432218,2007-01-06 21:21:50,226,0,0.945606694560669,0.0,1091,0,0.672211953173136,0.0
ianinegypt,113,44,100,0.986922996769824,7831,0.986922996769824,1207,0.986922996769824,2009-05-15 07:49:52,110,0,0.973451327433628,0.0,37,0,0.840909090909091,0.0
mtwfeeq,123,827,247,0.876081067000104,1027,0.876081067000104,25408,0.876081067000104,2007-11-29 22:55:26,67,0,0.544715447154472,0.0,227,0,0.274486094316808,0.0
faroukadel,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,"","",n/a,n/a,"","",n/a,n/a
tarekshalaby,52,130,144,0.944696259247682,2090,0.944696259247682,4444,0.944696259247682,2009-06-26 13:42:46,29,0,0.557692307692308,0.0,34,0,0.261538461538462,0.0
Sarahcarr,112,538,362,0.973246847973325,3923,0.973246847973325,8575,0.973246847973325,2007-12-11 10:02:37,96,0,0.857142857142857,0.0,204,0,0.379182156133829,0.0
BloggerSeif,13,899,1280,0.976919870792956,4588,0.976919870792956,12528,0.976919870792956,2010-06-26 12:44:20,6,0,0.461538461538462,0.0,98,0,0.109010011123471,0.0
monasosh,175,619,198,0.985412107950401,7165,0.985412107950401,7851,0.985412107950401,2007-07-15 16:20:35,125,0,0.714285714285714,0.0,287,0,0.463651050080775,0.0
naglarzk,75,170,170,0.906663540689799,1344,0.906663540689799,3170,0.906663540689799,2009-01-24 13:35:19,33,0,0.44,0.0,58,0,0.341176470588235,0.0
ShereefAbbas,73,1029,242,0.907340835677816,1350,0.907340835677816,2680,0.907340835677816,2009-03-28 21:39:39,56,0,0.767123287671233,0.0,350,0,0.340136054421769,0.0
wael,103,565,998,0.970876315515265,3618,0.970876315515265,14680,0.970876315515265,2007-03-14 17:47:53,76,0,0.737864077669903,0.0,332,0,0.587610619469027,0.0
