screen_name,relevant_total,irrelevant_total,friends_count,friends_percentile,followers_count,followers_percentile,statuses_count,statuses_percentile,created_at,relevant_user_gets_retweeted,relevant_user_retweets,relevant_percent_user_gets_retweeted,relevant_percent_user_retweets,irrelevant_user_gets_retweeted,irrelevant_user_retweets,irrelevant_percent_user_gets_retweeted,irrelevant_percent_user_retweets
monaeltahawy,n/a,n/a,226,0.993774096071689,19204,0.993774096071689,26189,0.993774096071689,2009-04-09 13:09:12,"","",n/a,n/a,"","",n/a,n/a
Jilliancyork,12,137,2501,0.986949046577055,7841,0.986949046577055,43476,0.986949046577055,2008-02-27 13:54:53,11,0,0.916666666666667,0.0,53,0,0.386861313868613,0.0
octavianasr,4,28,927,0.991664061685944,13194,0.991664061685944,13398,0.991664061685944,2008-04-24 20:08:49,4,0,1.0,0.0,26,0,0.928571428571429,0.0
xenijardin,1,11,774,0.99617067833698,35516,0.99617067833698,17856,0.99617067833698,2006-07-14 05:49:14,1,0,1.0,0.0,5,0,0.454545454545455,0.0
PJCrowley,n/a,8,85,0.993201000312598,17372,0.993201000312598,279,0.993201000312598,2010-04-30 15:54:29,"","",n/a,n/a,8,0,1.0,0.0
ioerror,50,106,754,0.992028758987183,14090,0.992028758987183,9446,0.992028758987183,2008-02-23 12:22:25,48,0,0.96,0.0,69,0,0.650943396226415,0.0
JPBarlow,8,21,837,0.994034594144003,20190,0.994034594144003,5148,0.994034594144003,2008-04-01 12:01:59,8,0,1.0,0.0,21,0,1.0,0.0
JustAmira,10,36,876,0.978482859226842,4912,0.978482859226842,11178,0.978482859226842,2008-02-13 23:06:46,7,0,0.7,0.0,14,0,0.388888888888889,0.0
ethanz,4,22,686,0.989788475565281,10061,0.989788475565281,4687,0.989788475565281,2007-03-12 23:01:19,4,0,1.0,0.0,15,0,0.681818181818182,0.0
cshirky,n/a,n/a,531,0.998046264457643,104247,0.998046264457643,1954,0.998046264457643,2007-05-18 16:25:33,"","",n/a,n/a,"","",n/a,n/a
zephoria,n/a,1,689,0.996769823903303,40498,0.996769823903303,2232,0.996769823903303,2006-07-13 21:27:23,"","",n/a,n/a,1,0,1.0,0.0
baratunde,n/a,30,2783,0.99744711889132,65677,0.99744711889132,32624,0.99744711889132,2007-03-08 02:13:46,"","",n/a,n/a,17,0,0.566666666666667,0.0
SenJohnMcCain,n/a,n/a,203,0.999791601542149,1710930,0.999791601542149,2124,0.999791601542149,2009-01-23 13:42:31,"","",n/a,n/a,"","",n/a,n/a
PressSec,n/a,n/a,223,0.998489111180577,144754,0.998489111180577,963,0.998489111180577,2010-02-11 18:11:43,"","",n/a,n/a,"","",n/a,n/a
whitehouse,n/a,4,116,0.999869750963843,1947182,0.999869750963843,2077,0.999869750963843,2009-04-10 21:10:30,"","",n/a,n/a,4,0,1.0,0.0
pfeiffer44,n/a,4,122,0.973559445660102,3986,0.973559445660102,57,0.973559445660102,2010-04-09 11:51:24,"","",n/a,n/a,2,0,0.5,0.0
Sandmonkey,34,61,626,0.993305199541523,17638,0.993305199541523,15113,0.993305199541523,2007-04-04 13:12:38,29,0,0.852941176470588,0.0,35,0,0.573770491803279,0.0
ProducerMatthew,1,78,1415,0.946728144211733,2146,0.946728144211733,9480,0.946728144211733,2007-02-04 13:40:33,1,0,1.0,0.0,42,0,0.538461538461538,0.0
acarvin,1,27,1506,0.993800145878921,19385,0.993800145878921,39324,0.993800145878921,2007-02-17 22:53:33,1,0,1.0,0.0,12,0,0.444444444444444,0.0
digiphile,1,70,2270,0.997316869855163,57064,0.997316869855163,34381,0.997316869855163,2007-03-14 19:12:20,1,0,1.0,0.0,19,0,0.271428571428571,0.0
doctorow,n/a,9,508,0.997968115035949,100752,0.997968115035949,6541,0.997968115035949,2007-03-28 21:40:55,"","",n/a,n/a,5,0,0.555555555555556,0.0
timoreilly,n/a,8,719,0.999609252891529,1441642,0.999609252891529,13223,0.999609252891529,2007-03-27 01:14:05,"","",n/a,n/a,7,0,0.875,0.0
sacca,n/a,8,629,0.999531103469834,1299207,0.999531103469834,13418,0.999531103469834,2006-07-13 09:05:49,"","",n/a,n/a,5,0,0.625,0.0
chrismessina,n/a,10,1933,0.995493383348963,27899,0.995493383348963,13472,0.995493383348963,2006-07-16 06:53:48,"","",n/a,n/a,5,0,0.5,0.0
tinucherian,n/a,17,42111,0.996691674481609,39708,0.996691674481609,21342,0.996691674481609,2009-06-30 12:17:39,"","",n/a,n/a,2,0,0.117647058823529,0.0
JulioAlonso,n/a,43,156,0.996040429300823,33950,0.996040429300823,5975,0.996040429300823,2007-03-20 19:07:03,"","",n/a,n/a,35,0,0.813953488372093,0.0
ElBaradei,n/a,n/a,35,0.996457226216526,37947,0.996457226216526,320,0.996457226216526,2010-03-03 12:09:47,"","",n/a,n/a,"","",n/a,n/a
evgenymorozov,4,53,1420,0.990465770553298,11016,0.990465770553298,6537,0.990465770553298,2009-04-10 22:39:27,4,0,1.0,0.0,35,0,0.660377358490566,0.0
Alyssa_Milano,n/a,16,885,0.999505053662603,1282081,0.999505053662603,14552,0.999505053662603,2009-03-26 00:34:20,"","",n/a,n/a,16,0,1.0,0.0
AlOraibi,1,14,236,0.970277169948942,3566,0.970277169948942,3409,0.970277169948942,2009-04-30 19:32:41,1,0,1.0,0.0,4,0,0.285714285714286,0.0
jessicanorthey,n/a,49,87366,0.998202563301032,116767,0.998202563301032,44368,0.998202563301032,2009-02-09 23:24:20,"","",n/a,n/a,16,0,0.326530612244898,0.0
kpereira,n/a,5,259,0.998072314264874,105325,0.998072314264874,4379,0.998072314264874,2007-10-06 05:35:11,"","",n/a,n/a,5,0,1.0,0.0
STXherry,2,63,54589,0.997160571011774,54729,0.997160571011774,59680,0.997160571011774,2009-04-14 17:36:30,2,0,1.0,0.0,21,0,0.333333333333333,0.0
rmack,3,9,1895,0.989970824215901,10299,0.989970824215901,7670,0.989970824215901,2007-03-04 12:05:41,3,0,1.0,0.0,6,0,0.666666666666667,0.0
carloslatuff,8,60,8,0.978691257684693,4935,0.978691257684693,638,0.978691257684693,2010-04-11 15:39:49,8,0,1.0,0.0,43,0,0.716666666666667,0.0
tharwacolamus,170,253,252,0.909893716786496,1378,0.909893716786496,11523,0.909893716786496,2009-05-15 20:07:09,120,0,0.705882352941177,0.0,214,0,0.845849802371542,0.0
ulil,n/a,54,447,0.996874023132229,43544,0.996874023132229,28344,0.996874023132229,2008-12-24 16:04:51,"","",n/a,n/a,41,0,0.759259259259259,0.0
shadihamid,5,9,999,0.983823069709284,6465,0.983797019902053,3316,0.983823069709284,2009-03-13 05:54:44,5,0,1.0,0.0,9,0,1.0,0.0
anonymousirc,14,49,370,0.982911326456184,6019,0.982911326456184,1875,0.982911326456184,2010-12-12 04:11:26,14,0,1.0,0.0,47,0,0.959183673469388,0.0
exiledsurfer,88,263,271,0.887490882567469,1128,0.887490882567469,9791,0.887490882567469,2010-12-03 14:30:38,78,0,0.886363636363636,0.0,148,0,0.562737642585551,0.0
McAndrew,n/a,n/a,463,0.972986349901011,3897,0.972986349901011,471,0.972986349901011,2007-03-22 13:32:14,"","",n/a,n/a,"","",n/a,n/a
anon_vv,n/a,n/a,291,0.938678753777222,1927,0.938678753777222,1046,0.938678753777222,2010-12-24 19:41:22,"","",n/a,n/a,"","",n/a,n/a
