screen_name,relevant_total,irrelevant_total,friends_count,friends_percentile,followers_count,followers_percentile,statuses_count,statuses_percentile,created_at,relevant_user_gets_retweeted,relevant_user_retweets,relevant_percent_user_gets_retweeted,relevant_percent_user_retweets,irrelevant_user_gets_retweeted,irrelevant_user_retweets,irrelevant_percent_user_gets_retweeted,irrelevant_percent_user_retweets
boingboing,10,45,14,0.997603417734709,70722,0.997603417734709,26524,0.997603417734709,2007-05-11 19:14:39,10,0,1.0,0.0,41,0,0.911111111111111,0.0
wired,2,22,220,0.999348754819214,732967,0.999348754819214,6481,0.999348754819214,2007-03-17 09:57:25,2,0,1.0,0.0,20,0,0.909090909090909,0.0
NiemanLab,n/a,25,637,0.996665624674377,39626,0.996665624674377,7220,0.996665624674377,2008-08-15 18:26:30,"","",n/a,n/a,23,0,0.92,0.0
democracynow,4,31,318,0.997134521204543,53997,0.997134521204543,3866,0.997134521204543,2008-10-23 20:47:35,4,0,1.0,0.0,29,0,0.935483870967742,0.0
nonprofitorgs,n/a,7,38113,0.999140356361363,404055,0.999140356361363,3218,0.999140356361363,2008-11-18 18:35:40,"","",n/a,n/a,6,0,0.857142857142857,0.0
amnesty,2,5,6701,0.998280712722726,126117,0.998280712722726,2488,0.998280712722726,2008-09-06 04:05:26,2,0,1.0,0.0,4,0,0.8,0.0
egytweets,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,"","",n/a,n/a,"","",n/a,n/a
twitterglobalpr,n/a,2,5,0.951365009898927,2317,0.951365009898927,22,0.951365009898927,2011-01-05 19:52:33,"","",n/a,n/a,2,0,1.0,0.0
twitter,n/a,2,404,1.0,4272280,1.0,1963,1.0,2007-02-20 14:35:54,"","",n/a,n/a,2,0,1.0,0.0
ustream,n/a,6,259,0.999661352505991,1516912,0.999661352505991,8544,0.999661352505991,2007-04-25 07:26:03,"","",n/a,n/a,5,0,0.833333333333333,0.0
vodafoneegypt,n/a,n/a,932,0.991559862457018,13006,0.991559862457018,3832,0.991559862457018,2009-07-13 12:10:46,"","",n/a,n/a,"","",n/a,n/a
techcrunch,n/a,27,825,0.999687402313223,1557783,0.999687402313223,24563,0.999687402313223,2007-03-07 01:27:09,"","",n/a,n/a,27,0,1.0,0.0
wikileaks,n/a,36,1,0.999296655204752,714940,0.999296655204752,3060,0.999296655204752,2008-10-04 06:41:05,"","",n/a,n/a,36,0,1.0,0.0
youtube,n/a,4,227,0.999765551734917,1648781,0.999765551734917,3148,0.999765551734917,2007-11-13 21:43:46,"","",n/a,n/a,4,0,1.0,0.0
telecomix,54,32,99,0.974314890069814,4121,0.974314890069814,7492,0.974314890069814,2009-06-01 10:40:45,54,0,1.0,0.0,29,0,0.90625,0.0
