relevant_percent_user_gets_retweeted,irrelevant_total,followers_percentile,relevant_user_gets_retweeted,created_at,screen_name,relevant_percent_original_tweets,irrelevant_percent_user_retweets,relevant_user_retweets,friends_count,irrelevant_percent_user_gets_retweeted,relevant_total,friends_percentile,irrelevant_percent_original_tweets,irrelevant_user_gets_retweeted,statuses_count,relevant_percent_user_retweets,irrelevant_user_retweets,followers_count,statuses_percentile
1.0,2,0.991403563613629,4,2009-02-23 18:08:56,Evanchill,1.0,0.0,0,147,1.0,4,0.991403563613629,1.0,2,2000,0.0,0,12601,0.991403563613629
1.0,2,0.991403563613629,4,2009-02-23 18:08:56,Evanchill,1.0,0.0,0,147,1.0,4,0.991403563613629,1.0,2,2000,0.0,0,12601,0.991403563613629
0.939393939393939,145,0.992106908408878,155,2010-10-12 13:20:38,Dima_Khatib,1.0,0.0,0,535,0.344827586206897,165,0.992106908408878,1.0,50,12998,0.0,0,14366,0.992106908408878
0.333333333333333,27,0.811399395644472,1,2009-05-27 10:04:32,ajimran,1.0,0.0,0,82,0.185185185185185,3,0.811425445451704,1.0,5,271,0.0,0,647,0.811425445451704
1.0,1,0.993591747421069,16,2009-03-10 13:00:00,AymanM,1.0,0.0,0,118,1.0,16,0.993591747421069,1.0,1,2316,0.0,0,18694,0.993591747421069
n/a,8,0.993956444722309,"",2009-11-25 15:35:26,nolanjazeera,n/a,0.0,"",164,1.0,n/a,0.993956444722309,1.0,8,1182,n/a,0,19967,0.993956444722309
n/a,n/a,0.89900489736376,"",2009-05-25 08:15:27,Marwa_Alasar,n/a,n/a,"",53,n/a,n/a,0.89900489736376,n/a,"",120,n/a,"",1250,0.89900489736376
n/a,n/a,0.970146920912785,"",2010-10-21 20:39:10,RawyaRageh,n/a,n/a,"",59,n/a,n/a,0.970146920912785,n/a,"",336,n/a,"",3544,0.970146920912785
1.0,n/a,0.989762425758049,2,2009-03-16 09:31:14,SherineT,1.0,n/a,0,169,n/a,2,0.989762425758049,n/a,"",1190,0.0,"",10049,0.989762425758049
1.0,n/a,0.940215692403876,2,2010-08-26 18:29:19,adamakary,1.0,n/a,0,41,n/a,2,0.940215692403876,n/a,"",542,0.0,"",1969,0.940215692403876
n/a,2,0.980123997082422,"",2008-04-09 22:23:15,glcarlstrom,n/a,0.0,"",407,0.5,n/a,0.980123997082422,1.0,1,9881,n/a,0,5209,0.980123997082422
1.0,37,0.975669480045848,7,2009-01-23 19:33:31,AlanFisher,1.0,0.0,0,242,0.810810810810811,7,0.975669480045848,1.0,30,11661,0.0,0,4357,0.975669480045848
0.888888888888889,58,0.934041888090028,16,2007-05-03 13:45:19,abdu,1.0,0.0,0,618,0.706896551724138,18,0.934041888090028,1.0,41,4305,0.0,0,1811,0.934041888090028
n/a,n/a,n/a,"",n/a,abdullahmussa,n/a,n/a,"",n/a,n/a,n/a,n/a,n/a,"",n/a,n/a,"",n/a,n/a
n/a,1,0.987600291757841,"",2009-10-26 05:08:15,IvanCNN,n/a,0.0,"",23,1.0,n/a,0.987600291757841,1.0,1,1101,n/a,0,8374,0.987600291757841
n/a,17,0.995232885276649,"",2009-10-19 12:42:46,BenCNN,n/a,0.0,"",226,1.0,n/a,0.995232885276649,1.0,17,1946,n/a,0,25922,0.995232885276649
n/a,n/a,0.972725851828696,"",2008-11-11 23:14:48,arwadamonCNN,n/a,n/a,"",230,n/a,n/a,0.972725851828696,n/a,"",1425,n/a,"",3852,0.972725851828696
n/a,1,0.999426904240909,"",2008-06-24 22:37:59,AndersonCooper,n/a,0.0,"",56,1.0,n/a,0.999426904240909,1.0,1,10091,n/a,0,903832,0.999426904240909
n/a,8,0.992862352818589,"",2009-03-19 16:41:46,HalaGorani,n/a,0.0,"",394,0.75,n/a,0.992862352818589,1.0,6,2228,n/a,0,16589,0.992862352818589
n/a,7,0.96165468375534,"",2009-03-10 08:56:34,fpleitgenCNN,n/a,0.0,"",61,0.857142857142857,n/a,0.96165468375534,1.0,6,1598,n/a,0,2855,0.96165468375534
n/a,n/a,n/a,"",n/a,SaadAbedine,n/a,n/a,"",n/a,n/a,n/a,n/a,n/a,"",n/a,n/a,"",n/a,n/a
n/a,12,0.989319579035115,"",2009-03-16 23:41:59,NicRobertsonCNN,n/a,0.0,"",44,1.0,n/a,0.989319579035115,1.0,12,489,n/a,0,9779,0.989319579035115
n/a,1,0.885641346254038,"",2009-03-06 19:12:45,MAFox,n/a,0.0,"",69,0.0,n/a,0.885641346254038,1.0,0,56,n/a,0,1110,0.885641346254038
1.0,21,0.986922996769824,28,2009-05-15 07:49:52,ianinegypt,1.0,0.0,0,100,0.904761904761905,28,0.986922996769824,1.0,19,1207,0.0,0,7831,0.986922996769824
n/a,1,0.843075961237887,"",2008-12-05 00:00:50,neilhallsworth,n/a,0.0,"",20,1.0,n/a,0.843075961237887,1.0,1,114,n/a,0,799,0.843075961237887
n/a,n/a,0.995024486818798,"",2008-09-06 16:00:37,edhenryCNN,n/a,n/a,"",2297,n/a,n/a,0.995024486818798,n/a,"",7131,n/a,"",24887,0.995024486818798
n/a,6,0.940892987391893,"",2009-03-08 14:21:19,JamjoomCNN,n/a,0.0,"",611,1.0,n/a,0.940892987391893,1.0,6,421,n/a,0,1983,0.940892987391893
n/a,7,0.981296238407836,"",2007-03-16 15:38:22,etanowitz,n/a,0.0,"",2601,0.0,n/a,0.981296238407836,1.0,0,11177,n/a,0,5579,0.981296238407836
1.0,24,0.998853808481817,2,2010-11-16 09:37:44,piersmorgan,1.0,0.0,0,320,0.833333333333333,2,0.998853808481817,1.0,20,3251,0.0,0,276568,0.998853808481817
n/a,11,0.95159945816401,"",2009-01-14 21:25:44,eliselabottCNN,n/a,0.0,"",193,0.636363636363636,n/a,0.95159945816401,1.0,7,1006,n/a,0,2329,0.95159945816401
n/a,4,0.992367406481192,"",2009-06-05 16:49:34,natlsecurityCNN,n/a,0.0,"",1373,1.0,n/a,0.992367406481192,1.0,4,2580,n/a,0,15090,0.992367406481192
n/a,n/a,0.958554756694801,"",2008-12-16 10:28:35,CNNjill,n/a,n/a,"",39,n/a,n/a,0.958554756694801,n/a,"",1001,n/a,"",2657,0.958554756694801
n/a,n/a,n/a,"",n/a,barbarastarrCNN,n/a,n/a,"",n/a,n/a,n/a,n/a,n/a,"",n/a,n/a,"",n/a,n/a
1.0,n/a,0.995389184120038,2,2009-04-09 19:03:26,johnkingCNN,1.0,n/a,0,363,n/a,2,0.995389184120038,n/a,"",1354,0.0,"",27652,0.995389184120038
n/a,n/a,0.928701677607586,"",2009-04-25 07:08:32,asiehCNN,n/a,n/a,"",474,n/a,n/a,0.928701677607586,n/a,"",1861,n/a,"",1675,0.928701677607586
1.0,n/a,0.993539647806606,1,2009-03-03 04:56:18,klustout,1.0,n/a,0,1086,n/a,1,0.993539647806606,n/a,"",4109,0.0,"",18247,0.993539647806606
1.0,10,0.99781181619256,1,2008-04-25 17:23:28,jaketapper,1.0,0.0,0,860,0.5,1,0.99781181619256,1.0,5,26609,0.0,0,88702,0.99781181619256
n/a,3,0.985854954673335,"",2009-07-12 23:31:43,DavidMuirABC,n/a,0.0,"",296,0.666666666666667,n/a,0.985854954673335,1.0,2,813,n/a,0,7275,0.985854954673335
n/a,2,0.997863915807023,"",2009-08-27 02:56:01,camanpour,n/a,0.0,"",26,1.0,n/a,0.997863915807023,1.0,2,1301,n/a,0,94194,0.997863915807023
n/a,n/a,0.989996874023132,"",2009-04-20 13:44:11,BillWeirABC,n/a,n/a,"",224,n/a,n/a,0.989996874023132,n/a,"",847,n/a,"",10325,0.989996874023132
1.0,23,0.993904345107846,2,2009-02-21 12:58:45,LaraABCNews,1.0,0.0,0,1030,0.826086956521739,2,0.993904345107846,1.0,19,2650,0.0,0,19809,0.993904345107846
n/a,2,0.995206835469418,"",2009-10-29 19:21:20,ABCWorldNews,n/a,0.0,"",136,1.0,n/a,0.995206835469418,1.0,2,6420,n/a,0,25882,0.995206835469418
n/a,1,0.875481921433781,"",2009-08-04 15:44:03,KiritRadia_ABC,n/a,0.0,"",229,0.0,n/a,0.875481921433781,1.0,0,395,n/a,0,1021,0.875481921433781
n/a,1,0.982572678962176,"",2009-01-16 21:26:41,michaelluo,n/a,0.0,"",798,0.0,n/a,0.982572678962176,1.0,0,2671,n/a,0,5909,0.982572678962176
n/a,2,0.920079191413984,"",2009-03-31 19:10:28,MarquardtA,n/a,0.0,"",366,0.5,n/a,0.920079191413984,1.0,1,229,n/a,0,1521,0.920079191413984
1.0,5,0.988043138480775,11,2010-01-25 17:34:39,bbclysedoucet,1.0,0.0,0,253,0.6,11,0.988043138480775,1.0,3,1569,0.0,0,8653,0.988043138480775
1.0,13,0.996821923517766,1,2008-04-24 18:41:42,brianstelter,1.0,0.0,0,1570,0.461538461538462,1,0.996821923517766,1.0,6,14705,0.0,0,41984,0.996821923517766
1.0,n/a,0.994242992601855,5,2009-06-15 20:40:51,richardengelNBC,1.0,n/a,0,41,n/a,5,0.994242992601855,n/a,"",613,0.0,"",20890,0.994242992601855
1.0,52,0.994555590288632,2,2009-03-11 22:05:02,jeremyscahill,1.0,0.0,0,1024,0.884615384615385,2,0.994555590288632,1.0,46,4781,0.0,0,22359,0.994555590288632
n/a,n/a,0.957304365947692,"",2009-12-11 11:01:29,hadeelalsh,n/a,n/a,"",332,n/a,n/a,0.957304365947692,n/a,"",693,n/a,"",2596,0.957304365947692
1.0,27,0.985360008335938,1,2009-03-26 12:09:23,jrug,1.0,0.0,0,478,1.0,1,0.985360008335938,1.0,27,1363,0.0,0,7160,0.985360008335938
n/a,16,0.996926122746692,"",2010-03-31 13:21:25,jonsnowC4,n/a,0.0,"",117,0.75,n/a,0.996926122746692,1.0,12,3183,n/a,0,46699,0.996926122746692
n/a,n/a,0.954647285610086,"",2008-05-23 11:05:03,hackneylad,n/a,n/a,"",220,n/a,n/a,0.954647285610086,n/a,"",196,n/a,"",2478,0.954647285610086
1.0,45,0.985333958528707,19,2009-04-20 11:32:50,Ssirgany,1.0,0.0,0,387,0.866666666666667,19,0.985333958528707,1.0,39,7158,0.0,0,7131,0.985333958528707
1.0,5,0.854928623528186,1,2009-07-03 16:32:47,jaredbkeller,1.0,0.0,0,561,0.4,1,0.854928623528186,1.0,2,4269,0.0,0,872,0.854928623528186
0.2,9,0.873971032614359,1,2010-03-22 17:54:07,TamerELG,1.0,0.0,0,618,0.111111111111111,5,0.873944982807127,1.0,1,1003,0.0,0,1010,0.873944982807127
n/a,n/a,0.877722204855684,"",2009-01-12 12:27:27,MohammedY,n/a,n/a,"",174,n/a,n/a,0.877722204855684,n/a,"",2666,n/a,"",1039,0.877722204855684
n/a,5,0.49945295404814,"",2010-01-20 15:45:44,zeinja,n/a,0.0,"",260,0.2,n/a,0.49945295404814,1.0,1,393,n/a,0,112,0.49945295404814
0.933333333333333,30,0.940919037199125,14,2009-07-30 09:12:18,ashrafkhalil,1.0,0.0,0,107,0.8,15,0.940919037199125,1.0,24,657,0.0,0,1984,0.940919037199125
n/a,2,0.839246639574867,"",2009-01-26 10:36:12,RanjAlaaldin,n/a,0.0,"",95,0.0,n/a,0.839220589767636,1.0,0,614,n/a,0,781,0.839220589767636
n/a,n/a,0.766333229134104,"",2010-02-17 16:49:38,Munashik,n/a,n/a,"",136,n/a,n/a,0.766307179326873,n/a,"",934,n/a,"",493,0.766307179326873
1.0,313,0.989345628842347,1,2010-01-10 15:18:42,rassdwehda,1.0,0.0,0,10,0.968051118210863,1,0.989345628842347,1.0,303,9963,0.0,0,9781,0.989345628842347
n/a,n/a,0.968688131707825,"",2008-09-03 06:54:28,AzmatZahra,n/a,n/a,"",860,n/a,n/a,0.968688131707825,n/a,"",2657,n/a,"",3394,0.968688131707825
0.533333333333333,91,0.879910388663124,8,2008-04-07 09:18:44,jmayton,1.0,0.0,0,189,0.230769230769231,15,0.879910388663124,1.0,21,9570,0.0,0,1060,0.879910388663124
0.25,85,0.9981765134938,1,2008-01-19 07:10:28,suthichai,1.0,0.0,0,661,0.858823529411765,4,0.9981765134938,1.0,73,44572,0.0,0,115139,0.9981765134938
n/a,8,0.99945295404814,"",2008-10-27 19:14:53,NickKristof,n/a,0.0,"",220,1.0,n/a,0.99945295404814,1.0,8,3726,n/a,0,996804,0.99945295404814
n/a,6,0.973142648744399,"",2009-06-27 15:10:30,lizzieohreally,n/a,0.0,"",619,0.833333333333333,n/a,0.973142648744399,1.0,5,9998,n/a,0,3919,0.973142648744399
n/a,n/a,0.998437011566114,"",2009-01-09 19:41:19,katiecouric,n/a,n/a,"",448,n/a,n/a,0.998437011566114,n/a,"",1840,n/a,"",140507,0.998437011566114
n/a,n/a,0.435005730957591,"",2010-04-29 00:04:00,ginamariepace,n/a,n/a,"",73,n/a,n/a,0.434693133270814,n/a,"",180,n/a,"",76,0.434693133270814
1.0,16,0.987730540793998,2,2008-08-25 05:48:54,attackerman,1.0,0.0,0,499,0.75,2,0.987730540793998,1.0,12,9774,0.0,0,8467,0.987730540793998
n/a,39,0.915728873606335,"",2009-02-10 22:26:21,melissamoon3,n/a,0.0,"",316,0.102564102564103,n/a,0.915702823799104,1.0,4,18858,n/a,0,1459,0.915702823799104
n/a,17,0.998645410023966,"",2010-04-07 20:43:27,KeithOlbermann,n/a,0.0,"",359,0.647058823529412,n/a,0.998645410023966,1.0,11,11506,n/a,0,221012,0.998645410023966
n/a,n/a,0.99981765134938,"",2008-09-04 15:02:12,maddow,n/a,n/a,"",642,n/a,n/a,0.99981765134938,n/a,"",1852,n/a,"",1746840,0.99981765134938
1.0,n/a,0.995389184120038,2,2009-04-09 19:03:26,JohnKingCNN,1.0,n/a,0,363,n/a,2,0.995389184120038,n/a,"",1354,0.0,"",27652,0.995389184120038
1.0,291,0.995415233927269,16,2009-06-12 20:47:01,SultanAlQassemi,1.0,0.0,0,187,0.9553264604811,16,0.995415233927269,1.0,278,9712,0.0,0,27653,0.995415233927269
n/a,45,0.994998437011566,"",2008-09-04 00:35:38,sharifkouddous,n/a,0.0,"",359,1.0,n/a,0.994998437011566,1.0,45,1421,n/a,0,24507,0.994998437011566
n/a,n/a,n/a,"",n/a,speak2tweet,n/a,n/a,"",n/a,n/a,n/a,n/a,n/a,"",n/a,n/a,"",n/a,n/a
1.0,95,0.986011253516724,19,2011-01-28 05:56:00,jan25voices,1.0,0.0,0,9,0.978947368421053,19,0.986011253516724,1.0,93,745,0.0,0,7305,0.986011253516724
0.837837837837838,2,0.913019693654267,248,2011-01-27 00:29:47,jan25live,1.0,0.0,0,2,1.0,296,0.913019693654267,1.0,2,1652,0.0,0,1421,0.913019693654267
