screen_name,relevant_total,irrelevant_total,friends_count,friends_percentile,followers_count,followers_percentile,statuses_count,statuses_percentile,created_at,relevant_user_gets_retweeted,relevant_user_retweets,relevant_percent_user_gets_retweeted,relevant_percent_user_retweets,irrelevant_user_gets_retweeted,irrelevant_user_retweets,irrelevant_percent_user_gets_retweeted,irrelevant_percent_user_retweets
0.994845360824742,388,30690,1.0,41,171843,0.998619360216734,AJEnglish,0.0,0,0.998619360216734,2007-04-17 08:23:08,1.0,41,1.0,386,58,0.0,0,0.998619360216734
AJEnglish,41,388,58,0.998619360216734,171843,0.998619360216734,30690,0.998619360216734,2007-04-17 08:23:08,41,0,1.0,0.0,386,0,0.994845360824742,0.0
AJELive,39,212,34,0.996639574867146,39486,0.996639574867146,1482,0.996639574867146,2008-12-28 08:02:32,33,0,0.846153846153846,0.0,210,0,0.990566037735849,0.0
AJArabic,268,599,3,0.996795873710535,40517,0.996795873710535,51509,0.996795873710535,2007-04-26 19:33:12,265,0,0.988805970149254,0.0,516,0,0.861435726210351,0.0
AJNLive,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,"","",n/a,n/a,"","",n/a,n/a
AJTalk,120,445,34,0.979837449202876,5144,0.979837449202876,6023,0.979837449202876,2007-07-30 20:51:45,110,0,0.916666666666667,0.0,320,0,0.719101123595506,0.0
ajarabic,268,599,3,0.996795873710535,40517,0.996795873710535,51509,0.996795873710535,2007-04-26 19:33:12,265,0,0.988805970149254,0.0,516,0,0.861435726210351,0.0
guardian,10,183,490,0.997212670626237,55526,0.997212670626237,1902,0.997212670626237,2009-11-05 23:49:19,10,0,1.0,0.0,160,0,0.87431693989071,0.0
guardian_world,26,122,181,0.988616234239867,9066,0.988616234239867,1697,0.988616234239867,2010-06-17 14:24:57,26,0,1.0,0.0,115,0,0.942622950819672,0.0
guardiannews,2,573,1311,0.998306762529957,128955,0.998306762529957,42042,0.998306762529957,2007-02-22 12:32:47,2,0,1.0,0.0,549,0,0.958115183246073,0.0
BBCWorld,11,823,19,0.999218505783057,481733,0.999218505783057,75899,0.999218505783057,2007-02-01 07:44:29,11,0,1.0,0.0,818,0,0.993924665856622,0.0
BBCBreaking,2,43,2,0.999400854433677,876741,0.999400854433677,1524,0.999400854433677,2007-04-22 14:42:37,2,0,1.0,0.0,43,0,1.0,0.0
r4today,2,82,11618,0.997421069084089,65260,0.997421069084089,4287,0.997421069084089,2007-08-13 23:23:33,2,0,1.0,0.0,80,0,0.975609756097561,0.0
BBCNewsnight,n/a,87,6458,0.995571532770657,29261,0.995571532770657,2668,0.995571532770657,2009-02-10 20:37:57,"","",n/a,n/a,79,0,0.908045977011494,0.0
BBC_HaveYourSay,1,46,3694,0.993148900698135,17278,0.993148900698135,5389,0.993148900698135,2008-03-15 20:06:31,0,0,0.0,0.0,8,0,0.173913043478261,0.0
WSJMidEast,n/a,51,376,0.971267062623737,3663,0.971267062623737,1386,0.971267062623737,2010-04-06 18:48:41,"","",n/a,n/a,34,0,0.666666666666667,0.0
WSJ,n/a,185,153,0.999244555590289,626488,0.999244555590289,20348,0.999244555590289,2007-04-01 06:22:13,"","",n/a,n/a,172,0,0.92972972972973,0.0
washingtonpost,5,1048,7214,0.998984057517974,307620,0.998984057517974,22373,0.998984057517974,2007-03-27 11:19:39,5,0,1.0,0.0,1035,0,0.987595419847328,0.0
cnn,n/a,153,535,0.999713452120454,1584697,0.999713452120454,18780,0.999713452120454,2007-02-09 00:35:02,"","",n/a,n/a,153,0,1.0,0.0
cnni,1,247,227,0.998332812337189,133530,0.998332812337189,37322,0.998332812337189,2007-03-24 10:48:14,1,0,1.0,0.0,235,0,0.951417004048583,0.0
cnnbrk,3,326,31,0.999973950192769,3801439,0.999973950192769,7604,0.999973950192769,2007-01-02 01:48:14,3,0,1.0,0.0,325,0,0.996932515337423,0.0
cnnpr,2,75,250,0.988147337709701,8698,0.988147337709701,2251,0.988147337709701,2009-09-03 20:21:30,1,0,0.5,0.0,45,0,0.6,0.0
cnnlive,n/a,173,308,0.997655517349172,73125,0.997655517349172,4830,0.997655517349172,2007-10-04 14:58:27,"","",n/a,n/a,170,0,0.982658959537572,0.0
CNNee,5,119,170,0.999166406168594,408503,0.999166406168594,5004,0.999166406168594,2009-04-21 12:14:47,5,0,1.0,0.0,119,0,1.0,0.0
CNN_Newsroom,n/a,27,840,0.997681567156403,76158,0.997681567156403,3118,0.997681567156403,2007-10-20 20:14:41,"","",n/a,n/a,21,0,0.777777777777778,0.0
PoliticalTicker,n/a,262,23,0.997525268313014,69055,0.997525268313014,26535,0.997525268313014,2007-10-04 21:12:49,"","",n/a,n/a,218,0,0.83206106870229,0.0
PiersTonight,n/a,117,60,0.993695946649995,18912,0.993695946649995,383,0.993695946649995,2010-11-05 19:13:10,"","",n/a,n/a,107,0,0.914529914529915,0.0
iDeskCNN,3,72,2141,0.992940502240283,16735,0.992940502240283,11475,0.992940502240283,2007-12-10 14:19:07,3,0,1.0,0.0,50,0,0.694444444444444,0.0
natlsecuritycnn,1,115,1373,0.992367406481192,15090,0.992367406481192,2580,0.992367406481192,2009-06-05 16:49:34,1,0,1.0,0.0,112,0,0.973913043478261,0.0
cnnAM,2,144,182,0.994269042409086,20948,0.994269042409086,5150,0.994269042409086,2009-03-05 18:49:43,2,0,1.0,0.0,78,0,0.541666666666667,0.0
CNNsotu,n/a,5,123,0.988225487131395,8788,0.988225487131395,801,0.988225487131395,2008-11-02 10:52:24,"","",n/a,n/a,5,0,1.0,0.0
BackStory,3,39,2698,0.989033031155569,9478,0.989033031155569,4486,0.989033031155569,2007-12-10 14:29:26,2,0,0.666666666666667,0.0,25,0,0.641025641025641,0.0
time,n/a,450,140,0.999921850578306,2324680,0.999921850578306,19481,0.999921850578306,2008-04-03 13:54:30,"","",n/a,n/a,450,0,1.0,0.0
huffingtonpost,23,777,4716,0.999374804626446,838932,0.999374804626446,46586,0.999374804626446,2008-04-24 14:07:28,23,0,1.0,0.0,774,0,0.996138996138996,0.0
NYTimes,17,678,192,0.999947900385537,2894219,0.999947900385537,58260,0.999947900385537,2007-03-02 20:41:42,17,0,1.0,0.0,678,0,1.0,0.0
nytimesworld,n/a,568,177,0.994425341252475,21487,0.994425341252475,39665,0.994425341252475,2007-03-22 13:59:49,"","",n/a,n/a,309,0,0.544014084507042,0.0
nytimespolitics,n/a,297,145,0.994685839324789,22886,0.994685839324789,19166,0.994685839324789,2007-03-22 14:21:06,"","",n/a,n/a,151,0,0.508417508417508,0.0
thelede,n/a,108,90,0.989736375950818,10022,0.989736375950818,2626,0.989736375950818,2008-04-18 15:13:56,"","",n/a,n/a,89,0,0.824074074074074,0.0
CBSNews,7,374,103,0.999739501927686,1625008,0.999739501927686,14477,0.999739501927686,2008-06-05 00:54:31,7,0,1.0,0.0,360,0,0.962566844919786,0.0
ABC,5,553,266,0.999479003855371,1193365,0.999479003855371,23697,0.999479003855371,2009-04-04 12:40:32,5,0,1.0,0.0,542,0,0.980108499095841,0.0
ABCWorldNews,2,415,136,0.995206835469418,25882,0.995206835469418,6420,0.995206835469418,2009-10-29 19:21:20,2,0,1.0,0.0,275,0,0.662650602409639,0.0
ABCNewsNews,n/a,39,86,0.992263207252266,14925,0.992263207252266,1533,0.992263207252266,2009-03-31 13:19:02,"","",n/a,n/a,17,0,0.435897435897436,0.0
ABCNews,n/a,437,182,0.997238720433469,55735,0.997238720433469,73210,0.997238720433469,2007-03-29 02:15:36,"","",n/a,n/a,379,0,0.867276887871854,0.0
Nightline,n/a,45,64,0.99963530269876,1479160,0.99963530269876,3976,0.99963530269876,2009-01-29 22:55:43,"","",n/a,n/a,41,0,0.911111111111111,0.0
TheDailyShow,1,84,42,0.998567260602272,168467,0.998567260602272,1141,0.998567260602272,2010-06-22 16:41:05,1,0,1.0,0.0,83,0,0.988095238095238,0.0
BreakingNews,3,767,311,0.999895800771074,2103391,0.999895800771074,45944,0.999895800771074,2007-05-13 23:06:45,3,0,1.0,0.0,766,0,0.998696219035202,0.0
reuters,n/a,241,348,0.999114306554131,394164,0.999114306554131,39543,0.999114306554131,2007-03-20 17:46:05,"","",n/a,n/a,240,0,0.995850622406639,0.0
la_informacion,6,344,576,0.998410961758883,139635,0.998410961758883,1680,0.998410961758883,2009-01-07 11:01:52,3,0,0.5,0.0,279,0,0.811046511627907,0.0
BestNewsChannel,n/a,23,29810,0.996066479108055,34086,0.996066479108055,1022,0.996066479108055,2010-04-10 19:55:00,"","",n/a,n/a,1,0,0.0434782608695652,0.0
AlArabiya_Eng,4,415,7,0.990778368240075,11605,0.990778368240075,4273,0.990778368240075,2009-02-28 08:31:32,4,0,1.0,0.0,345,0,0.831325301204819,0.0
DailyNewsEgypt,69,79,16,0.993461498384912,17945,0.993461498384912,8685,0.993461498384912,2009-04-26 07:56:24,69,0,1.0,0.0,49,0,0.620253164556962,0.0
