screen_name,relevant_total,irrelevant_total,friends_count,friends_percentile,followers_count,followers_percentile,statuses_count,statuses_percentile,created_at,relevant_user_gets_retweeted,relevant_user_retweets,relevant_percent_user_gets_retweeted,relevant_percent_user_retweets,irrelevant_user_gets_retweeted,irrelevant_user_retweets,irrelevant_percent_user_gets_retweeted,irrelevant_percent_user_retweets
mar3e,13,60,1088,0.953136396790664,2398,0.953136396790664,24356,0.953136396790664,2008-10-07 02:28:49,6,0,0.461538461538462,0.0,26,0,0.433333333333333,0.0
alaa,n/a,n/a,348,0.988876732312181,9269,0.988876732312181,33201,0.988876732312181,2007-03-22 18:41:12,"","",n/a,n/a,"","",n/a,n/a
ifikra,n/a,11,595,0.969756173804314,3511,0.969756173804314,6874,0.969756173804314,2008-06-07 12:01:01,"","",n/a,n/a,6,0,0.545454545454545,0.0
RamyRaoof,n/a,11,112,0.988746483276024,9108,0.988746483276024,9430,0.988746483276024,2009-03-06 15:52:00,"","",n/a,n/a,8,0,0.727272727272727,0.0
Ghonim,n/a,2,289,0.987860789830155,8559,0.987860789830155,3981,0.987860789830155,2009-03-07 12:35:22,"","",n/a,n/a,1,0,0.5,0.0
weddady,1,114,556,0.980202146504116,5236,0.980202146504116,30469,0.980202146504116,2008-06-27 08:57:04,1,0,1.0,0.0,51,0,0.447368421052632,0.0
wsaqaf,n/a,n/a,8,0.537694071063874,138,0.537746170678337,27,0.537694071063874,2008-08-22 14:47:42,"","",n/a,n/a,"","",n/a,n/a
justimage,n/a,2,138,0.968115035948734,3342,0.968115035948734,2805,0.968115035948734,2009-03-18 19:55:39,"","",n/a,n/a,0,0,0.0,0.0
joshmull,n/a,11,2126,0.958658955923726,2667,0.958658955923726,12365,0.958658955923726,2007-03-28 04:31:51,"","",n/a,n/a,6,0,0.545454545454545,0.0
ircpresident,n/a,21,827,0.966083150984683,3180,0.966083150984683,22668,0.966083150984683,2007-02-01 18:17:41,"","",n/a,n/a,3,0,0.142857142857143,0.0
3arabawy,11,66,351,0.990517870167761,11189,0.990517870167761,28986,0.990517870167761,2007-10-21 08:37:59,9,0,0.818181818181818,0.0,50,0,0.757575757575758,0.0
AzizaSami,1,41,101,0.690919037199125,318,0.690919037199125,2266,0.690919037199125,2011-01-01 16:58:50,0,0,0.0,0.0,14,0,0.341463414634146,0.0
H_Eid,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,"","",n/a,n/a,"","",n/a,n/a
Zeinobia,n/a,91,2974,0.984265916432218,6674,0.984265916432218,34495,0.984265916432218,2007-01-06 21:21:50,"","",n/a,n/a,66,0,0.725274725274725,0.0
ianinegypt,n/a,2,100,0.986922996769824,7831,0.986922996769824,1207,0.986922996769824,2009-05-15 07:49:52,"","",n/a,n/a,2,0,1.0,0.0
mtwfeeq,n/a,34,247,0.876081067000104,1027,0.876081067000104,25408,0.876081067000104,2007-11-29 22:55:26,"","",n/a,n/a,9,0,0.264705882352941,0.0
faroukadel,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,"","",n/a,n/a,"","",n/a,n/a
tarekshalaby,1,16,144,0.944696259247682,2090,0.944696259247682,4444,0.944696259247682,2009-06-26 13:42:46,0,0,0.0,0.0,1,0,0.0625,0.0
Sarahcarr,n/a,33,362,0.973246847973325,3923,0.973246847973325,8575,0.973246847973325,2007-12-11 10:02:37,"","",n/a,n/a,10,0,0.303030303030303,0.0
BloggerSeif,1,77,1280,0.976919870792956,4588,0.976919870792956,12528,0.976919870792956,2010-06-26 12:44:20,0,0,0.0,0.0,6,0,0.0779220779220779,0.0
monasosh,1,32,198,0.985412107950401,7165,0.985412107950401,7851,0.985412107950401,2007-07-15 16:20:35,1,0,1.0,0.0,5,0,0.15625,0.0
naglarzk,n/a,1,170,0.906663540689799,1344,0.906663540689799,3170,0.906663540689799,2009-01-24 13:35:19,"","",n/a,n/a,0,0,0.0,0.0
ShereefAbbas,n/a,30,242,0.907340835677816,1350,0.907340835677816,2680,0.907340835677816,2009-03-28 21:39:39,"","",n/a,n/a,8,0,0.266666666666667,0.0
wael,4,58,998,0.970876315515265,3618,0.970876315515265,14680,0.970876315515265,2007-03-14 17:47:53,1,0,0.25,0.0,20,0,0.344827586206897,0.0
jonjensen,n/a,1,107,0.975122434093988,4260,0.975122434093988,1766,0.975122434093988,2008-04-23 16:57:21,"","",n/a,n/a,1,0,1.0,0.0
3effat,n/a,22,195,0.888298426591643,1138,0.888298426591643,2019,0.888298426591643,2009-06-07 15:55:10,"","",n/a,n/a,7,0,0.318181818181818,0.0
manal,n/a,n/a,238,0.975174533708451,4262,0.975174533708451,5932,0.975174533708451,2007-03-22 19:01:24,"","",n/a,n/a,"","",n/a,n/a
estr4ng3d,2,6,95,0.812024591018026,650,0.812024591018026,2095,0.812024591018026,2007-04-24 07:09:31,2,0,1.0,0.0,5,0,0.833333333333333,0.0
RiverDryFilm,n/a,8,222,0.897572157966031,1237,0.8975461081588,826,0.897572157966031,2009-11-18 02:04:00,"","",n/a,n/a,3,0,0.375,0.0
beleidy,n/a,14,166,0.974549338334896,4156,0.974549338334896,6504,0.974549338334896,2008-12-28 16:41:39,"","",n/a,n/a,2,0,0.142857142857143,0.0
waelabbas,n/a,71,238,0.992185057830572,14562,0.992185057830572,45305,0.992185057830572,2007-03-25 10:58:09,"","",n/a,n/a,20,0,0.28169014084507,0.0
DannyRamadan,n/a,n/a,96,0.927972283005106,1662,0.927972283005106,862,0.927972283005106,2010-03-26 13:16:17,"","",n/a,n/a,"","",n/a,n/a
Linaattalah,n/a,1,144,0.952250703344795,2366,0.952250703344795,1649,0.952250703344795,2009-05-12 23:05:00,"","",n/a,n/a,0,0,0.0,0.0
mfatta7,8,44,427,0.96913097843076,3458,0.96913097843076,17473,0.96913097843076,2010-01-04 06:09:28,5,0,0.625,0.0,34,0,0.772727272727273,0.0
gr33ndata,n/a,3,883,0.941492132958216,2007,0.941492132958216,15924,0.941492132958216,2007-01-05 00:37:53,"","",n/a,n/a,0,0,0.0,0.0
AhmedDarweesh,1,36,1027,0.819787433572992,685,0.81976138376576,2416,0.819787433572992,2010-05-18 09:59:41,1,0,1.0,0.0,3,0,0.0833333333333333,0.0
muiz,n/a,29,38,0.853678232781077,864,0.853678232781077,14078,0.853678232781077,2008-11-03 15:59:01,"","",n/a,n/a,2,0,0.0689655172413793,0.0
litfreak,n/a,41,444,0.934745232885277,1824,0.934745232885277,10705,0.934745232885277,2009-01-08 08:34:38,"","",n/a,n/a,2,0,0.0487804878048781,0.0
mosaaberizing,n/a,15,183,0.963868917370011,3020,0.963868917370011,4487,0.963868917370011,2009-07-11 18:40:51,"","",n/a,n/a,4,0,0.266666666666667,0.0
MohammadYasser,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,"","",n/a,n/a,"","",n/a,n/a
NahlahAyed,n/a,n/a,16,0.962331978743357,2907,0.962331978743357,213,0.962331978743357,2010-05-21 05:05:23,"","",n/a,n/a,"","",n/a,n/a
mariamali7,n/a,9,102,0.655621548400542,262,0.655725747629468,1243,0.655621548400542,2010-01-23 20:50:22,"","",n/a,n/a,6,0,0.666666666666667,0.0
Lastoadri,4,35,441,0.969730123997082,3509,0.969730123997082,22370,0.969730123997082,2006-12-27 23:54:07,3,0,0.75,0.0,11,0,0.314285714285714,0.0
Organica_,n/a,17,435,0.809784307596124,640,0.809784307596124,13278,0.809784307596124,2009-01-03 01:40:06,"","",n/a,n/a,0,0,0.0,0.0
Beirutiyat,n/a,14,1839,0.920261540064603,1525,0.920261540064603,6189,0.920261540064603,2009-08-19 07:58:18,"","",n/a,n/a,7,0,0.5,0.0
TravellerW,n/a,7,643,0.968792330936751,3411,0.968792330936751,16890,0.968792330936751,2009-02-19 03:57:38,"","",n/a,n/a,0,0,0.0,0.0
parvezsharma,n/a,n/a,445,0.900281337918099,1264,0.900255288110868,1437,0.900281337918099,2009-05-19 19:27:53,"","",n/a,n/a,"","",n/a,n/a
Ayyachomsky,n/a,10,312,0.879597790976347,1057,0.879597790976347,5635,0.879597790976347,2007-08-16 09:42:38,"","",n/a,n/a,2,0,0.2,0.0
Gsquare86,2,20,478,0.983119724914036,6097,0.983119724914036,9350,0.983119724914036,2009-03-13 22:03:49,0,0,0.0,0.0,10,0,0.5,0.0
ShawkattRaghib,n/a,n/a,586,0.843961654683755,804,0.843961654683755,1100,0.843961654683755,2010-08-13 23:20:00,"","",n/a,n/a,"","",n/a,n/a
waelabdelfattah,n/a,12,50,0.859878086902157,901,0.859904136709388,731,0.859878086902157,2010-03-15 08:27:31,"","",n/a,n/a,9,0,0.75,0.0
Tom_El_Rumi,n/a,7,300,0.883609461289986,1089,0.883609461289986,3949,0.883609461289986,2009-02-07 13:59:57,"","",n/a,n/a,5,0,0.714285714285714,0.0
RHelmii,n/a,20,82,0.926122746691674,1626,0.926122746691674,3426,0.926122746691674,2010-06-16 09:03:04,"","",n/a,n/a,7,0,0.35,0.0
Alshaheeed,n/a,n/a,11,0.959362300718975,2717,0.959362300718975,362,0.959362300718975,2011-01-25 01:02:44,"","",n/a,n/a,"","",n/a,n/a
occupiedcairo,n/a,n/a,459,0.958164009586329,2634,0.958164009586329,1252,0.958164009586329,2008-12-22 14:01:49,"","",n/a,n/a,"","",n/a,n/a
Asadx,n/a,n/a,398,0.939251849536313,1947,0.939303949150776,2043,0.939251849536313,2007-09-14 22:36:33,"","",n/a,n/a,"","",n/a,n/a
Selnadeem,n/a,7,391,0.931619256017506,1745,0.931619256017506,7935,0.931619256017506,2009-02-10 18:06:41,"","",n/a,n/a,0,0,0.0,0.0
Wa7damasrya,n/a,n/a,172,0.90778368240075,1354,0.907757632593519,790,0.90778368240075,2009-03-04 12:48:56,"","",n/a,n/a,"","",n/a,n/a
matthewteller,n/a,27,705,0.94211732833177,2027,0.94211732833177,8244,0.94211732833177,2009-04-27 09:33:35,"","",n/a,n/a,13,0,0.481481481481481,0.0
avinunu,n/a,22,636,0.98702719599875,7907,0.98702719599875,31209,0.98702719599875,2008-10-16 01:25:33,"","",n/a,n/a,19,0,0.863636363636364,0.0
lisang,n/a,8,678,0.9658487027196,3168,0.9658487027196,14679,0.9658487027196,2007-07-25 08:40:42,"","",n/a,n/a,3,0,0.375,0.0
anjucomet,n/a,n/a,103,0.920235490257372,1524,0.920235490257372,280,0.920235490257372,2009-04-09 17:49:03,"","",n/a,n/a,"","",n/a,n/a
aGharbeia,n/a,3,206,0.927399187246014,1647,0.927399187246014,2691,0.927399187246014,2009-12-04 20:44:38,"","",n/a,n/a,1,0,0.333333333333333,0.0
Firas_Atraqchi,n/a,13,170,0.899630092737314,1256,0.899630092737314,4134,0.899630092737314,2010-06-13 03:43:06,"","",n/a,n/a,3,0,0.230769230769231,0.0
gamaleid,n/a,53,866,0.971788058768365,3738,0.971788058768365,6221,0.971788058768365,2008-06-22 09:59:00,"","",n/a,n/a,19,0,0.358490566037736,0.0
wnawara,9,98,178,0.916067521100344,1462,0.916067521100344,5972,0.916067521100344,2007-12-05 14:04:11,5,0,0.555555555555556,0.0,56,0,0.571428571428571,0.0
Gue3bara,n/a,9,196,0.949749921850578,2257,0.949749921850578,10188,0.949749921850578,2007-03-26 01:44:58,"","",n/a,n/a,2,0,0.222222222222222,0.0
raafatology,2,4,218,0.926539543607377,1631,0.926539543607377,13291,0.926539543607377,2007-10-02 04:42:26,2,0,1.0,0.0,1,0,0.25,0.0
h_a_nassar,1,68,579,0.76315515265187,484,0.763181202459102,7792,0.76315515265187,2009-06-17 06:51:45,1,0,1.0,0.0,45,0,0.661764705882353,0.0
amira_nosseir,1,151,387,0.887282484109618,1125,0.887282484109618,8396,0.887282484109618,2010-10-15 22:23:53,1,0,1.0,0.0,39,0,0.258278145695364,0.0
elshaheeed,n/a,97,200,0.976424924455559,4516,0.976424924455559,3816,0.976424924455559,2010-06-21 17:55:11,"","",n/a,n/a,51,0,0.525773195876289,0.0
thawrah,4,95,1159,0.929639470667917,1698,0.929639470667917,32228,0.929639470667917,2009-12-31 11:19:29,2,0,0.5,0.0,52,0,0.547368421052632,0.0
reemabdellatif,n/a,9,300,0.825648640200062,712,0.825674690007294,2093,0.825648640200062,2009-12-06 12:27:00,"","",n/a,n/a,4,0,0.444444444444444,0.0
