relevant_percent_user_gets_retweeted,irrelevant_total,followers_percentile,relevant_user_gets_retweeted,created_at,screen_name,relevant_percent_original_tweets,irrelevant_percent_user_retweets,relevant_user_retweets,friends_count,irrelevant_percent_user_gets_retweeted,relevant_total,friends_percentile,irrelevant_percent_original_tweets,irrelevant_user_gets_retweeted,statuses_count,relevant_percent_user_retweets,irrelevant_user_retweets,followers_count,statuses_percentile
0.857142857142857,9,0.991403563613629,6,2009-02-23 18:08:56,Evanchill,1.0,0.0,0,147,0.555555555555556,7,0.991403563613629,1.0,5,2000,0.0,0,12601,0.991403563613629
0.857142857142857,9,0.991403563613629,6,2009-02-23 18:08:56,Evanchill,1.0,0.0,0,147,0.555555555555556,7,0.991403563613629,1.0,5,2000,0.0,0,12601,0.991403563613629
0.723809523809524,122,0.992106908408878,76,2010-10-12 13:20:38,Dima_Khatib,1.0,0.0,0,535,0.467213114754098,105,0.992106908408878,1.0,57,12998,0.0,0,14366,0.992106908408878
n/a,3,0.811399395644472,"",2009-05-27 10:04:32,ajimran,n/a,0.0,"",82,0.333333333333333,n/a,0.811425445451704,1.0,1,271,n/a,0,647,0.811425445451704
1.0,2,0.993591747421069,11,2009-03-10 13:00:00,AymanM,1.0,0.0,0,118,1.0,11,0.993591747421069,1.0,2,2316,0.0,0,18694,0.993591747421069
1.0,21,0.993956444722309,2,2009-11-25 15:35:26,nolanjazeera,1.0,0.0,0,164,0.619047619047619,2,0.993956444722309,1.0,13,1182,0.0,0,19967,0.993956444722309
n/a,1,0.89900489736376,"",2009-05-25 08:15:27,Marwa_Alasar,n/a,0.0,"",53,1.0,n/a,0.89900489736376,1.0,1,120,n/a,0,1250,0.89900489736376
n/a,13,0.970146920912785,"",2010-10-21 20:39:10,RawyaRageh,n/a,0.0,"",59,0.769230769230769,n/a,0.970146920912785,1.0,10,336,n/a,0,3544,0.970146920912785
1.0,3,0.989762425758049,1,2009-03-16 09:31:14,SherineT,1.0,0.0,0,169,1.0,1,0.989762425758049,1.0,3,1190,0.0,0,10049,0.989762425758049
0.931034482758621,12,0.940215692403876,27,2010-08-26 18:29:19,adamakary,1.0,0.0,0,41,0.25,29,0.940215692403876,1.0,3,542,0.0,0,1969,0.940215692403876
n/a,1,0.980123997082422,"",2008-04-09 22:23:15,glcarlstrom,n/a,0.0,"",407,1.0,n/a,0.980123997082422,1.0,1,9881,n/a,0,5209,0.980123997082422
n/a,3,0.975669480045848,"",2009-01-23 19:33:31,AlanFisher,n/a,0.0,"",242,0.0,n/a,0.975669480045848,1.0,0,11661,n/a,0,4357,0.975669480045848
0.5,69,0.934041888090028,10,2007-05-03 13:45:19,abdu,1.0,0.0,0,618,0.782608695652174,20,0.934041888090028,1.0,54,4305,0.0,0,1811,0.934041888090028
n/a,n/a,n/a,"",n/a,abdullahmussa,n/a,n/a,"",n/a,n/a,n/a,n/a,n/a,"",n/a,n/a,"",n/a,n/a
1.0,4,0.987600291757841,1,2009-10-26 05:08:15,IvanCNN,1.0,0.0,0,23,0.75,1,0.987600291757841,1.0,3,1101,0.0,0,8374,0.987600291757841
1.0,50,0.995232885276649,1,2009-10-19 12:42:46,BenCNN,1.0,0.0,0,226,0.94,1,0.995232885276649,1.0,47,1946,0.0,0,25922,0.995232885276649
n/a,2,0.972725851828696,"",2008-11-11 23:14:48,arwadamonCNN,n/a,0.0,"",230,0.5,n/a,0.972725851828696,1.0,1,1425,n/a,0,3852,0.972725851828696
n/a,n/a,0.999426904240909,"",2008-06-24 22:37:59,AndersonCooper,n/a,n/a,"",56,n/a,n/a,0.999426904240909,n/a,"",10091,n/a,"",903832,0.999426904240909
1.0,13,0.992862352818589,1,2009-03-19 16:41:46,HalaGorani,1.0,0.0,0,394,0.692307692307692,1,0.992862352818589,1.0,9,2228,0.0,0,16589,0.992862352818589
n/a,6,0.96165468375534,"",2009-03-10 08:56:34,fpleitgenCNN,n/a,0.0,"",61,0.166666666666667,n/a,0.96165468375534,1.0,1,1598,n/a,0,2855,0.96165468375534
n/a,n/a,n/a,"",n/a,SaadAbedine,n/a,n/a,"",n/a,n/a,n/a,n/a,n/a,"",n/a,n/a,"",n/a,n/a
n/a,5,0.989319579035115,"",2009-03-16 23:41:59,NicRobertsonCNN,n/a,0.0,"",44,0.6,n/a,0.989319579035115,1.0,3,489,n/a,0,9779,0.989319579035115
n/a,n/a,0.885641346254038,"",2009-03-06 19:12:45,MAFox,n/a,n/a,"",69,n/a,n/a,0.885641346254038,n/a,"",56,n/a,"",1110,0.885641346254038
1.0,2,0.986922996769824,26,2009-05-15 07:49:52,ianinegypt,1.0,0.0,0,100,1.0,26,0.986922996769824,1.0,2,1207,0.0,0,7831,0.986922996769824
n/a,n/a,0.843075961237887,"",2008-12-05 00:00:50,neilhallsworth,n/a,n/a,"",20,n/a,n/a,0.843075961237887,n/a,"",114,n/a,"",799,0.843075961237887
n/a,17,0.995024486818798,"",2008-09-06 16:00:37,edhenryCNN,n/a,0.0,"",2297,0.764705882352941,n/a,0.995024486818798,1.0,13,7131,n/a,0,24887,0.995024486818798
n/a,n/a,0.940892987391893,"",2009-03-08 14:21:19,JamjoomCNN,n/a,n/a,"",611,n/a,n/a,0.940892987391893,n/a,"",421,n/a,"",1983,0.940892987391893
n/a,2,0.981296238407836,"",2007-03-16 15:38:22,etanowitz,n/a,0.0,"",2601,0.5,n/a,0.981296238407836,1.0,1,11177,n/a,0,5579,0.981296238407836
n/a,38,0.998853808481817,"",2010-11-16 09:37:44,piersmorgan,n/a,0.0,"",320,0.921052631578947,n/a,0.998853808481817,1.0,35,3251,n/a,0,276568,0.998853808481817
n/a,13,0.95159945816401,"",2009-01-14 21:25:44,eliselabottCNN,n/a,0.0,"",193,0.538461538461538,n/a,0.95159945816401,1.0,7,1006,n/a,0,2329,0.95159945816401
n/a,4,0.992367406481192,"",2009-06-05 16:49:34,natlsecurityCNN,n/a,0.0,"",1373,1.0,n/a,0.992367406481192,1.0,4,2580,n/a,0,15090,0.992367406481192
n/a,n/a,0.958554756694801,"",2008-12-16 10:28:35,CNNjill,n/a,n/a,"",39,n/a,n/a,0.958554756694801,n/a,"",1001,n/a,"",2657,0.958554756694801
n/a,n/a,n/a,"",n/a,barbarastarrCNN,n/a,n/a,"",n/a,n/a,n/a,n/a,n/a,"",n/a,n/a,"",n/a,n/a
n/a,n/a,0.995389184120038,"",2009-04-09 19:03:26,johnkingCNN,n/a,n/a,"",363,n/a,n/a,0.995389184120038,n/a,"",1354,n/a,"",27652,0.995389184120038
n/a,n/a,0.928701677607586,"",2009-04-25 07:08:32,asiehCNN,n/a,n/a,"",474,n/a,n/a,0.928701677607586,n/a,"",1861,n/a,"",1675,0.928701677607586
n/a,5,0.993539647806606,"",2009-03-03 04:56:18,klustout,n/a,0.0,"",1086,0.8,n/a,0.993539647806606,1.0,4,4109,n/a,0,18247,0.993539647806606
n/a,28,0.99781181619256,"",2008-04-25 17:23:28,jaketapper,n/a,0.0,"",860,0.642857142857143,n/a,0.99781181619256,1.0,18,26609,n/a,0,88702,0.99781181619256
n/a,2,0.985854954673335,"",2009-07-12 23:31:43,DavidMuirABC,n/a,0.0,"",296,0.5,n/a,0.985854954673335,1.0,1,813,n/a,0,7275,0.985854954673335
n/a,6,0.997863915807023,"",2009-08-27 02:56:01,camanpour,n/a,0.0,"",26,1.0,n/a,0.997863915807023,1.0,6,1301,n/a,0,94194,0.997863915807023
n/a,1,0.989996874023132,"",2009-04-20 13:44:11,BillWeirABC,n/a,0.0,"",224,1.0,n/a,0.989996874023132,1.0,1,847,n/a,0,10325,0.989996874023132
n/a,4,0.993904345107846,"",2009-02-21 12:58:45,LaraABCNews,n/a,0.0,"",1030,1.0,n/a,0.993904345107846,1.0,4,2650,n/a,0,19809,0.993904345107846
n/a,32,0.995206835469418,"",2009-10-29 19:21:20,ABCWorldNews,n/a,0.0,"",136,0.5,n/a,0.995206835469418,1.0,16,6420,n/a,0,25882,0.995206835469418
n/a,n/a,0.875481921433781,"",2009-08-04 15:44:03,KiritRadia_ABC,n/a,n/a,"",229,n/a,n/a,0.875481921433781,n/a,"",395,n/a,"",1021,0.875481921433781
n/a,2,0.982572678962176,"",2009-01-16 21:26:41,michaelluo,n/a,0.0,"",798,0.5,n/a,0.982572678962176,1.0,1,2671,n/a,0,5909,0.982572678962176
1.0,3,0.920079191413984,1,2009-03-31 19:10:28,MarquardtA,1.0,0.0,0,366,0.666666666666667,1,0.920079191413984,1.0,2,229,0.0,0,1521,0.920079191413984
1.0,1,0.988043138480775,1,2010-01-25 17:34:39,bbclysedoucet,1.0,0.0,0,253,1.0,1,0.988043138480775,1.0,1,1569,0.0,0,8653,0.988043138480775
