screen_name,relevant_total,irrelevant_total,friends_count,friends_percentile,followers_count,followers_percentile,statuses_count,statuses_percentile,created_at,relevant_user_gets_retweeted,relevant_user_retweets,relevant_percent_user_gets_retweeted,relevant_percent_user_retweets,irrelevant_user_gets_retweeted,irrelevant_user_retweets,irrelevant_percent_user_gets_retweeted,irrelevant_percent_user_retweets
YosriFouda,12,40,75,0.966067246940308,2775,0.966067246940308,719,0.966067246940308,2010-09-11 17:50:36,12,0,1.0,0.0,36,0,0.9,0.0
abuaardvark,6,258,206,0.984580037997614,5400,0.984580037997614,5819,0.984580037997614,2008-12-20 15:33:59,4,0,0.666666666666667,0.0,187,0,0.724806201550388,0.0
AsemGH,4,674,293,0.976671232271462,3757,0.976671232271462,15178,0.976671232271462,2009-06-29 20:59:12,3,0,0.75,0.0,75,0,0.111275964391691,0.0
habibahamid,15,392,1922,0.967967127645473,2920,0.967967127645473,4973,0.967967127645473,2009-02-25 16:13:34,15,0,1.0,0.0,254,0,0.647959183673469,0.0
DavidClinchNews,6,219,5085,0.981796491848186,4682,0.981796491848186,15401,0.981796491848186,2008-11-11 19:19:31,3,0,0.5,0.0,79,0,0.360730593607306,0.0
AlanFisher,67,687,242,0.979896611143021,4357,0.979896611143021,11661,0.979896611143021,2009-01-23 19:33:31,64,0,0.955223880597015,0.0,339,0,0.493449781659389,0.0
Ssirgany,15,103,385,0.985905536164008,5967,0.985905536164008,7050,0.985905536164008,2009-04-20 11:32:50,7,0,0.466666666666667,0.0,53,0,0.514563106796116,0.0
jamaldajani,55,48,87,0.970927406883754,3158,0.970927406883754,9882,0.970927406883754,2008-09-02 01:25:12,44,0,0.8,0.0,35,0,0.729166666666667,0.0
ammr,1,270,606,0.972164538505722,3284,0.972164538505722,13554,0.972164538505722,2007-05-20 11:52:24,1,0,1.0,0.0,55,0,0.203703703703704,0.0
blakehounshell,21,487,618,0.983166173286794,4971,0.983166173286794,9143,0.983166173286794,2008-11-08 02:35:34,20,0,0.952380952380952,0.0,370,0,0.759753593429158,0.0
abkamal,16,174,1622,0.938894534529227,1719,0.938806167984801,5124,0.938894534529227,2009-06-20 17:31:08,6,0,0.375,0.0,52,0,0.298850574712644,0.0
adammynott,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,"","",n/a,n/a,"","",n/a,n/a
jaycbee,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,"","",n/a,n/a,"","",n/a,n/a
Andy_Burton,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,"","",n/a,n/a,"","",n/a,n/a
