screen_name,user_type,text,created_at,originator,replied_to
onthemiddleeast,normal_user,RT @SherineT: #Egypt Interior Min: NO more protests will be allowed;Security forces exercised restraint for hours:protestors attacked our,2011-01-26 01:11:04,true,SherineT
MohannadKhairy,normal_user,RT @SherineT: #Egypt Interior Min: NO more protests will be allowed;Security forces exercised restraint for hours:protestors attacked ou ...,2011-01-26 01:10:44,false,SherineT
khalawa69,normal_user,RT @SherineT: #Egypt Interior Min: NO more protests will be allowed;Security forces exercised restraint for hours:protestors attacked ou ...,2011-01-26 01:13:49,false,SherineT
khadijapatel,normal_user,RT @SherineT: #Egypt Interior Min: NO more protests will be allowed;Security forces exercised restraint for hours:protestors attacked ou ...,2011-01-26 01:13:36,false,n/a
abdullahali7,normal_user,RT @SherineT: #Egypt Interior Min: NO more protests will be allowed;Security forces exercised restraint for hours:protestors attacked ou ...,2011-01-26 01:13:18,false,SherineT
blakehounshell,2,RT @SherineT: #Egypt Interior Min: NO more protests will be allowed;Security forces exercised restraint for hours:protestors attacked ou ...,2011-01-26 01:11:38,false,SherineT
SamIDaouD,normal_user,RT @SherineT: #Egypt Interior Min: NO more protests will be allowed;Security forces exercised restraint for hours:protestors attacked ou ...,2011-01-26 01:11:34,false,SherineT
litfreak,3,RT @SherineT: #Egypt Interior Min: NO more protests will be allowed;Security forces exercised restraint for hours:protestors attacked ou ...,2011-01-26 01:15:11,false,SherineT
tariqsaleh,normal_user,RT @SherineT: #Egypt Interior Min: NO more protests will be allowed;Security forces exercised restraint for hours:protestors attacked ou ...,2011-01-26 01:15:09,false,SherineT
matisaksk,normal_user,RT @SherineT: #Egypt Interior Min: NO more protests will be allowed;Security forces exercised restraint for hours:protestors attacked ou ...,2011-01-26 01:15:06,false,n/a
RHelmii,3,RT @SherineT: #Egypt Interior Min: NO more protests will be allowed;Security forces exercised restraint for hours:protestors attacked ou ...,2011-01-26 01:14:52,false,SherineT
HebzyA,normal_user,RT @SherineT: #Egypt Interior Min: NO more protests will be allowed;Security forces exercised restraint for hours:protestors attacked ou ...,2011-01-26 01:17:58,false,SherineT
asimk29,normal_user,RT @SherineT: #Egypt Interior Min: NO more protests will be allowed;Security forces exercised restraint for hours:protestors attacked ou ...,2011-01-26 01:20:20,false,SherineT
Laajla,normal_user,RT @SherineT: #Egypt Interior Min: NO more protests will be allowed;Security forces exercised restraint for hours:protestors attacked ou ...,2011-01-26 01:20:18,false,SherineT
FraCicardi,normal_user,RT @SherineT: #Egypt Interior Min: NO more protests will be allowed;Security forces exercised restraint for hours:protestors attacked ou ...,2011-01-26 01:19:35,false,SherineT
middleeasttruth,normal_user,RT @SherineT: #Egypt Interior Min: NO more protests will be allowed;Security forces exercised restraint for hours:protestors attacked ou ...,2011-01-26 01:28:50,false,SherineT
mideastfrancais,normal_user,RT @SherineT: #Egypt Interior Min: NO more protests will be allowed;Security forces exercised restraint for hours:protestors attacked ou ...,2011-01-26 01:31:55,false,SherineT
abuPessoptimist,normal_user,RT @SherineT: #Egypt Interior Min: NO more protests will be allowed;Security forces exercised restraint for hours:protestors attacked ou ...,2011-01-26 01:35:02,false,SherineT
YavorHoffart,normal_user,RT @SherineT: #Egypt Interior Min: NO more protests will be allowed;Security forces exercised restraint for hours:protestors attacked ou ...,2011-01-26 01:36:20,false,SherineT
pierrepetrelli,normal_user,RT @SherineT: #Egypt Interior Min: NO more protests will be allowed;Security forces exercised restraint for hours:protestors attacked ou ...,2011-01-26 01:35:52,false,SherineT
saifedean,normal_user,RT @SherineT: #Egypt Interior Min: NO more protests will be allowed;Security forces exercised restraint for hours:protestors attacked ou ...,2011-01-26 01:37:32,false,n/a
alaa,3,RT @SherineT: #Egypt Interior Min: NO more protests will be allowed;Security forces exercised restraint for hours:protestors attacked ou ...,2011-01-26 02:10:15,false,SherineT
SPaanhangster,normal_user,RT @SherineT: #Egypt Interior Min: NO more protests will be allowed;Security forces exercised restraint for hours:protestors attacked ou ...,2011-01-26 02:21:50,false,SherineT
mostafanageeb,normal_user,RT @SherineT: #Egypt Interior Min: NO more protests will be allowed;Security forces exercised restraint for hours:protestors attacked ou ...,2011-01-26 03:39:46,false,SherineT
Zeinobia,3,RT @SherineT: #Egypt Interior Min: NO more protests will be allowed;Security forces exercised restraint for hours:protestors attacked ou ...,2011-01-26 03:38:44,false,SherineT
ibnkafka,3,RT @SherineT: #Egypt Interior Min: NO more protests will be allowed;Security forces exercised restraint for hours:protestors attacked ou ...,2011-01-26 03:37:38,false,SherineT
TigerLily_Egypt,normal_user,RT @SherineT: #Egypt Interior Min: NO more protests will be allowed;Security forces exercised restraint for hours:protestors attacked ou ...,2011-01-26 03:41:41,false,SherineT
FireLin01,normal_user,RT @SherineT: #Egypt Interior Min: NO more protests will be allowed;Security forces exercised restraint for hours:protestors attacked ou ...,2011-01-26 03:40:36,false,n/a
Ralphwjbrown,normal_user,RT @SherineT: #Egypt Interior Min: NO more protests will be allowed;Security forces exercised restraint for hours:protestors attacked ou ...,2011-01-26 03:51:11,false,SherineT
Gawabaty,normal_user,RT @SherineT: #Egypt Interior Min: NO more protests will be allowed;Security forces exercised restraint for hours:protestors attacked ou ...,2011-01-26 03:52:49,false,SherineT
arabmny84,normal_user,RT @SherineT: #Egypt Interior Min: NO more protests will be allowed;Security forces exercised restraint for hours:protestors attacked ou ...,2011-01-26 04:04:23,false,SherineT
Martin23Martin,normal_user,RT @SherineT: #Egypt Interior Min: NO more protests will be allowed;Security forces exercised restraint for hours:protestors attacked ou ...,2011-01-26 04:02:13,false,SherineT
MonaB2010,normal_user,RT @SherineT: #Egypt Interior Min: NO more protests will be allowed;Security forces exercised restraint for hours:protestors attacked ou ...,2011-01-26 04:09:10,false,n/a
MaudeStMcLeod,normal_user,RT @SherineT: #Egypt Interior Min: NO more protests will be allowed;Security forces exercised restraint for hours:protestors attacked ou ...,2011-01-26 04:23:27,false,SherineT
MireilleIhab,normal_user,RT @SherineT: #Egypt Interior Min: NO more protests will be allowed;Security forces exercised restraint for hours:protestors attacked ou ...,2011-01-26 05:08:32,false,SherineT
