screen_name,user_type,text,created_at,originator,replied_to
ellievhall,normal_user,RT @MennaGamal: Confirmed: Short message service (SMS) blocked in Egypt #Jan25 #Egypt,2011-01-27 12:34:20,true,MennaGamal
AhmadZimo,normal_user,RT @MennaGamal: Confirmed: Short message service (SMS) blocked in Egypt #Jan25 #Egypt,2011-01-27 12:34:11,false,MennaGamal
mekka117,normal_user,RT @MennaGamal: Confirmed: Short message service (SMS) blocked in Egypt #Jan25 #Egypt,2011-01-27 12:33:42,false,n/a
oobi,normal_user,RT @MennaGamal: Confirmed: Short message service (SMS) blocked in Egypt #Jan25 #Egypt,2011-01-27 12:39:07,false,MennaGamal
FXtradingMentor,normal_user,RT @MennaGamal: Confirmed: Short message service (SMS) blocked in Egypt #Jan25 #Egypt,2011-01-27 12:36:39,false,MennaGamal
CB_ZH,normal_user,RT @MennaGamal Confirmed: Short message service (SMS) blocked in Egypt #Jan25 #Egypt,2011-01-27 12:36:38,false,n/a
7usfahmy,normal_user,RT @MennaGamal: Confirmed: Short message service (SMS) blocked in Egypt #Jan25 #Egypt,2011-01-27 12:34:37,false,MennaGamal
tangerineteeth,normal_user,RT @MennaGamal: Confirmed: Short message service (SMS) blocked in Egypt #Jan25 #Egypt,2011-01-27 12:52:24,false,MennaGamal
koeniecom,normal_user,RT @MennaGamal: Confirmed: Short message service (SMS) blocked in Egypt #Jan25 #Egypt,2011-01-27 12:52:11,false,MennaGamal
teedo,normal_user,RT @MennaGamal: Confirmed: Short message service (SMS) blocked in Egypt #Jan25 #Egypt,2011-01-27 12:52:10,false,MennaGamal
Marceloriceputi,normal_user,RT @MennaGamal: Confirmed: Short message service (SMS) blocked in Egypt #Jan25 #Egypt,2011-01-27 12:52:07,false,MennaGamal
El_Mai,normal_user,RT @MennaGamal: Confirmed: Short message service (SMS) blocked in Egypt #Jan25 #Egypt,2011-01-27 12:52:05,false,MennaGamal
Wael_Aziz,normal_user,RT @MennaGamal: Confirmed: Short message service (SMS) blocked in Egypt #Jan25 #Egypt,2011-01-27 12:51:59,false,MennaGamal
teodioaquamugre,normal_user,RT @MennaGamal: Confirmed: Short message service (SMS) blocked in Egypt #Jan25 #Egypt,2011-01-27 12:51:55,false,MennaGamal
jameskconway,normal_user,RT @MennaGamal: Confirmed: Short message service (SMS) blocked in Egypt #Jan25 #Egypt,2011-01-27 12:51:49,false,MennaGamal
__sporkbomb,normal_user,RT @MennaGamal: Confirmed: Short message service (SMS) blocked in Egypt #Jan25 #Egypt,2011-01-27 12:59:29,false,MennaGamal
jwildeboer,normal_user,RD @MennaGamal: Confirmed: Short message service (SMS) blocked in Egypt #Jan25 #Egypt,2011-01-27 12:59:00,false,n/a
weareu,normal_user,RT @MennaGamal: Confirmed: Short message service (SMS) blocked in Egypt #Jan25 #Egypt,2011-01-27 12:56:34,false,MennaGamal
fardarter,normal_user,RT @MennaGamal: Confirmed: Short message service (SMS) blocked in Egypt #Jan25 #Egypt,2011-01-27 12:56:33,false,MennaGamal
porrporr,normal_user,RT @MennaGamal: Confirmed: Short message service (SMS) blocked in Egypt #Jan25 #Egypt (via @ioerror),2011-01-27 12:56:13,false,MennaGamal
imobilis,normal_user,RT @MennaGamal: Confirmed: Short message service (SMS) blocked in Egypt #Jan25 #Egypt,2011-01-27 13:01:27,false,MennaGamal
cbrozefsky,normal_user,RT @MennaGamal: Confirmed: Short message service (SMS) blocked in Egypt #Jan25 #Egypt,2011-01-27 13:09:02,false,MennaGamal
