screen_name,user_type,text,created_at,originator,replied_to
NadiaDouaji,normal_user,Is Egypt About to Have a Facebook Revolution? http://t.co/RNsvO82 via @TIME #tinisia #sidibouzid #egypt,2011-01-24 15:30:54,true,n/a
time,msm,Egypt is about to have a Facebook revolution | http://ti.me/fKCday,2011-01-24 15:35:59,false,n/a
MuslimCo,normal_user,RT @TIME: Egypt is about to have a Facebook revolution | http://ti.me/fKCday,2011-01-24 15:36:15,false,TIME
Arrucha,normal_user,RT @TIME: Egypt is about to have a Facebook revolution | http://ti.me/fKCday,2011-01-24 15:36:19,false,TIME
PowerWater4Life,normal_user,RT @TIME: Egypt is about to have a Facebook revolution | http://ti.me/fKCday,2011-01-24 15:36:32,false,n/a
Julietm39,normal_user,RT @TIME: Egypt is about to have a Facebook revolution | http://ti.me/fKCday,2011-01-24 15:36:41,false,TIME
NatxoBCN,normal_user,RT @TIME: Egypt is about to have a Facebook revolution | http://ti.me/fKCday,2011-01-24 15:36:43,false,TIME
bahebakyagaza,normal_user,RT @TIME: Egypt is about to have a Facebook revolution | http://ti.me/fKCday,2011-01-24 15:36:51,false,TIME
bonostph,normal_user,RT @TIME: Egypt is about to have a Facebook revolution | http://ti.me/fKCday,2011-01-24 15:37:10,false,TIME
SHUTTLECOCK74,normal_user,TIME: Egypt is about to have a Facebook revolution | http://ti.me/fKCday,2011-01-24 15:37:16,false,n/a
Meehan990,normal_user,RT @TIME: Egypt is about to have a Facebook revolution | http://ti.me/fKCday,2011-01-24 15:37:19,false,TIME
ccenmedios,normal_user,RT @TIME: Egypt is about to have a Facebook revolution | http://ti.me/fKCday,2011-01-24 15:37:30,false,TIME
TerryBrindley,normal_user,RT @TIME: Egypt is about to have a Facebook revolution | http://ti.me/fKCday,2011-01-24 15:37:36,false,TIME
RafaellVillar,normal_user,RT @TIME: Egypt is about to have a Facebook revolution | http://ti.me/fKCday,2011-01-24 15:37:47,false,TIME
JaniceTjuatja,normal_user,RT @TIME: Egypt is about to have a Facebook revolution | http://ti.me/fKCday,2011-01-24 15:37:53,false,TIME
