screen_name,user_type,text,created_at,originator,replied_to
EgyFeeds,normal_user,"تعزيزات أمنية أمام ""الكاتدرائية"" ومسجد النور بالعباسية http://dlvr.it/F3117 #Egypt",2011-01-25 03:49:52,true,n/a
EgyFeeds,normal_user,متظاهرون يخترقون السياج الأمنى أمام دار القضاء العالى http://dlvr.it/F3114 #Egypt,2011-01-25 03:49:52,false,n/a
EgyFeeds,normal_user,"وقفة للمعارضة فى أسيوط تضامناً مع احتجاجات ""يوم الغضب"" http://dlvr.it/F311C #Egypt",2011-01-25 03:49:53,false,n/a
EgyFeeds,normal_user,"""الجبهة"" يشارك فى مظاهرات الغضب للمطالبة بحل البرلمان http://dlvr.it/F3119 #Egypt",2011-01-25 03:49:53,false,n/a
algareda,normal_user,حتى الآن لا توجد تقريبا تغطية من الفضائيات لمظاهرات مصر #Jan25 #Egypt,2011-01-25 03:51:51,false,n/a
monaeltahawy,celeb,RT @Alshaheeed Protesters are giving flowers to Policemen. http://on.fb.me/8Z50YF #Jan25 #Egypt #EgyRevol,2011-01-25 03:51:54,false,Alshaheeed
haiderghaleb,normal_user,RT @monaeltahawy: RT @Alshaheeed Protesters are giving flowers to Policemen. http://on.fb.me/8Z50YF #Jan25 #Egypt #EgyRevol,2011-01-25 03:52:04,false,monaeltahawy
mjjregan,normal_user,RT @monaeltahawy: RT @Alshaheeed Protesters are giving flowers to Policemen. http://on.fb.me/8Z50YF #Jan25 #Egypt #EgyRevol,2011-01-25 03:52:38,false,monaeltahawy
Ekramibrahim,normal_user,RT @monaeltahawy: RT @Alshaheeed Protesters are giving flowers to Policemen. http://on.fb.me/8Z50YF #Jan25 #Egypt #EgyRevol,2011-01-25 03:53:38,false,monaeltahawy
alkoga,normal_user,RT @monaeltahawy: RT @Alshaheeed Protesters are giving flowers to Policemen. http://on.fb.me/8Z50YF #Jan25 #Egypt #EgyRevol,2011-01-25 03:54:25,false,monaeltahawy
MagedButter,normal_user,RT @monaeltahawy: RT @Alshaheeed Protesters are giving flowers to Policemen. http://on.fb.me/8Z50YF #Jan25 #Egypt #EgyRevol,2011-01-25 03:54:30,false,n/a
za3zo3a,normal_user,RT @monaeltahawy: RT @Alshaheeed Protesters are giving flowers to Policemen. http://on.fb.me/8Z50YF #Jan25 #Egypt #EgyRevol,2011-01-25 03:58:08,false,monaeltahawy
AlienInEurope,normal_user,RT @Alshaheeed: Protesters are giving flowers to Policemen. http://on.fb.me/8Z50YF #Jan25 #Egypt #EgyRevol,2011-01-25 03:59:28,false,n/a
Net_News_Global,normal_user,RT @Alshaheeed: Protesters are giving flowers to Policemen. http://on.fb.me/8Z50YF #Jan25 #Egypt #EgyRevol,2011-01-25 04:00:00,false,Alshaheeed
Modzella,normal_user,RT @Alshaheeed: Protesters are giving flowers to Policemen. http://on.fb.me/8Z50YF #Jan25 #Egypt #EgyRevol,2011-01-25 04:02:12,false,Alshaheeed
Dr_Online,normal_user,RT @monaeltahawy: RT @Alshaheeed Protesters are giving flowers to Policemen. http://on.fb.me/8Z50YF #Jan25 #Egypt #EgyRevol,2011-01-25 04:04:01,false,n/a
SheikhAchmed,normal_user,RT @Alshaheeed Protesters are giving flowers to Policemen. http://on.fb.me/8Z50YF #Jan25 #Egypt #EgyRevol #fb,2011-01-25 04:07:39,false,Alshaheeed
hfakhry,normal_user,RT @monaeltahawy: RT @Alshaheeed Protesters are giving flowers to Policemen. http://on.fb.me/8Z50YF #Jan25 #Egypt #EgyRevol,2011-01-25 04:11:20,false,monaeltahawy
Amatoun,normal_user,RT @Alshaheeed: Protesters are giving flowers to Policemen. http://on.fb.me/8Z50YF #Jan25 #Egypt #EgyRevol via @SmithSofia,2011-01-25 04:32:48,false,Alshaheeed
cherylbaker,normal_user,RT @nvconflict: RT @monaeltahawy RT @Alshaheeed Protesters are giving flowers to Policemen. http://on.fb.me/8Z50YF #Jan25 #Egypt #nonviolent,2011-01-25 04:48:09,false,n/a
nisaa,normal_user,RT @nvconflict: RT @monaeltahawy RT @Alshaheeed Protesters are giving flowers to Policemen. http://on.fb.me/8Z50YF #Jan25 #Egypt #nonviolent,2011-01-25 04:48:58,false,nvconflict
