screen_name,user_type,text,created_at,originator,replied_to
LEFMARIANNE,normal_user,http://dna-algerie.com/international/1120-tunisie-le-vrai-ben-ali-.html #sidibouzid,2011-01-12 06:21:25,true,n/a
doxaa,normal_user,http://www.almoulahedh.com.tn/actualites-nationales/article-1660.html #sidibouzid,2011-01-12 07:21:02,false,n/a
LEFMARIANNE,normal_user,http://www.plumedepresse.net/complaisances-sarkozystes-envers-la-dictature-tunisienne/ #sidibouzid,2011-01-12 08:19:56,false,n/a
_ah_s_,normal_user,#sidibouzid,2011-01-12 08:16:14,false,n/a
LEFMARIANNE,normal_user,http://www.mosaiquefm.net/index/a/ActuDetail/Element/12773-Couvre-feu-dans-le-grand-Tunis.html #sidibouzid,2011-01-12 08:23:36,false,n/a
ismisami,normal_user,#SidiBouzid,2011-01-12 08:23:32,false,n/a
slahkilani,normal_user,#SidiBouzid,2011-01-12 08:22:39,false,n/a
Hazzabizzy,normal_user,http://www.youtube.com/watch?v=Jy8iO1YFkO0 #sidibouzid,2011-01-12 08:27:30,false,n/a
3abbess,normal_user,#sidibouzid,2011-01-12 08:40:51,false,n/a
TounessHorria,normal_user,http://www.humanite.fr/12_01_2011-pierre-laurent-il-faut-lib%C3%A9rer-hamma-hammami-imm%C3%A9diatement-462130 #sidibouzid,2011-01-12 09:23:57,false,n/a
Mint_Sir,normal_user,#sidibouzid,2011-01-12 09:48:46,false,n/a
GulfWalf,normal_user,"#SidiBouzid 

http://24sur24.posterous.com/video-graphic-today-in-douz-south-protester-s",2011-01-12 09:56:26,false,n/a
darktunisia,normal_user,#sidibouzid,2011-01-12 10:35:02,false,n/a
Mc_Nee,normal_user,#sidibouzid,2011-01-12 10:34:53,false,n/a
Wiwa1704,normal_user,#sidibouzid,2011-01-12 10:43:59,false,n/a
cyrilmauger,normal_user,sidibouzid,2011-01-12 10:40:24,false,n/a
snawsi,normal_user,#sidibouzid http://www.facebook.com/photo.php?fbid=185343878160591&set=a.185343608160618.49592.106544092707237&pid=614954&id=106544092707237,2011-01-12 11:40:10,false,n/a
pgorjao,normal_user,#SidiBouzid,2011-01-12 12:22:56,false,n/a
islamos,normal_user,@Gizmodo #sidibouzid,2011-01-12 12:50:38,false,Gizmodo
__H__B__K__,normal_user,http://www.facebook.com/video/video.php?v=190546830962570&comments#!/video/video.php?v=190554864295100 #sidibouzid,2011-01-12 12:58:52,false,n/a
_Kahramana_,normal_user,"http://autoreflexion.wordpress.com/2011/01/12/hommage-a-hatem-bettahar/
#SidiBouzid",2011-01-12 13:01:00,false,n/a
alyssa_17,normal_user,http://www.facebook.com/photo.php?fbid=179821445384228&set=a.177381978961508.37895.176831019016604&pid=440250&id=176831019016604 #sidibouzid,2011-01-12 13:19:43,false,n/a
Albatros001,normal_user,sidibouzid,2011-01-12 13:48:51,false,n/a
AngelikiDoc,normal_user,"http://www.thestar.com/news/insight/article/918463--tunisia-the-uprising-has-a-hashtag, #Sidibouzid",2011-01-12 14:10:17,false,n/a
kam_elna,normal_user,sidibouzid,2011-01-12 14:15:07,false,n/a
Naw_L,normal_user,http://www.facebook.com/video/video.php?v=147198928666752&oid=127427237285269&comments #sidibouzid,2011-01-12 14:21:29,false,n/a
AmonBox,normal_user,http://lappeldesmille.wordpress.com/ #sidibouzid,2011-01-12 14:27:19,false,n/a
amcha,normal_user,#SidiBouzid,2011-01-12 14:40:13,false,n/a
MalcomX2011,normal_user,http://www.assabilonline.net/ #Sidibouzid,2011-01-12 14:46:22,false,n/a
