screen_name,user_type,text,created_at,originator,replied_to
Jewelreloaded,normal_user,RT @nightinparis1: Riots in Tunisia escalate: Gangs loyal to ousted president begin random shooting sprees; at least 2 believed killed h ...,2011-01-15 13:20:47,true,biladee
WilliamJCB,normal_user,Riots in Tunisia escalate: Gangs loyal to ousted president begin random shooting sprees; at least 2 believed killed http://bit.ly/eYfObJ,2011-01-15 13:20:47,false,n/a
Bodyguard2012,normal_user,RT @BreakingNews: Riots in Tunisia escalate: Gangs loyal to ousted president begin random shooting sprees; at least 2 believed killed ht ...,2011-01-15 13:20:44,false,BreakingNews
Recentvideo,normal_user,Riots in Tunisia escalate: Gangs loyal to ousted president begin random shooting sprees; at least 2 believed killed http://goo.gl/fb/GULol,2011-01-15 13:20:43,false,n/a
BreakingNewsx,normal_user,Riots in Tunisia escalate: Gangs loyal to ousted president begin random shooting sprees; at least 2 believed killed http://dlvr.it/DPPhG,2011-01-15 13:20:30,false,n/a
theBClife,normal_user,RT @BreakingNews: Riots in Tunisia escalate: Gangs loyal to ousted president begin random shooting sprees; at least 2 believed killed ht ...,2011-01-15 13:20:19,false,BreakingNews
inpressulum,normal_user,RT @BreakingNews: Riots in Tunisia escalate: Gangs loyal to ousted president begin random shooting sprees; at least 2 believed killed,2011-01-15 13:20:17,false,BreakingNews
iAllochtoon,normal_user,RT @BreakingNews: Riots in Tunisia escalate: Gangs loyal to ousted president begin random shooting sprees; at least 2 believed killed ht ...,2011-01-15 13:20:14,false,BreakingNews
fhxoxo,normal_user,RT @BreakingNews: Riots in Tunisia escalate: Gangs loyal to ousted president begin random shooting sprees; at least 2 believed killed ht ...,2011-01-15 13:20:04,false,BreakingNews
billdinTO,normal_user,RT @BreakingNews: Riots in Tunisia escalate: Gangs loyal to ousted president begin random shooting sprees; at least 2 believed killed ht ...,2011-01-15 13:20:02,false,BreakingNews
nightinparis1,normal_user,Riots in Tunisia escalate: Gangs loyal to ousted president begin random shooting sprees; at least 2 believed killed http://bit.ly/eYfObJ,2011-01-15 13:20:02,false,n/a
lilliray,normal_user,RT @BreakingNews: Riots in Tunisia escalate: Gangs loyal to ousted president begin random shooting sprees; at least 2 believed killed ht ...,2011-01-15 13:19:57,false,BreakingNews
nazrag,normal_user,RT @BreakingNews: Riots in Tunisia escalate: Gangs loyal to ousted president begin random shooting sprees; at least 2 believed killed ht ...,2011-01-15 13:19:52,false,BreakingNews
mobeatie,normal_user,RT @BreakingNews: Riots in Tunisia escalate: Gangs loyal to ousted president begin random shooting sprees; at least 2 believed killed ht ...,2011-01-15 13:19:50,false,BreakingNews
i_narcissus,normal_user,RT @BreakingNews: Riots in Tunisia escalate: Gangs loyal to ousted president begin random shooting sprees; at least 2 believed killed ht ...,2011-01-15 13:19:49,false,BreakingNews
dolbbac,normal_user,어딜가나 충실한 개뼉다귀들이 RT @BreakingNews: Riots in Tunisia escalate: Gangs loyal to ousted president begin random shooting sprees; at least 2,2011-01-15 13:19:49,false,n/a
nlevine,normal_user,RT @BreakingNews: Riots in Tunisia escalate: Gangs loyal to ousted president begin random shooting sprees; at least 2 believed killed ht ...,2011-01-15 13:19:43,false,BreakingNews
Loupo85,normal_user,RT @BreakingNews: Riots in Tunisia escalate: Gangs loyal to ousted president begin random shooting sprees; at least 2 believed killed ht ...,2011-01-15 13:19:41,false,BreakingNews
Kokuyama,normal_user,RT @BreakingNews: Riots in Tunisia escalate: Gangs loyal to ousted president begin random shooting sprees; at least 2 believed killed ht ...,2011-01-15 13:19:36,false,BreakingNews
luis_honorio94,normal_user,RT @BreakingNews: Riots in Tunisia escalate: Gangs loyal to ousted president begin random shooting sprees; at least 2 believed killed ht ...,2011-01-15 13:19:35,false,BreakingNews
PatriotsPride01,normal_user,RT @BreakingNews: Riots in Tunisia escalate: Gangs loyal to ousted president begin random shooting sprees; at least 2 believed killed ht ...,2011-01-15 13:19:34,false,BreakingNews
Mediocredave,normal_user,RT @BreakingNews: Riots in Tunisia escalate: Gangs loyal to ousted president begin random shooting sprees; at least 2 believed killed ht ...,2011-01-15 13:19:32,false,BreakingNews
manbear,normal_user,RT @BreakingNews: Riots in Tunisia escalate: Gangs loyal to ousted president begin random shooting sprees; at least 2 believed killed ht ...,2011-01-15 13:19:29,false,BreakingNews
BRADYCOMPANY,normal_user,RT @BoxAndSend: RT @BreakingNews: Riots in Tunisia escalate: Gangs loyal to ousted president begin random shooting sprees; at least... h ...,2011-01-15 13:19:24,false,BoxAndSend
