screen_name,user_type,text,created_at,originator,replied_to
khanwarriors,normal_user,Tunisia forces fight presidential guards near palace - Vancouver Sun: CBC.ca Tunisia forces… http://goo.gl/fb/2slJN,2011-01-16 15:14:58,true,n/a
sgbreakingnews,normal_user,#int'l #news: Tunisia forces fight presidential guards near palace: TUNIS (Reuters) - Tunisian specia... http://bit.ly/exE75v #singapore,2011-01-16 15:24:32,false,n/a
neohb452,normal_user,Tunisia forces fight presidential guards near palace http://reut.rs/dFzT8t,2011-01-16 15:24:23,false,n/a
V3michael,normal_user,News Tunisia forces fight presidential guards near palace - TUNIS (Reuters) - Tunisian special forces fought a heavy... http://ow.ly/1aTvIA,2011-01-16 15:23:54,false,n/a
stlouis_news,normal_user,"Tunisia forces fight presidential guards near palace 
    (Reuters) http://ourl.com/eznd",2011-01-16 15:35:29,false,n/a
nownewsnetwork,normal_user,Tunisia forces fight presidential guards near palace - msnbc.com http://on.msnbc.com/fiG3KU,2011-01-16 15:40:30,false,n/a
binbon1009,normal_user,Tunisia forces fight presidential guards near palace     (Reuters) http://f.ast.ly/QFFMc,2011-01-16 15:39:33,false,n/a
magatopia,normal_user,#News Tunisia forces fight presidential guards near palace - msnbc.com http://on.msnbc.com/f8kRca,2011-01-16 15:39:21,false,n/a
KimdarCamon,normal_user,Tunisia forces fight presidential guards near palace,2011-01-16 15:39:05,false,n/a
amzontweet,normal_user,"Tunisia forces fight presidential guards near palace 
    (Reuters)",2011-01-16 15:38:29,false,n/a
SamotkeyDoran,normal_user,Tunisia forces fight presidential guards near palace (Reuters),2011-01-16 15:51:32,false,n/a
ILikeItFastnHar,normal_user,http://ow.ly/3522W V@g38: #news #sports Tunisia forces fight presidential guards near palace: TUNIS (Reuters) - Tu... http://ow.ly/3522W,2011-01-16 15:50:30,false,n/a
sglatestnews,normal_user,#news #sports Tunisia forces fight presidential guards near palace: TUNIS (Reuters) - Tunisia... http://bit.ly/eTC0Zt #lifestyle #health,2011-01-16 15:49:06,false,n/a
Oxparzuth,normal_user,Tunisia forces fight presidential guards near palace (Reuters),2011-01-16 15:55:27,false,n/a
WeeklyGlobeNews,normal_user,"Tunisia forces fight presidential guards near palace 
    (Reuters): Reuters – Tunisian special forces fought a ... http://bit.ly/hrTTce",2011-01-16 15:52:26,false,n/a
jmsardo,normal_user,RT @tsinews: Tunisia forces fight presidential guards near palace. Reuters. http://ow.ly/1rZMD1 #sidibouzid,2011-01-16 16:04:38,false,tsinews
brainyloft,normal_user,Tunisia forces fight presidential guards near palace     (Reuters) http://f.ast.ly/xWQBD,2011-01-16 16:06:04,false,n/a
sofasurfer,normal_user,RT @tsinews: Tunisia forces fight presidential guards near palace http://tinyurl.com/4g4wrnm,2011-01-16 16:05:21,false,tsinews
jmsardo,normal_user,RT @tsinews: Tunisia forces fight presidential guards near palace http://tinyurl.com/4g4wrnm,2011-01-16 16:03:19,false,tsinews
JhinzenJethol,normal_user,Tunisia forces fight presidential guards near palace (Reuters),2011-01-16 16:27:28,false,n/a
royeesinpeace,normal_user,Tunisia forces fight presidential guards near palace http://goo.gl/fb/wlc9c,2011-01-16 16:40:04,false,n/a
News92,normal_user,Tunisia forces fight presidential guards near palace http://bit.ly/f1UvMn,2011-01-16 16:39:17,false,n/a
SherryCVisage,normal_user,Tunisia forces fight presidential guards near palace: TUNIS (Reuters) - Tunisian special forces fought a heavy g... http://bit.ly/f1UvMn,2011-01-16 16:39:17,false,n/a
DickVanGelder,normal_user,Tunisia forces fight presidential guards near palace: TUNIS (Reuters) - Tunisian special forces fought a heavy g... http://bit.ly/g1MEr3,2011-01-16 16:39:17,false,n/a
reuterswire,normal_user,Tunisia forces fight presidential guards near palace: TUNIS (Reuters) - Tunisian special forces fought a heavy g... http://bit.ly/f1UvMn,2011-01-16 16:39:17,false,n/a
ControllerCPA,normal_user,Tunisia forces fight presidential guards near palace: TUNIS (Reuters) - Tunisian special forces fought a heavy g... http://bit.ly/f1UvMn,2011-01-16 16:39:17,false,n/a
saxguy,normal_user,Tunisia forces fight presidential guards near palace: TUNIS (Reuters) - Tunisian special forces fought a heavy g... http://bit.ly/f1UvMn,2011-01-16 16:39:17,false,n/a
Wopatoolie,normal_user,Tunisia forces fight presidential guards near palace: TUNIS (Reuters) - Tunisian special forces fought a heavy g... http://bit.ly/f1UvMn,2011-01-16 16:39:17,false,n/a
brkglobal,normal_user,[latest news] Tunisia forces fight presidential guards near palace: TUNIS (Reuters) - Tunisian special... http://bit.ly/hyy5Nn [Reuters],2011-01-16 16:39:17,false,n/a
reuterswire,normal_user,Tunisia forces fight presidential guards near palace: TUNIS (Reuters) - Tunisian special forces fought a heavy g... http://bit.ly/e6FD45,2011-01-16 16:39:17,false,n/a
mbazir,normal_user,Tunisia forces fight presidential guards near palace http://r.reuters.com/pyd66r,2011-01-16 16:38:29,false,n/a
ayubandyaqoub,normal_user,Tunisia forces fight presidential guards near palace - Reuters,2011-01-16 16:36:49,false,n/a
International_x,normal_user,Tunisia forces fight presidential guards near palace TUNIS (Reuters) - Tunisian special forces fought a heavy gun battle http://tiny.ly/l5KK,2011-01-16 16:51:45,false,n/a
royphjacobs,normal_user,Tunisia forces fight presidential guards near palace - Reuters: CBC.ca Tunisia forces fight… http://goo.gl/fb/CGcUu,2011-01-16 16:49:20,false,n/a
popurlsbrown,normal_user,Tunisia forces fight presidential guards near palace [international]: TUNIS (Reuters) - Tunisian special forces... http://reut.rs/flOEVR,2011-01-16 16:49:07,false,n/a
jurylady,normal_user,RT @AsiaTodayNews: Tunisia forces fight presidential guards near palace: TUNIS (Reuters) - Tunisian special forces foug... http://bit.ly ...,2011-01-16 16:49:04,false,AsiaTodayNews
PonkDeLonge,normal_user,"#reuters Tunisia forces fight presidential guards near palace: TUNIS (Reuters) - Tunisian speci... http://o5p6l.tk
 ( beritanewsmament )",2011-01-16 16:48:51,false,n/a
JamesseinGR,normal_user,Tunisia forces fight presidential guards near palace: TUNIS (Reuters) - Tunisian special forces fought a heavy g... http://bit.ly/ftKTIn,2011-01-16 16:48:48,false,n/a
sk8_boardhero,normal_user,"#reuters Tunisia forces fight presidential guards near palace: TUNIS (Reuters) - Tunisian speci... http://2nec6.tk
 ( beritanewsmament )",2011-01-16 16:48:48,false,n/a
newsinators,normal_user,Tunisia forces fight presidential guards near palace: TUNIS (Reuters) - Tunisian special forces fought a heavy ... http://reut.rs/gC6gme,2011-01-16 16:48:41,false,n/a
obamamau,normal_user,Tunisia forces fight presidential guards near palace http://reut.rs/gC6gme,2011-01-16 16:48:41,false,n/a
LNGazette,normal_user,Tunisia forces fight presidential guards near palace – Reuters: CBC.ca Tunisia forces fight presidential guards ... http://bit.ly/hrRTj8,2011-01-16 17:06:52,false,n/a
ReutersDaily,normal_user,Tunisia forces fight presidential guards near palace - Reuters http://bit.ly/f3oO1R,2011-01-16 17:05:02,false,n/a
pmkunkel,normal_user,Tunisia forces fight presidential guards near palace http://goo.gl/fb/r1gj3,2011-01-16 17:15:11,false,n/a
shravanp,normal_user,Tunisia forces fight presidential guards near palace: TUNIS (Reuters) - Tunisian special forces fought a heavy gun battle with ...  #news,2011-01-16 17:11:42,false,n/a
msmb2,normal_user,Tunisia forces fight presidential guards near palace http://tinyurl.com/4e2aume,2011-01-16 17:25:12,false,n/a
Ol_Irish,normal_user,Currently - Tunisia forces fight presidential guards near palace http://ow.ly/1aTBUf,2011-01-16 17:24:55,false,n/a
lolcorporation,normal_user,[Reuters News] Tunisia forces fight presidential guards near palace http://ow.ly/1aTC4y,2011-01-16 17:24:33,false,n/a
sollyez,normal_user,Mbah Soleh .... Tunisia forces fight presidential guards near palace: TUNIS (Reuters… http://goo.gl/fb/ZJCoW,2011-01-16 17:24:02,false,n/a
1idiot2another,normal_user,Tunisia forces fight presidential guards near palace http://goo.gl/fb/gdU2T,2011-01-16 17:23:56,false,n/a
ZiooveTibolt,normal_user,"Tunisia forces fight presidential guards near palace 
    (Reuters)",2011-01-16 17:23:46,false,n/a
_NSF,normal_user,#nsf Tunisia forces fight presidential guards near palace - TUNIS (Reuters) - Tunisian special forces fought a heavy... http://ow.ly/1aTCCC,2011-01-16 17:23:28,false,n/a
VidaGuerraBlog,normal_user,Tunisia forces fight presidential guards near palace: TUNIS (Reuters) - Tunisian special forces fought a heavy ... http://reut.rs/g8qYkb,2011-01-16 17:37:20,false,n/a
eWalesCommunity,normal_user,Tunisia forces fight presidential guards near palace http://reut.rs/g8qYkb,2011-01-16 17:37:20,false,n/a
TrinityIFA,normal_user,Tunisia forces fight presidential guards near palace: TUNIS (Reuters) - Tunisian special forces fought a heavy ... http://reut.rs/g8qYkb,2011-01-16 17:37:20,false,n/a
livenewsalerts,normal_user,Tunisia forces fight presidential guards near palace: TUNIS (Reuters) - Tunisian special forces fought a heavy ... http://reut.rs/eRCjTB,2011-01-16 17:37:20,false,n/a
lankathilina,normal_user,Tunisia forces fight presidential guards near palace: TUNIS (Reuters) - Tunisian special forces fought a heavy ... http://reut.rs/g8qYkb,2011-01-16 17:37:20,false,n/a
EastwoodFS,normal_user,Tunisia forces fight presidential guards near palace: TUNIS (Reuters) - Tunisian special forces fought a heavy ... http://reut.rs/g8qYkb,2011-01-16 17:37:19,false,n/a
BoltFollow,normal_user,Tunisia forces fight presidential guards near palace: TUNIS (Reuters) - Tunisian special forces fought a heavy ... http://reut.rs/g8qYkb,2011-01-16 17:37:19,false,n/a
wcompanyportal,normal_user,[REUTERS]: Tunisia forces fight presidential guards near palace: TUNIS (Reuters) - Tunisian special forces foug... http://reut.rs/i1f3WV,2011-01-16 17:37:19,false,n/a
wbusinessportal,normal_user,[REUTERS]: Tunisia forces fight presidential guards near palace: TUNIS (Reuters) - Tunisian special forces foug... http://reut.rs/i1f3WV,2011-01-16 17:37:19,false,n/a
business_finder,normal_user,[REUTERS]: Tunisia forces fight presidential guards near palace: TUNIS (Reuters) - Tunisian special forces foug... http://reut.rs/i1f3WV,2011-01-16 17:37:19,false,n/a
mbalbas,normal_user,Tunisia forces fight presidential guards near palace http://r.reuters.com/qyd66r,2011-01-16 17:36:11,false,n/a
ValyntexNilex,normal_user,Tunisia forces fight presidential guards near palace,2011-01-16 17:35:33,false,n/a
s0ngt0day,normal_user,"20 Tunisia forces fight presidential guards near palace: By Tarek Amara and Christian Lowe
                TU... http://bit.ly/gTujhI 20",2011-01-16 17:35:32,false,n/a
TobazVelpar,normal_user,"Tunisia forces fight presidential guards near palace 
    (Reuters)",2011-01-16 17:34:14,false,n/a
International_x,normal_user,Tunisia forces fight presidential guards near palace TUNIS (Reuters) - Tunisian special forces fought a heavy gun battle http://tiny.ly/RZmK,2011-01-16 17:34:03,false,n/a
quippd,normal_user,Tunisia forces fight presidential guards near palace http://bit.ly/fVKfx4,2011-01-16 17:40:30,false,n/a
newshourly,normal_user,Tunisia forces fight presidential guards near palace http://bit.ly/giaFrR,2011-01-16 17:37:48,false,n/a
EVERYDAYNEWZ,normal_user,UK Top News Tunisia forces fight presidential guards near palace: TUNIS (Reuters) - Tunisian… http://goo.gl/fb/YmpJ4,2011-01-16 17:53:38,false,n/a
EVERYDAYNEWZ,normal_user,World News Tunisia forces fight presidential guards near palace: TUNIS (Reuters) - Tunisian… http://goo.gl/fb/Tgz9U,2011-01-16 18:09:25,false,n/a
rhotwire,normal_user,Tunisia forces fight presidential guards near palace - Reuters http://tinyurl.com/4mbxahx,2011-01-16 18:19:54,false,n/a
TNL4News,normal_user,Tunisia forces fight presidential guards near palace (Reuters) http://goo.gl/fb/bMNNp #news,2011-01-16 18:15:45,false,n/a
NewsTweets24,normal_user,Tunisia forces fight presidential guards near palace - TUNIS (Reuters) - Tunisian special forces fought a heavy gun ... http://ow.ly/1aTDoE,2011-01-16 18:25:34,false,n/a
TweetDoggy,normal_user,http://FXivybot.com Tunisia forces fight presidential guards near palace http://ow.ly/1aTEf0,2011-01-16 18:23:41,false,n/a
IM_Canada_News,normal_user,Tunisia forces fight presidential guards near palace - Reuters http://buzzup.com/1j7qa,2011-01-16 18:33:48,false,n/a
Dondang_Sayang,normal_user,"Tunisia forces fight presidential guards near palace: TUNIS, Jan 17 — Tunisian special forces fought a heavy gun... http://bit.ly/fLOA6x",2011-01-16 19:03:16,false,n/a
BigBucksCo,normal_user,RT @reuters: Tunisia forces fight presidential guards near palace  http://reut.rs/gKOJSd US Media BlackOut Of News,2011-01-16 21:05:00,false,n/a
reviewcenters,normal_user,Tunisia forces fight presidential guards near palace,2011-01-16 22:08:55,false,n/a
PuthorGothor,normal_user,Tunisia forces fight presidential guards near palace,2011-01-16 22:03:43,false,n/a
VethelotTespan,normal_user,Tunisia forces fight presidential guards near palace,2011-01-16 23:36:49,false,n/a
GresteNiktal,normal_user,Tunisia forces fight presidential guards near palace,2011-01-16 23:33:45,false,n/a
wingongs,normal_user,Tunisia forces fight presidential guards near palace,2011-01-16 23:31:45,false,n/a
OnimiacofShardo,normal_user,Tunisia forces fight presidential guards near palace,2011-01-17 00:10:52,false,n/a
amzdealus,normal_user,Tunisia forces fight presidential guards near palace,2011-01-17 00:29:53,false,n/a
NathonBein,normal_user,Tunisia forces fight presidential guards near palace,2011-01-17 00:44:58,false,n/a
LahornGaliron,normal_user,Tunisia forces fight presidential guards near palace,2011-01-17 03:49:13,false,n/a
pn50b530,normal_user,Tunisia forces fight presidential guards near palace,2011-01-17 05:32:09,false,n/a
forexlinxie,normal_user,Tunisia forces fight presidential guards near palace #MashableAwards,2011-01-17 09:40:14,false,n/a
sh1niez,normal_user,Tunisia forces fight presidential guards near palace,2011-01-17 10:08:06,false,n/a
IdonanimVoltain,normal_user,Tunisia forces fight presidential guards near palace,2011-01-17 10:35:13,false,n/a
Nothradranzuth,normal_user,Tunisia forces fight presidential guards near palace,2011-01-17 11:33:46,false,n/a
wolfbyte5,normal_user,RT @reuters: Tunisia forces fight presidential guards near palace  http://reut.rs/gKOJSd,2011-01-17 16:39:11,false,n/a
