screen_name,user_type,text,created_at,originator,replied_to
AnonymousIRC,celeb,More reports of army standing with citizens coming in from Tunisia. Maybe soldiers remember they are citizens too. #SidiBouzid #OpTunisia,2011-01-12 06:21:21,true,n/a
thaitvnews,normal_user,RT @AnonymousIRC: More reports of army standing with citizens coming in from Tunisia. Maybe soldiers remember they are citizens too. #Si ...,2011-01-12 06:21:37,false,AnonymousIRC
Anon13502,normal_user,RT @AnonymousIRC: More reports of army standing with citizens coming in from Tunisia. Maybe soldiers remember they are citizens too. #Si ...,2011-01-12 06:22:37,false,AnonymousIRC
ethibaud,normal_user,RT @AnonymousIRC: More reports of army standing with citizens coming in from Tunisia. Maybe soldiers remember they are citizens too. #Si ...,2011-01-12 06:22:48,false,AnonymousIRC
tounssi7or,normal_user,خبز و ماء و بن علي لا#sidibouzid,2011-01-12 06:22:53,false,n/a
MinaNem,normal_user,RT@yassayari: حاتم بالطاهر ..قيمة علمية و اخلاقية و ادبية ..رفض كل اغراءات فرنسا و أبى الا ان يعود الى الوطن ..فيهديه الوطن كفنا #sidibouzid,2011-01-12 06:23:12,false,yassayari
Tunisianlibero,normal_user,قوات الأمن التونسية تشتبك مع متظاهرين وسط العاصمة تونس #sidibouzid,2011-01-12 06:23:17,false,n/a
inzilbeth666,normal_user,RT @AnonymousIRC: More reports of army standing with citizens coming in from Tunisia. Maybe soldiers remember they are citizens too. #Si ...,2011-01-12 06:23:47,false,AnonymousIRC
Mira404,blogger,RT @malekk: الاعتداء على المتظاهرين في صفاقس واندلاع مواجهات بين المواطنين وقوات البوليس بباب بحر والبوليس يعجز عن احتواء الموقف #sidibouzid,2011-01-12 06:23:49,false,malekk
nawaat,etc,@yassayari لا يا ياسين إنه وقت الافتخار #sidibouzid,2011-01-12 06:23:53,false,yassayari
AmericaFreeTV,normal_user,RT @AnonymousIRC: More reports of army standing with citizens coming in from Tunisia. #SidiBouzid #OpTunisia,2011-01-12 06:24:49,false,AnonymousIRC
CalvinistHobbs,normal_user,RT @AnonymousIRC: More reports of army standing with citizens coming in from Tunisia. Maybe soldiers remember they are citizens too. #Si ...,2011-01-12 06:29:16,false,AnonymousIRC
sawetachai,normal_user,RT @AnonymousIRC: More reports of army standing with citizens coming in from Tunisia. Maybe soldiers remember they are citizens too. #Si ...,2011-01-12 06:30:32,false,AnonymousIRC
