screen_name,user_type,text,created_at,originator,replied_to
ohbeo1,normal_user,RT @shadihamid: RT @Dima_Khatib: CONFIRMED by Tunisians tweeting; STATE TV in #Tunisia has been taken over by journalists calling for revolt #Sidibouzid,2011-01-14 08:39:20,true,n/a
hassan_bahara,normal_user,RT @Dima_Khatib: CONFIRMED by Tunisians tweeting; STATE TV in Tunisian has been taken over by journalists calling for revolt #Sidibouzid,2011-01-14 07:13:49,false,n/a
Dima_Khatib,normal_user,CONFIRMED by Tunisians tweeting; STATE TV in Tunisian has been taken over by journalists calling for revolt  #Sidibouzid,2011-01-14 07:13:07,false,n/a
btnafas7oria,blogger,RT @Dima_Khatib: CONFIRMED by Tunisians tweeting; STATE TV in Tunisian has been taken over by journalists calling for revolt  #Sidibouzid,2011-01-14 07:13:23,false,Dima_Khatib
Davidsegarra,normal_user,RT @Dima_Khatib: CONFIRMED by Tunisians tweeting; STATE TV in Tunisian has been taken over by journalists calling for revolt  #Sidibouzid,2011-01-14 07:13:35,false,Dima_Khatib
tacosdechilakil,normal_user,RT @Dima_Khatib: CONFIRMED by Tunisians tweeting; STATE TV in Tunisian has been taken over by journalists calling for revolt  #Sidibouzid,2011-01-14 07:13:36,false,Dima_Khatib
MajaMischke,normal_user,RT @Dima_Khatib: CONFIRMED by Tunisians tweeting; STATE TV in Tunisian has been taken over by journalists calling for revolt  #Sidibouzid,2011-01-14 07:13:38,false,Dima_Khatib
AnonymousIRC,celeb,RT @Dima_Khatib: CONFIRMED by Tunisians tweeting; STATE TV in Tunisian has been taken over by journalists calling for revolt  #Sidibouzid,2011-01-14 07:13:41,false,Dima_Khatib
marieli7a,normal_user,RT @Dima_Khatib: CONFIRMED by Tunisians tweeting; STATE TV in Tunisian has been taken over by journalists calling for revolt  #Sidibouzid,2011-01-14 07:14:07,false,n/a
zonkinoff,normal_user,RT @Dima_Khatib: CONFIRMED by Tunisians tweeting; STATE TV in Tunisian has been taken over by journalists calling for revolt  #Sidibouzid,2011-01-14 07:17:56,false,Dima_Khatib
wieni2010,normal_user,RT @Dima_Khatib: CONFIRMED by Tunisians tweeting; STATE TV in Tunisian has been taken over by journalists calling for revolt  #Sidibouzid,2011-01-14 07:18:23,false,Dima_Khatib
colinudoh,normal_user,RT @Dima_Khatib: CONFIRMED by Tunisians tweeting; STATE TV in Tunisian has been taken over by journalists calling for revolt  #Sidibouzid,2011-01-14 07:18:25,false,Dima_Khatib
elotoulemonde,normal_user,RT @Dima_Khatib: CONFIRMED by Tunisians tweeting; STATE TV in Tunisian has been taken over by journalists calling for revolt  #Sidibouzid,2011-01-14 07:18:28,false,Dima_Khatib
polgrim,normal_user,RT @Dima_Khatib: CONFIRMED by Tunisians tweeting; STATE TV in Tunisian has been taken over by journalists calling for revolt  #Sidibouzid,2011-01-14 07:18:38,false,Dima_Khatib
Hamster41,normal_user,RT @Dima_Khatib: CONFIRMED by Tunisians tweeting; STATE TV in Tunisian has been taken over by journalists calling for revolt  #Sidibouzid,2011-01-14 07:18:56,false,Dima_Khatib
Faramami,normal_user,RT @Dima_Khatib: CONFIRMED by Tunisians tweeting; STATE TV in Tunisian has been taken over by journalists calling for revolt  #Sidibouzid,2011-01-14 07:22:47,false,Dima_Khatib
Anon_VV,normal_user,RT @Dima_Khatib: CONFIRMED by Tunisians tweeting; STATE TV in Tunisian has been taken over by journalists calling for revolt  #Sidibouzid,2011-01-14 07:23:08,false,n/a
RedBloodCelia,normal_user,RT @Dima_Khatib: CONFIRMED by Tunisians tweeting; STATE TV in Tunisian has been taken over by journalists calling for revolt  #Sidibouzid,2011-01-14 07:23:10,false,Dima_Khatib
Sunniva1,normal_user,RT @Dima_Khatib: CONFIRMED by Tunisians tweeting; STATE TV in Tunisian has been taken over by journalists calling for revolt  #Sidibouzid,2011-01-14 07:23:23,false,Dima_Khatib
pkbwood,normal_user,RT @Dima_Khatib: CONFIRMED by Tunisians tweeting; STATE TV in Tunisian has been taken over by journalists calling for revolt  #Sidibouzid,2011-01-14 07:27:40,false,Dima_Khatib
LizzieViolet,normal_user,RT @Dima_Khatib: CONFIRMED by Tunisians tweeting; STATE TV in Tunisian has been taken over by journalists calling for revolt  #Sidibouzid,2011-01-14 07:33:18,false,Dima_Khatib
schiesslr,normal_user,RT @Dima_Khatib: CONFIRMED by Tunisians tweeting; STATE TV in Tunisian has been taken over by journalists calling for revolt  #Sidibouzid,2011-01-14 07:34:25,false,Dima_Khatib
clarejc,normal_user,RT @Dima_Khatib: CONFIRMED by Tunisians tweeting; STATE TV in Tunisian has been taken over by journalists calling for revolt  #Sidibouzid,2011-01-14 07:38:02,false,Dima_Khatib
myearshanglow,normal_user,RT @Dima_Khatib: CONFIRMED by Tunisians tweeting; STATE TV in Tunisian has been taken over by journalists calling for revolt  #Sidibouzid,2011-01-14 07:38:11,false,Dima_Khatib
mounirbensalah,normal_user,RT @Dima_Khatib: CONFIRMED by Tunisians tweeting; STATE TV in Tunisian has been taken over by journalists calling for revolt  #Sidibouzid,2011-01-14 07:38:22,false,Dima_Khatib
weddady,normal_user,RT @Dima_Khatib: CONFIRMED by Tunisians tweeting; STATE TV in Tunisian has been taken over by journalists calling for revolt  #Sidibouzid,2011-01-14 07:38:33,false,Dima_Khatib
aprilledaughn,normal_user,RT @Dima_Khatib: CONFIRMED by Tunisians tweeting; STATE TV in Tunisian has been taken over by journalists calling for revolt #Sidibouzid,2011-01-14 07:38:46,false,Dima_Khatib
JessicaSebeok,normal_user,RT @Dima_Khatib: CONFIRMED by Tunisians tweeting; STATE TV in Tunisian has been taken over by journalists calling for revolt  #Sidibouzid,2011-01-14 07:39:01,false,Dima_Khatib
