screen_name,relevant_total,irrelevant_total,friends_count,friends_percentile,followers_count,followers_percentile,statuses_count,statuses_percentile,created_at,relevant_user_gets_retweeted,relevant_user_retweets,relevant_percent_user_gets_retweeted,relevant_percent_user_retweets,irrelevant_user_gets_retweeted,irrelevant_user_retweets,irrelevant_percent_user_gets_retweeted,irrelevant_percent_user_retweets
AliAldafiri,14,16,82,0.989396014668846,7291,0.989396014668846,2360,0.989396014668846,2009-07-01 00:18:13,11,0,0.785714285714286,0.0,4,0,0.25,0.0
SBZ_news,15,251,7,0.952944815093006,2148,0.952944815093006,3905,0.952944815093006,2010-12-27 11:17:36,12,0,0.8,0.0,182,0,0.725099601593626,0.0
Emnabenjemaa,n/a,n/a,458,0.973490036672116,3386,0.973490036672116,9975,0.973490036672116,2009-05-10 18:33:20,"","",n/a,n/a,"","",n/a,n/a
ibnkafka,122,194,1919,0.962046569168913,2543,0.962046569168913,30110,0.962046569168913,2008-03-29 12:40:21,97,0,0.795081967213115,0.0,163,0,0.84020618556701,0.0
HendSabry,n/a,20,272,0.983696372553351,5107,0.983696372553351,748,0.983696372553351,2009-06-16 22:51:44,"","",n/a,n/a,7,0,0.35,0.0
ayman_nour,n/a,3,1557,0.99169354482393,8969,0.99169354482393,2202,0.99169354482393,2009-10-08 16:32:44,"","",n/a,n/a,1,0,0.333333333333333,0.0
balooot,n/a,118,89,0.987628683780321,6565,0.987628683780321,10747,0.987628683780321,2010-08-18 02:34:43,"","",n/a,n/a,33,0,0.279661016949153,0.0
benmhennilina,7,30,417,0.957318959042107,2337,0.957318959042107,11091,0.957318959042107,2010-04-08 11:32:05,7,0,1.0,0.0,19,0,0.633333333333333,0.0
alahmarim,n/a,13,112,0.981929041664826,4706,0.981929041664826,1016,0.981929041664826,2010-01-15 07:28:52,"","",n/a,n/a,10,0,0.769230769230769,0.0
Almatrafi,n/a,117,48,0.980250077320726,4440,0.980250077320726,5986,0.980250077320726,2009-08-15 23:07:28,"","",n/a,n/a,30,0,0.256410256410256,0.0
