screen_name,relevant_total,irrelevant_total,friends_count,friends_percentile,followers_count,followers_percentile,statuses_count,statuses_percentile,created_at,relevant_user_gets_retweeted,relevant_user_retweets,relevant_percent_user_gets_retweeted,relevant_percent_user_retweets,irrelevant_user_gets_retweeted,irrelevant_user_retweets,irrelevant_percent_user_gets_retweeted,irrelevant_percent_user_retweets
mar3e,3,10,1088,0.953136396790664,2398,0.953136396790664,24356,0.953136396790664,2008-10-07 02:28:49,1,0,0.333333333333333,0.0,5,0,0.5,0.0
alaa,n/a,n/a,348,0.988876732312181,9269,0.988876732312181,33201,0.988876732312181,2007-03-22 18:41:12,"","",n/a,n/a,"","",n/a,n/a
ifikra,n/a,3,595,0.969756173804314,3511,0.969756173804314,6874,0.969756173804314,2008-06-07 12:01:01,"","",n/a,n/a,3,0,1.0,0.0
RamyRaoof,2,64,112,0.988746483276024,9108,0.988746483276024,9430,0.988746483276024,2009-03-06 15:52:00,2,0,1.0,0.0,62,0,0.96875,0.0
Ghonim,5,28,289,0.987860789830155,8559,0.987860789830155,3981,0.987860789830155,2009-03-07 12:35:22,4,0,0.8,0.0,24,0,0.857142857142857,0.0
weddady,48,198,556,0.980202146504116,5236,0.980202146504116,30469,0.980202146504116,2008-06-27 08:57:04,36,0,0.75,0.0,110,0,0.555555555555556,0.0
wsaqaf,n/a,n/a,8,0.537694071063874,138,0.537746170678337,27,0.537694071063874,2008-08-22 14:47:42,"","",n/a,n/a,"","",n/a,n/a
justimage,6,26,138,0.968115035948734,3342,0.968115035948734,2805,0.968115035948734,2009-03-18 19:55:39,2,0,0.333333333333333,0.0,15,0,0.576923076923077,0.0
joshmull,91,112,2126,0.958658955923726,2667,0.958658955923726,12365,0.958658955923726,2007-03-28 04:31:51,56,0,0.615384615384615,0.0,64,0,0.571428571428571,0.0
ircpresident,18,138,827,0.966083150984683,3180,0.966083150984683,22668,0.966083150984683,2007-02-01 18:17:41,8,0,0.444444444444444,0.0,47,0,0.340579710144928,0.0
3arabawy,41,233,351,0.990517870167761,11189,0.990517870167761,28986,0.990517870167761,2007-10-21 08:37:59,41,0,1.0,0.0,215,0,0.92274678111588,0.0
AzizaSami,70,168,101,0.690919037199125,318,0.690919037199125,2266,0.690919037199125,2011-01-01 16:58:50,24,0,0.342857142857143,0.0,68,0,0.404761904761905,0.0
H_Eid,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,"","",n/a,n/a,"","",n/a,n/a
Zeinobia,114,458,2974,0.984265916432218,6674,0.984265916432218,34495,0.984265916432218,2007-01-06 21:21:50,105,0,0.921052631578947,0.0,325,0,0.709606986899563,0.0
ianinegypt,36,4,100,0.986922996769824,7831,0.986922996769824,1207,0.986922996769824,2009-05-15 07:49:52,35,0,0.972222222222222,0.0,4,0,1.0,0.0
mtwfeeq,51,151,247,0.876081067000104,1027,0.876081067000104,25408,0.876081067000104,2007-11-29 22:55:26,29,0,0.568627450980392,0.0,47,0,0.311258278145695,0.0
faroukadel,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,"","",n/a,n/a,"","",n/a,n/a
tarekshalaby,23,11,144,0.944696259247682,2090,0.944696259247682,4444,0.944696259247682,2009-06-26 13:42:46,15,0,0.652173913043478,0.0,5,0,0.454545454545455,0.0
Sarahcarr,8,23,362,0.973246847973325,3923,0.973246847973325,8575,0.973246847973325,2007-12-11 10:02:37,6,0,0.75,0.0,12,0,0.521739130434783,0.0
BloggerSeif,n/a,68,1280,0.976919870792956,4588,0.976919870792956,12528,0.976919870792956,2010-06-26 12:44:20,"","",n/a,n/a,6,0,0.0882352941176471,0.0
monasosh,110,50,198,0.985412107950401,7165,0.985412107950401,7851,0.985412107950401,2007-07-15 16:20:35,76,0,0.690909090909091,0.0,25,0,0.5,0.0
naglarzk,13,13,170,0.906663540689799,1344,0.906663540689799,3170,0.906663540689799,2009-01-24 13:35:19,10,0,0.769230769230769,0.0,9,0,0.692307692307692,0.0
ShereefAbbas,5,66,242,0.907340835677816,1350,0.907340835677816,2680,0.907340835677816,2009-03-28 21:39:39,3,0,0.6,0.0,14,0,0.212121212121212,0.0
wael,11,30,998,0.970876315515265,3618,0.970876315515265,14680,0.970876315515265,2007-03-14 17:47:53,10,0,0.909090909090909,0.0,20,0,0.666666666666667,0.0
jonjensen,2,8,107,0.975122434093988,4260,0.975122434093988,1766,0.975122434093988,2008-04-23 16:57:21,2,0,1.0,0.0,4,0,0.5,0.0
3effat,25,2,195,0.888298426591643,1138,0.888298426591643,2019,0.888298426591643,2009-06-07 15:55:10,19,0,0.76,0.0,0,0,0.0,0.0
manal,94,169,238,0.975174533708451,4262,0.975174533708451,5932,0.975174533708451,2007-03-22 19:01:24,64,0,0.680851063829787,0.0,106,0,0.627218934911243,0.0
estr4ng3d,27,64,95,0.812024591018026,650,0.812024591018026,2095,0.812024591018026,2007-04-24 07:09:31,24,0,0.888888888888889,0.0,51,0,0.796875,0.0
RiverDryFilm,1,7,222,0.897572157966031,1237,0.8975461081588,826,0.897572157966031,2009-11-18 02:04:00,0,0,0.0,0.0,3,0,0.428571428571429,0.0
beleidy,n/a,n/a,166,0.974549338334896,4156,0.974549338334896,6504,0.974549338334896,2008-12-28 16:41:39,"","",n/a,n/a,"","",n/a,n/a
waelabbas,18,155,238,0.992185057830572,14562,0.992185057830572,45305,0.992185057830572,2007-03-25 10:58:09,16,0,0.888888888888889,0.0,119,0,0.767741935483871,0.0
DannyRamadan,n/a,n/a,96,0.927972283005106,1662,0.927972283005106,862,0.927972283005106,2010-03-26 13:16:17,"","",n/a,n/a,"","",n/a,n/a
Linaattalah,14,6,144,0.952250703344795,2366,0.952250703344795,1649,0.952250703344795,2009-05-12 23:05:00,10,0,0.714285714285714,0.0,3,0,0.5,0.0
mfatta7,42,72,427,0.96913097843076,3458,0.96913097843076,17473,0.96913097843076,2010-01-04 06:09:28,36,0,0.857142857142857,0.0,48,0,0.666666666666667,0.0
gr33ndata,3,25,883,0.941492132958216,2007,0.941492132958216,15924,0.941492132958216,2007-01-05 00:37:53,2,0,0.666666666666667,0.0,13,0,0.52,0.0
AhmedDarweesh,28,78,1027,0.819787433572992,685,0.81976138376576,2416,0.819787433572992,2010-05-18 09:59:41,14,0,0.5,0.0,24,0,0.307692307692308,0.0
muiz,n/a,2,38,0.853678232781077,864,0.853678232781077,14078,0.853678232781077,2008-11-03 15:59:01,"","",n/a,n/a,0,0,0.0,0.0
litfreak,16,159,444,0.934745232885277,1824,0.934745232885277,10705,0.934745232885277,2009-01-08 08:34:38,14,0,0.875,0.0,81,0,0.509433962264151,0.0
mosaaberizing,1,13,183,0.963868917370011,3020,0.963868917370011,4487,0.963868917370011,2009-07-11 18:40:51,0,0,0.0,0.0,8,0,0.615384615384615,0.0
MohammadYasser,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,"","",n/a,n/a,"","",n/a,n/a
NahlahAyed,n/a,n/a,16,0.962331978743357,2907,0.962331978743357,213,0.962331978743357,2010-05-21 05:05:23,"","",n/a,n/a,"","",n/a,n/a
mariamali7,2,3,102,0.655621548400542,262,0.655725747629468,1243,0.655621548400542,2010-01-23 20:50:22,2,0,1.0,0.0,3,0,1.0,0.0
Lastoadri,46,192,441,0.969730123997082,3509,0.969730123997082,22370,0.969730123997082,2006-12-27 23:54:07,40,0,0.869565217391304,0.0,130,0,0.677083333333333,0.0
Organica_,4,53,435,0.809784307596124,640,0.809784307596124,13278,0.809784307596124,2009-01-03 01:40:06,3,0,0.75,0.0,27,0,0.509433962264151,0.0
Beirutiyat,3,36,1839,0.920261540064603,1525,0.920261540064603,6189,0.920261540064603,2009-08-19 07:58:18,3,0,1.0,0.0,21,0,0.583333333333333,0.0
TravellerW,6,35,643,0.968792330936751,3411,0.968792330936751,16890,0.968792330936751,2009-02-19 03:57:38,4,0,0.666666666666667,0.0,16,0,0.457142857142857,0.0
parvezsharma,n/a,7,445,0.900281337918099,1264,0.900255288110868,1437,0.900281337918099,2009-05-19 19:27:53,"","",n/a,n/a,2,0,0.285714285714286,0.0
Ayyachomsky,3,12,312,0.879597790976347,1057,0.879597790976347,5635,0.879597790976347,2007-08-16 09:42:38,2,0,0.666666666666667,0.0,6,0,0.5,0.0
Gsquare86,37,29,478,0.983119724914036,6097,0.983119724914036,9350,0.983119724914036,2009-03-13 22:03:49,30,0,0.810810810810811,0.0,26,0,0.896551724137931,0.0
ShawkattRaghib,n/a,4,586,0.843961654683755,804,0.843961654683755,1100,0.843961654683755,2010-08-13 23:20:00,"","",n/a,n/a,0,0,0.0,0.0
waelabdelfattah,n/a,n/a,50,0.859878086902157,901,0.859904136709388,731,0.859878086902157,2010-03-15 08:27:31,"","",n/a,n/a,"","",n/a,n/a
Tom_El_Rumi,26,43,300,0.883609461289986,1089,0.883609461289986,3949,0.883609461289986,2009-02-07 13:59:57,17,0,0.653846153846154,0.0,19,0,0.441860465116279,0.0
RHelmii,53,176,82,0.926122746691674,1626,0.926122746691674,3426,0.926122746691674,2010-06-16 09:03:04,35,0,0.660377358490566,0.0,96,0,0.545454545454545,0.0
Alshaheeed,12,81,11,0.959362300718975,2717,0.959362300718975,362,0.959362300718975,2011-01-25 01:02:44,10,0,0.833333333333333,0.0,73,0,0.901234567901235,0.0
occupiedcairo,1,n/a,459,0.958164009586329,2634,0.958164009586329,1252,0.958164009586329,2008-12-22 14:01:49,1,0,1.0,0.0,"","",n/a,n/a
Asadx,n/a,2,398,0.939251849536313,1947,0.939303949150776,2043,0.939251849536313,2007-09-14 22:36:33,"","",n/a,n/a,1,0,0.5,0.0
Selnadeem,16,85,391,0.931619256017506,1745,0.931619256017506,7935,0.931619256017506,2009-02-10 18:06:41,11,0,0.6875,0.0,36,0,0.423529411764706,0.0
Wa7damasrya,6,18,172,0.90778368240075,1354,0.907757632593519,790,0.90778368240075,2009-03-04 12:48:56,3,0,0.5,0.0,11,0,0.611111111111111,0.0
matthewteller,3,13,705,0.94211732833177,2027,0.94211732833177,8244,0.94211732833177,2009-04-27 09:33:35,2,0,0.666666666666667,0.0,3,0,0.230769230769231,0.0
avinunu,6,105,636,0.98702719599875,7907,0.98702719599875,31209,0.98702719599875,2008-10-16 01:25:33,6,0,1.0,0.0,73,0,0.695238095238095,0.0
lisang,5,35,678,0.9658487027196,3168,0.9658487027196,14679,0.9658487027196,2007-07-25 08:40:42,4,0,0.8,0.0,6,0,0.171428571428571,0.0
anjucomet,1,2,103,0.920235490257372,1524,0.920235490257372,280,0.920235490257372,2009-04-09 17:49:03,1,0,1.0,0.0,2,0,1.0,0.0
aGharbeia,n/a,n/a,206,0.927399187246014,1647,0.927399187246014,2691,0.927399187246014,2009-12-04 20:44:38,"","",n/a,n/a,"","",n/a,n/a
Firas_Atraqchi,11,83,170,0.899630092737314,1256,0.899630092737314,4134,0.899630092737314,2010-06-13 03:43:06,8,0,0.727272727272727,0.0,23,0,0.27710843373494,0.0
gamaleid,22,41,866,0.971788058768365,3738,0.971788058768365,6221,0.971788058768365,2008-06-22 09:59:00,18,0,0.818181818181818,0.0,31,0,0.75609756097561,0.0
wnawara,9,56,178,0.916067521100344,1462,0.916067521100344,5972,0.916067521100344,2007-12-05 14:04:11,7,0,0.777777777777778,0.0,30,0,0.535714285714286,0.0
Gue3bara,4,1,196,0.949749921850578,2257,0.949749921850578,10188,0.949749921850578,2007-03-26 01:44:58,1,0,0.25,0.0,1,0,1.0,0.0
raafatology,n/a,n/a,218,0.926539543607377,1631,0.926539543607377,13291,0.926539543607377,2007-10-02 04:42:26,"","",n/a,n/a,"","",n/a,n/a
h_a_nassar,27,83,579,0.76315515265187,484,0.763181202459102,7792,0.76315515265187,2009-06-17 06:51:45,25,0,0.925925925925926,0.0,71,0,0.855421686746988,0.0
amira_nosseir,69,126,387,0.887282484109618,1125,0.887282484109618,8396,0.887282484109618,2010-10-15 22:23:53,40,0,0.579710144927536,0.0,52,0,0.412698412698413,0.0
elshaheeed,2,67,200,0.976424924455559,4516,0.976424924455559,3816,0.976424924455559,2010-06-21 17:55:11,2,0,1.0,0.0,53,0,0.791044776119403,0.0
thawrah,6,79,1159,0.929639470667917,1698,0.929639470667917,32228,0.929639470667917,2009-12-31 11:19:29,6,0,1.0,0.0,29,0,0.367088607594937,0.0
reemabdellatif,95,197,300,0.825648640200062,712,0.825674690007294,2093,0.825648640200062,2009-12-06 12:27:00,72,0,0.757894736842105,0.0,142,0,0.720812182741117,0.0
jnoubiyeh,n/a,28,166,0.977519016359279,4727,0.977519016359279,4258,0.977519016359279,2009-04-30 07:52:19,"","",n/a,n/a,24,0,0.857142857142857,0.0
arabrevolution,14,58,137,0.96694279462332,3246,0.96694279462332,2801,0.96694279462332,2011-01-16 23:27:33,12,0,0.857142857142857,0.0,45,0,0.775862068965517,0.0
habibh,5,52,797,0.978300510576222,4883,0.978300510576222,4631,0.978300510576222,2009-02-12 21:13:12,5,0,1.0,0.0,32,0,0.615384615384615,0.0
almasryalyoum_a,9,73,64,0.991872460143795,13637,0.991872460143795,9278,0.991872460143795,2009-04-30 10:48:51,9,0,1.0,0.0,63,0,0.863013698630137,0.0
kalimakhus,147,348,1152,0.952172553923101,2362,0.952172553923101,57442,0.952172553923101,2009-06-10 21:25:23,68,0,0.462585034013605,0.0,201,0,0.577586206896552,0.0
dostornews,121,8,3,0.991429613420861,12670,0.991429613420861,12867,0.991429613420861,2010-04-27 14:59:43,111,0,0.917355371900826,0.0,8,0,1.0,0.0
salmaeldaly,n/a,n/a,465,0.970381369177868,3570,0.970381369177868,8548,0.970381369177868,2010-10-15 00:48:57,"","",n/a,n/a,"","",n/a,n/a
minanaguib90,91,477,153,0.803610503282276,615,0.803584453475044,6752,0.803610503282276,2010-10-28 13:53:44,60,0,0.659340659340659,0.0,186,0,0.389937106918239,0.0
alialdafiri,17,68,82,0.985907054287798,7291,0.985907054287798,2360,0.985907054287798,2009-07-01 00:18:13,17,0,1.0,0.0,8,0,0.117647058823529,0.0
ahmed,4,8,1049,0.979681150359487,5113,0.979681150359487,5703,0.979681150359487,2006-09-04 00:18:12,4,0,1.0,0.0,3,0,0.375,0.0
demaghmak,56,233,125,0.937714910909659,1903,0.937714910909659,8200,0.937714910909659,2009-05-14 14:35:40,37,0,0.660714285714286,0.0,115,0,0.493562231759657,0.0
salamander,n/a,n/a,373,0.964311764092946,3042,0.964311764092946,6826,0.964311764092946,2007-05-09 20:24:18,"","",n/a,n/a,"","",n/a,n/a
tarawnah,n/a,n/a,253,0.942586224861936,2041,0.942586224861936,6284,0.942586224861936,2007-11-17 01:41:19,"","",n/a,n/a,"","",n/a,n/a
