screen_name,relevant_total,irrelevant_total,friends_count,friends_percentile,followers_count,followers_percentile,statuses_count,statuses_percentile,created_at,relevant_user_gets_retweeted,relevant_user_retweets,relevant_percent_user_gets_retweeted,relevant_percent_user_retweets,irrelevant_user_gets_retweeted,irrelevant_user_retweets,irrelevant_percent_user_gets_retweeted,irrelevant_percent_user_retweets
monaeltahawy,n/a,n/a,226,0.993774096071689,19204,0.993774096071689,26189,0.993774096071689,2009-04-09 13:09:12,"","",n/a,n/a,"","",n/a,n/a
Jilliancyork,7,74,2501,0.986949046577055,7841,0.986949046577055,43476,0.986949046577055,2008-02-27 13:54:53,6,0,0.857142857142857,0.0,35,0,0.472972972972973,0.0
octavianasr,10,44,927,0.991664061685944,13194,0.991664061685944,13398,0.991664061685944,2008-04-24 20:08:49,10,0,1.0,0.0,37,0,0.840909090909091,0.0
xenijardin,3,47,774,0.99617067833698,35516,0.99617067833698,17856,0.99617067833698,2006-07-14 05:49:14,2,0,0.666666666666667,0.0,30,0,0.638297872340426,0.0
PJCrowley,n/a,7,85,0.993201000312598,17372,0.993201000312598,279,0.993201000312598,2010-04-30 15:54:29,"","",n/a,n/a,7,0,1.0,0.0
ioerror,17,52,754,0.992028758987183,14090,0.992028758987183,9446,0.992028758987183,2008-02-23 12:22:25,14,0,0.823529411764706,0.0,30,0,0.576923076923077,0.0
JPBarlow,1,23,837,0.994034594144003,20190,0.994034594144003,5148,0.994034594144003,2008-04-01 12:01:59,1,0,1.0,0.0,18,0,0.782608695652174,0.0
JustAmira,45,154,876,0.978482859226842,4912,0.978482859226842,11178,0.978482859226842,2008-02-13 23:06:46,43,0,0.955555555555556,0.0,120,0,0.779220779220779,0.0
ethanz,3,22,686,0.989788475565281,10061,0.989788475565281,4687,0.989788475565281,2007-03-12 23:01:19,3,0,1.0,0.0,19,0,0.863636363636364,0.0
cshirky,n/a,n/a,531,0.998046264457643,104247,0.998046264457643,1954,0.998046264457643,2007-05-18 16:25:33,"","",n/a,n/a,"","",n/a,n/a
zephoria,n/a,n/a,689,0.996769823903303,40498,0.996769823903303,2232,0.996769823903303,2006-07-13 21:27:23,"","",n/a,n/a,"","",n/a,n/a
baratunde,n/a,21,2783,0.99744711889132,65677,0.99744711889132,32624,0.99744711889132,2007-03-08 02:13:46,"","",n/a,n/a,13,0,0.619047619047619,0.0
SenJohnMcCain,n/a,5,203,0.999791601542149,1710930,0.999791601542149,2124,0.999791601542149,2009-01-23 13:42:31,"","",n/a,n/a,5,0,1.0,0.0
PressSec,n/a,n/a,223,0.998489111180577,144754,0.998489111180577,963,0.998489111180577,2010-02-11 18:11:43,"","",n/a,n/a,"","",n/a,n/a
whitehouse,n/a,60,116,0.999869750963843,1947182,0.999869750963843,2077,0.999869750963843,2009-04-10 21:10:30,"","",n/a,n/a,60,0,1.0,0.0
pfeiffer44,n/a,n/a,122,0.973559445660102,3986,0.973559445660102,57,0.973559445660102,2010-04-09 11:51:24,"","",n/a,n/a,"","",n/a,n/a
Sandmonkey,59,59,626,0.993305199541523,17638,0.993305199541523,15113,0.993305199541523,2007-04-04 13:12:38,54,0,0.915254237288136,0.0,28,0,0.474576271186441,0.0
ProducerMatthew,n/a,86,1415,0.946728144211733,2146,0.946728144211733,9480,0.946728144211733,2007-02-04 13:40:33,"","",n/a,n/a,26,0,0.302325581395349,0.0
acarvin,2,86,1506,0.993800145878921,19385,0.993800145878921,39324,0.993800145878921,2007-02-17 22:53:33,1,0,0.5,0.0,33,0,0.383720930232558,0.0
digiphile,n/a,95,2270,0.997316869855163,57064,0.997316869855163,34381,0.997316869855163,2007-03-14 19:12:20,"","",n/a,n/a,29,0,0.305263157894737,0.0
doctorow,n/a,3,508,0.997968115035949,100752,0.997968115035949,6541,0.997968115035949,2007-03-28 21:40:55,"","",n/a,n/a,2,0,0.666666666666667,0.0
timoreilly,n/a,18,719,0.999609252891529,1441642,0.999609252891529,13223,0.999609252891529,2007-03-27 01:14:05,"","",n/a,n/a,15,0,0.833333333333333,0.0
sacca,n/a,10,629,0.999531103469834,1299207,0.999531103469834,13418,0.999531103469834,2006-07-13 09:05:49,"","",n/a,n/a,6,0,0.6,0.0
chrismessina,n/a,2,1933,0.995493383348963,27899,0.995493383348963,13472,0.995493383348963,2006-07-16 06:53:48,"","",n/a,n/a,2,0,1.0,0.0
tinucherian,n/a,41,42111,0.996691674481609,39708,0.996691674481609,21342,0.996691674481609,2009-06-30 12:17:39,"","",n/a,n/a,23,0,0.560975609756098,0.0
JulioAlonso,n/a,88,156,0.996040429300823,33950,0.996040429300823,5975,0.996040429300823,2007-03-20 19:07:03,"","",n/a,n/a,61,0,0.693181818181818,0.0
ElBaradei,n/a,n/a,35,0.996457226216526,37947,0.996457226216526,320,0.996457226216526,2010-03-03 12:09:47,"","",n/a,n/a,"","",n/a,n/a
evgenymorozov,n/a,20,1420,0.990465770553298,11016,0.990465770553298,6537,0.990465770553298,2009-04-10 22:39:27,"","",n/a,n/a,11,0,0.55,0.0
Alyssa_Milano,n/a,30,885,0.999505053662603,1282081,0.999505053662603,14552,0.999505053662603,2009-03-26 00:34:20,"","",n/a,n/a,30,0,1.0,0.0
AlOraibi,n/a,6,236,0.970277169948942,3566,0.970277169948942,3409,0.970277169948942,2009-04-30 19:32:41,"","",n/a,n/a,2,0,0.333333333333333,0.0
jessicanorthey,n/a,71,87366,0.998202563301032,116767,0.998202563301032,44368,0.998202563301032,2009-02-09 23:24:20,"","",n/a,n/a,25,0,0.352112676056338,0.0
kpereira,n/a,13,259,0.998072314264874,105325,0.998072314264874,4379,0.998072314264874,2007-10-06 05:35:11,"","",n/a,n/a,12,0,0.923076923076923,0.0
STXherry,n/a,130,54589,0.997160571011774,54729,0.997160571011774,59680,0.997160571011774,2009-04-14 17:36:30,"","",n/a,n/a,51,0,0.392307692307692,0.0
rmack,n/a,n/a,1895,0.989970824215901,10299,0.989970824215901,7670,0.989970824215901,2007-03-04 12:05:41,"","",n/a,n/a,"","",n/a,n/a
