screen_name,relevant_total,irrelevant_total,friends_count,friends_percentile,followers_count,followers_percentile,statuses_count,statuses_percentile,created_at,relevant_user_gets_retweeted,relevant_user_retweets,relevant_percent_user_gets_retweeted,relevant_percent_user_retweets,irrelevant_user_gets_retweeted,irrelevant_user_retweets,irrelevant_percent_user_gets_retweeted,irrelevant_percent_user_retweets
0.913793103448276,406,26524,1.0,19,70722,0.997603417734709,boingboing,0.0,0,0.997603417734709,2007-05-11 19:14:39,1.0,19,1.0,371,14,0.0,0,0.997603417734709
boingboing,19,406,14,0.997603417734709,70722,0.997603417734709,26524,0.997603417734709,2007-05-11 19:14:39,19,0,1.0,0.0,371,0,0.913793103448276,0.0
wired,3,87,220,0.999348754819214,732967,0.999348754819214,6481,0.999348754819214,2007-03-17 09:57:25,3,0,1.0,0.0,76,0,0.873563218390805,0.0
NiemanLab,n/a,201,637,0.996665624674377,39626,0.996665624674377,7220,0.996665624674377,2008-08-15 18:26:30,"","",n/a,n/a,174,0,0.865671641791045,0.0
democracynow,13,216,318,0.997134521204543,53997,0.997134521204543,3866,0.997134521204543,2008-10-23 20:47:35,13,0,1.0,0.0,207,0,0.958333333333333,0.0
nonprofitorgs,n/a,59,38113,0.999140356361363,404055,0.999140356361363,3218,0.999140356361363,2008-11-18 18:35:40,"","",n/a,n/a,43,0,0.728813559322034,0.0
amnesty,5,59,6701,0.998280712722726,126117,0.998280712722726,2488,0.998280712722726,2008-09-06 04:05:26,5,0,1.0,0.0,56,0,0.949152542372881,0.0
egytweets,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,"","",n/a,n/a,"","",n/a,n/a
twitterglobalpr,n/a,16,5,0.951365009898927,2317,0.951365009898927,22,0.951365009898927,2011-01-05 19:52:33,"","",n/a,n/a,14,0,0.875,0.0
twitter,n/a,10,404,1.0,4272280,1.0,1963,1.0,2007-02-20 14:35:54,"","",n/a,n/a,10,0,1.0,0.0
ustream,n/a,93,259,0.999661352505991,1516912,0.999661352505991,8544,0.999661352505991,2007-04-25 07:26:03,"","",n/a,n/a,83,0,0.89247311827957,0.0
vodafoneegypt,3,56,932,0.991559862457018,13006,0.991559862457018,3832,0.991559862457018,2009-07-13 12:10:46,3,0,1.0,0.0,11,0,0.196428571428571,0.0
techcrunch,n/a,441,825,0.999687402313223,1557783,0.999687402313223,24563,0.999687402313223,2007-03-07 01:27:09,"","",n/a,n/a,441,0,1.0,0.0
wikileaks,1,85,1,0.999296655204752,714940,0.999296655204752,3060,0.999296655204752,2008-10-04 06:41:05,1,0,1.0,0.0,85,0,1.0,0.0
youtube,n/a,99,227,0.999765551734917,1648781,0.999765551734917,3148,0.999765551734917,2007-11-13 21:43:46,"","",n/a,n/a,85,0,0.858585858585859,0.0
telecomix,173,176,99,0.974314890069814,4121,0.974314890069814,7492,0.974314890069814,2009-06-01 10:40:45,160,0,0.92485549132948,0.0,137,0,0.778409090909091,0.0
