screen_name,relevant_total,irrelevant_total,friends_count,friends_percentile,followers_count,followers_percentile,statuses_count,statuses_percentile,created_at,relevant_user_gets_retweeted,relevant_user_retweets,relevant_percent_user_gets_retweeted,relevant_percent_user_retweets,irrelevant_user_gets_retweeted,irrelevant_user_retweets,irrelevant_percent_user_gets_retweeted,irrelevant_percent_user_retweets
Evanchill,7,9,147,0.991403563613629,12601,0.991403563613629,2000,0.991403563613629,2009-02-23 18:08:56,6,0,0.857142857142857,0.0,5,0,0.555555555555556,0.0
Dima_Khatib,105,122,535,0.992106908408878,14366,0.992106908408878,12998,0.992106908408878,2010-10-12 13:20:38,76,0,0.723809523809524,0.0,57,0,0.467213114754098,0.0
ajimran,n/a,3,82,0.811425445451704,647,0.811399395644472,271,0.811425445451704,2009-05-27 10:04:32,"","",n/a,n/a,1,0,0.333333333333333,0.0
AymanM,11,2,118,0.993591747421069,18694,0.993591747421069,2316,0.993591747421069,2009-03-10 13:00:00,11,0,1.0,0.0,2,0,1.0,0.0
nolanjazeera,2,21,164,0.993956444722309,19967,0.993956444722309,1182,0.993956444722309,2009-11-25 15:35:26,2,0,1.0,0.0,13,0,0.619047619047619,0.0
Marwa_Alasar,n/a,1,53,0.89900489736376,1250,0.89900489736376,120,0.89900489736376,2009-05-25 08:15:27,"","",n/a,n/a,1,0,1.0,0.0
RawyaRageh,n/a,13,59,0.970146920912785,3544,0.970146920912785,336,0.970146920912785,2010-10-21 20:39:10,"","",n/a,n/a,10,0,0.769230769230769,0.0
SherineT,1,3,169,0.989762425758049,10049,0.989762425758049,1190,0.989762425758049,2009-03-16 09:31:14,1,0,1.0,0.0,3,0,1.0,0.0
adamakary,29,12,41,0.940215692403876,1969,0.940215692403876,542,0.940215692403876,2010-08-26 18:29:19,27,0,0.931034482758621,0.0,3,0,0.25,0.0
glcarlstrom,n/a,1,407,0.980123997082422,5209,0.980123997082422,9881,0.980123997082422,2008-04-09 22:23:15,"","",n/a,n/a,1,0,1.0,0.0
AlanFisher,n/a,3,242,0.975669480045848,4357,0.975669480045848,11661,0.975669480045848,2009-01-23 19:33:31,"","",n/a,n/a,0,0,0.0,0.0
abdu,20,69,618,0.934041888090028,1811,0.934041888090028,4305,0.934041888090028,2007-05-03 13:45:19,10,0,0.5,0.0,54,0,0.782608695652174,0.0
abdullahmussa,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,"","",n/a,n/a,"","",n/a,n/a
IvanCNN,1,4,23,0.987600291757841,8374,0.987600291757841,1101,0.987600291757841,2009-10-26 05:08:15,1,0,1.0,0.0,3,0,0.75,0.0
BenCNN,1,50,226,0.995232885276649,25922,0.995232885276649,1946,0.995232885276649,2009-10-19 12:42:46,1,0,1.0,0.0,47,0,0.94,0.0
arwadamonCNN,n/a,2,230,0.972725851828696,3852,0.972725851828696,1425,0.972725851828696,2008-11-11 23:14:48,"","",n/a,n/a,1,0,0.5,0.0
AndersonCooper,n/a,n/a,56,0.999426904240909,903832,0.999426904240909,10091,0.999426904240909,2008-06-24 22:37:59,"","",n/a,n/a,"","",n/a,n/a
HalaGorani,1,13,394,0.992862352818589,16589,0.992862352818589,2228,0.992862352818589,2009-03-19 16:41:46,1,0,1.0,0.0,9,0,0.692307692307692,0.0
fpleitgenCNN,n/a,6,61,0.96165468375534,2855,0.96165468375534,1598,0.96165468375534,2009-03-10 08:56:34,"","",n/a,n/a,1,0,0.166666666666667,0.0
SaadAbedine,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,"","",n/a,n/a,"","",n/a,n/a
NicRobertsonCNN,n/a,5,44,0.989319579035115,9779,0.989319579035115,489,0.989319579035115,2009-03-16 23:41:59,"","",n/a,n/a,3,0,0.6,0.0
MAFox,n/a,n/a,69,0.885641346254038,1110,0.885641346254038,56,0.885641346254038,2009-03-06 19:12:45,"","",n/a,n/a,"","",n/a,n/a
ianinegypt,26,2,100,0.986922996769824,7831,0.986922996769824,1207,0.986922996769824,2009-05-15 07:49:52,26,0,1.0,0.0,2,0,1.0,0.0
neilhallsworth,n/a,n/a,20,0.843075961237887,799,0.843075961237887,114,0.843075961237887,2008-12-05 00:00:50,"","",n/a,n/a,"","",n/a,n/a
edhenryCNN,n/a,17,2297,0.995024486818798,24887,0.995024486818798,7131,0.995024486818798,2008-09-06 16:00:37,"","",n/a,n/a,13,0,0.764705882352941,0.0
JamjoomCNN,n/a,n/a,611,0.940892987391893,1983,0.940892987391893,421,0.940892987391893,2009-03-08 14:21:19,"","",n/a,n/a,"","",n/a,n/a
etanowitz,n/a,2,2601,0.981296238407836,5579,0.981296238407836,11177,0.981296238407836,2007-03-16 15:38:22,"","",n/a,n/a,1,0,0.5,0.0
piersmorgan,n/a,38,320,0.998853808481817,276568,0.998853808481817,3251,0.998853808481817,2010-11-16 09:37:44,"","",n/a,n/a,35,0,0.921052631578947,0.0
eliselabottCNN,n/a,13,193,0.95159945816401,2329,0.95159945816401,1006,0.95159945816401,2009-01-14 21:25:44,"","",n/a,n/a,7,0,0.538461538461538,0.0
natlsecurityCNN,n/a,4,1373,0.992367406481192,15090,0.992367406481192,2580,0.992367406481192,2009-06-05 16:49:34,"","",n/a,n/a,4,0,1.0,0.0
CNNjill,n/a,n/a,39,0.958554756694801,2657,0.958554756694801,1001,0.958554756694801,2008-12-16 10:28:35,"","",n/a,n/a,"","",n/a,n/a
barbarastarrCNN,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,"","",n/a,n/a,"","",n/a,n/a
johnkingCNN,n/a,n/a,363,0.995389184120038,27652,0.995389184120038,1354,0.995389184120038,2009-04-09 19:03:26,"","",n/a,n/a,"","",n/a,n/a
asiehCNN,n/a,n/a,474,0.928701677607586,1675,0.928701677607586,1861,0.928701677607586,2009-04-25 07:08:32,"","",n/a,n/a,"","",n/a,n/a
klustout,n/a,5,1086,0.993539647806606,18247,0.993539647806606,4109,0.993539647806606,2009-03-03 04:56:18,"","",n/a,n/a,4,0,0.8,0.0
jaketapper,n/a,28,860,0.99781181619256,88702,0.99781181619256,26609,0.99781181619256,2008-04-25 17:23:28,"","",n/a,n/a,18,0,0.642857142857143,0.0
DavidMuirABC,n/a,2,296,0.985854954673335,7275,0.985854954673335,813,0.985854954673335,2009-07-12 23:31:43,"","",n/a,n/a,1,0,0.5,0.0
camanpour,n/a,6,26,0.997863915807023,94194,0.997863915807023,1301,0.997863915807023,2009-08-27 02:56:01,"","",n/a,n/a,6,0,1.0,0.0
BillWeirABC,n/a,1,224,0.989996874023132,10325,0.989996874023132,847,0.989996874023132,2009-04-20 13:44:11,"","",n/a,n/a,1,0,1.0,0.0
LaraABCNews,n/a,4,1030,0.993904345107846,19809,0.993904345107846,2650,0.993904345107846,2009-02-21 12:58:45,"","",n/a,n/a,4,0,1.0,0.0
ABCWorldNews,n/a,32,136,0.995206835469418,25882,0.995206835469418,6420,0.995206835469418,2009-10-29 19:21:20,"","",n/a,n/a,16,0,0.5,0.0
KiritRadia_ABC,n/a,n/a,229,0.875481921433781,1021,0.875481921433781,395,0.875481921433781,2009-08-04 15:44:03,"","",n/a,n/a,"","",n/a,n/a
michaelluo,n/a,2,798,0.982572678962176,5909,0.982572678962176,2671,0.982572678962176,2009-01-16 21:26:41,"","",n/a,n/a,1,0,0.5,0.0
MarquardtA,1,3,366,0.920079191413984,1521,0.920079191413984,229,0.920079191413984,2009-03-31 19:10:28,1,0,1.0,0.0,2,0,0.666666666666667,0.0
bbclysedoucet,1,1,253,0.988043138480775,8653,0.988043138480775,1569,0.988043138480775,2010-01-25 17:34:39,1,0,1.0,0.0,1,0,1.0,0.0
brianstelter,n/a,64,1570,0.996821923517766,41984,0.996821923517766,14705,0.996821923517766,2008-04-24 18:41:42,"","",n/a,n/a,35,0,0.546875,0.0
richardengelNBC,6,1,41,0.994242992601855,20890,0.994242992601855,613,0.994242992601855,2009-06-15 20:40:51,6,0,1.0,0.0,1,0,1.0,0.0
jeremyscahill,n/a,18,1024,0.994555590288632,22359,0.994555590288632,4781,0.994555590288632,2009-03-11 22:05:02,"","",n/a,n/a,11,0,0.611111111111111,0.0
hadeelalsh,16,12,332,0.957304365947692,2596,0.957304365947692,693,0.957304365947692,2009-12-11 11:01:29,12,0,0.75,0.0,3,0,0.25,0.0
jrug,1,6,478,0.985360008335938,7160,0.985360008335938,1363,0.985360008335938,2009-03-26 12:09:23,1,0,1.0,0.0,6,0,1.0,0.0
jonsnowC4,n/a,n/a,117,0.996926122746692,46699,0.996926122746692,3183,0.996926122746692,2010-03-31 13:21:25,"","",n/a,n/a,"","",n/a,n/a
