relevant_total,followers_count,irrelevant_percent_user_gets_retweeted,statuses_percentile,followers_percentile,irrelevant_percent_original_tweets,created_at,relevant_percent_user_retweets,screen_name,irrelevant_total,relevant_percent_user_gets_retweeted,friends_count,relevant_percent_original_tweets,friends_percentile,irrelevant_percent_user_retweets,statuses_count
25,17382,0.331428571428571,0.995404411764706,0.995404155757339,0.411428571428571,2009-04-09 13:09:12,0.72,monaeltahawy,175,0.24,216,0.28,0.995404155757339,0.588571428571429,25310
25,17382,0.331428571428571,0.995404411764706,0.995404155757339,0.411428571428571,2009-04-09 13:09:12,0.72,monaeltahawy,175,0.24,216,0.28,0.995404155757339,0.588571428571429,25310
19,7576,0.143646408839779,0.989332664884136,0.989332070636733,0.762430939226519,2008-02-27 13:54:53,0.473684210526316,Jilliancyork,181,0.473684210526316,2472,0.526315789473684,0.989332070636733,0.237569060773481,43169
33,12847,0.790419161676647,0.994039661319073,0.994039329285277,0.904191616766467,2008-04-24 20:08:49,0.0909090909090909,octavianasr,167,0.878787878787879,925,0.909090909090909,0.994039329285277,0.0958083832335329,13367
40,35463,0.50625,0.997716131907308,0.997716004679405,0.76875,2006-07-14 05:49:14,0.2,xenijardin,160,0.65,773,0.8,0.997716004679405,0.23125,17808
0,n/a,0.965,n/a,n/a,0.97,n/a,NaN,PJCrowley,200,NaN,n/a,NaN,n/a,0.03,n/a
36,14153,0.0304878048780488,0.994513146167558,0.994512840510278,0.115853658536585,2008-02-23 12:22:25,0.805555555555556,ioerror,164,0.194444444444444,753,0.194444444444444,0.994512840510278,0.884146341463415,9152
32,0,0.553571428571429,0.197749554367201,0.247256420255139,0.69047619047619,2008-04-01 12:01:59,0.625,JPBarlow,168,0.34375,0,0.375,0.197760570441758,0.30952380952381,4966
41,4687,0.0691823899371069,0.981032754010695,0.981031697398474,0.308176100628931,2008-02-13 23:06:46,0.829268292682927,JustAmira,159,0.0487804878048781,869,0.170731707317073,0.981031697398474,0.691823899371069,10836
44,9959,0.301282051282051,0.992479946524064,0.992479527602919,0.480769230769231,2007-03-12 23:01:19,0.590909090909091,ethanz,156,0.363636363636364,677,0.409090909090909,0.992479527602919,0.519230769230769,4601
7,n/a,0.844559585492228,n/a,n/a,0.875647668393782,n/a,0.142857142857143,cshirky,193,0.714285714285714,n/a,0.857142857142857,n/a,0.124352331606218,n/a
6,n/a,0.577319587628866,n/a,n/a,0.876288659793814,n/a,0.333333333333333,zephoria,194,0.5,n/a,0.666666666666667,n/a,0.123711340206186,n/a
21,0,0.213483146067416,0.136252228163993,0.106846415241491,0.629213483146067,n/a,0.571428571428571,baratunde,178,0.238095238095238,0,0.428571428571429,0.136259818394518,0.370786516853933,0
0,n/a,0.82,n/a,n/a,0.835,n/a,NaN,SenJohnMcCain,200,NaN,n/a,NaN,n/a,0.165,n/a
0,n/a,0.88,n/a,n/a,0.955,n/a,NaN,PressSec,200,NaN,n/a,NaN,n/a,0.045,n/a
0,n/a,0.81,n/a,n/a,0.88,n/a,NaN,whitehouse,200,NaN,n/a,NaN,n/a,0.12,n/a
1,0,0.5,0.235043449197861,0.251796557294858,0.833333333333333,2010-04-09 11:51:24,0.0,pfeiffer44,42,0.0,0,1.0,0.235056542810985,0.166666666666667,34
75,7845,0.12,0.990028966131907,0.9900284106735,0.368,2007-04-04 13:12:38,0.306666666666667,Sandmonkey,125,0.68,618,0.693333333333333,0.9900284106735,0.632,14894
3,1974,0.573604060913706,0.946858288770054,0.946855328393961,0.969543147208122,2007-02-04 13:40:33,0.666666666666667,ProducerMatthew,197,0.0,1381,0.333333333333333,0.946855328393961,0.0304568527918782,8960
66,18329,0.492537313432836,0.995766488413547,0.995766252576458,1.0,2007-02-17 22:53:33,0.0,acarvin,134,0.742424242424242,1490,1.0,0.995766252576458,0.0,38452
11,n/a,0.35978835978836,n/a,n/a,1.0,n/a,0.0,digiphile,189,0.818181818181818,n/a,1.0,n/a,0.0,n/a
3,n/a,0.316326530612245,n/a,n/a,0.556122448979592,n/a,0.666666666666667,doctorow,196,0.333333333333333,n/a,0.333333333333333,n/a,0.443877551020408,n/a
0,1441040,0.73,0.999888591800356,0.999888585594117,0.845,2007-03-27 01:14:05,NaN,timoreilly,200,NaN,718,NaN,0.999888585594117,0.155,13155
7,1299647,0.321243523316062,0.999832887700535,0.999832878391176,0.699481865284974,2006-07-13 09:05:49,1.0,sacca,193,0.0,622,0.0,0.999832878391176,0.300518134715026,13287
0,27808,0.34,0.997214795008913,0.997214639852933,0.79,2006-07-16 06:53:48,NaN,chrismessina,200,NaN,1933,NaN,0.997214639852933,0.21,13459
26,39482,0.114942528735632,0.998133912655972,0.998133808701465,0.362068965517241,2009-06-30 12:17:39,0.653846153846154,tinucherian,174,0.230769230769231,42034,0.346153846153846,0.998133808701465,0.637931034482759,21308
3,n/a,0.192893401015228,n/a,n/a,0.411167512690355,n/a,1.0,JulioAlonso,197,0.0,n/a,0.0,n/a,0.588832487309645,n/a
0,n/a,1.0,n/a,n/a,1.0,n/a,NaN,ElBaradei,200,NaN,n/a,NaN,n/a,0.0,n/a
11,10857,0.365079365079365,0.993092691622103,0.993092306835274,0.634920634920635,2009-04-10 22:39:27,1.0,evgenymorozov,189,0.0,1416,0.0,0.993092306835274,0.365079365079365,6505
2,n/a,0.904040404040404,n/a,n/a,0.96969696969697,n/a,0.0,Alyssa_Milano,198,1.0,n/a,1.0,n/a,0.0303030303030303,n/a
2,3437,0.414141414141414,0.97354055258467,0.973539078602863,0.843434343434343,2009-04-30 19:32:41,1.0,AlOraibi,198,0.0,227,0.0,0.973539078602863,0.156565656565657,3359
0,n/a,0.14,n/a,n/a,0.995,n/a,NaN,jessicanorthey,200,NaN,n/a,NaN,n/a,0.005,n/a
8,0,0.651041666666667,0.126309046345811,0.145228678068074,0.770833333333333,2007-10-06 05:35:11,0.125,kpereira,192,0.875,0,0.875,0.126316082669489,0.229166666666667,4369
0,54546,0.27,0.99841243315508,0.998412344716172,0.96,2009-04-14 17:36:30,NaN,STXherry,200,NaN,54583,NaN,0.998412344716172,0.04,59464
43,10242,0.191082802547771,0.992730614973262,0.992730210016155,0.267515923566879,2007-03-04 12:05:41,0.604651162790698,rmack,157,0.372093023255814,1834,0.395348837209302,0.992730210016155,0.732484076433121,7541
10,4841,0.526315789473684,0.981756907308378,0.981755891036711,0.894736842105263,2010-04-11 15:39:49,0.7,carloslatuff,190,0.2,8,0.3,0.981755891036711,0.105263157894737,573
96,1249,0.0769230769230769,0.908394607843137,0.908389504762966,0.125,2009-05-15 20:07:09,0.229166666666667,tharwacolamus,104,0.541666666666667,248,0.770833333333333,0.908389504762966,0.875,11262
2,43287,0.444444444444444,0.998217468805704,0.998217369505877,0.974747474747475,2008-12-24 16:04:51,0.5,ulil,198,0.0,442,0.5,0.998217369505877,0.0252525252525253,27959
167,6223,0.757575757575758,0.98660316399287,0.986602417692608,1.0,2009-03-13 05:54:44,0.0,shadihamid,33,0.958083832335329,998,1.0,0.986602417692608,0.0,3275
38,5740,0.580246913580247,0.985099153297683,0.985098323213191,0.660493827160494,2010-12-12 04:11:26,0.473684210526316,anonymousirc,162,0.526315789473684,369,0.526315789473684,0.985098323213191,0.339506172839506,1838
41,1109,0.176100628930818,0.896084001782531,0.89607821291293,0.553459119496855,2010-12-03 14:30:38,0.414634146341463,exiledsurfer,159,0.585365853658537,266,0.585365853658537,0.89607821291293,0.446540880503145,9301
26,3883,0.454022988505747,0.976882798573975,0.976881510779344,0.873563218390805,2007-03-22 13:32:14,0.153846153846154,McAndrew,174,0.615384615384615,459,0.846153846153846,0.976881510779344,0.126436781609195,453
40,1930,0.270440251572327,0.945437834224599,0.945434794718957,0.440251572327044,2010-12-24 19:41:22,0.4,anon_vv,159,0.45,291,0.6,0.945434794718957,0.559748427672956,1046
