relevant_percent_user_gets_retweeted,followers_percentile,relevant_user_retweets,created_at,screen_name,relevant_percent_original_tweets,irrelevant_percent_user_retweets,relevant_total,friends_count,irrelevant_percent_user_gets_retweeted,irrelevant_user_gets_retweeted,friends_percentile,irrelevant_percent_original_tweets,irrelevant_user_retweets,statuses_count,relevant_percent_user_retweets,irrelevant_total,followers_count,relevant_user_gets_retweeted,statuses_percentile
1.0,0.954581049334377,0,2008-10-07 02:28:49,mar3e,1.0,0.0,1,1088,0.385964912280702,22,0.954581049334377,1.0,0,24334,0.0,57,2354,1,0.954581049334377
1.0,0.954581049334377,0,2008-10-07 02:28:49,mar3e,1.0,0.0,1,1088,0.385964912280702,22,0.954581049334377,1.0,0,24334,0.0,57,2354,1,0.954581049334377
n/a,0.990289741581832,"",2007-03-22 18:41:12,alaa,n/a,n/a,n/a,348,n/a,"",0.990289741581832,n/a,"",33182,n/a,n/a,8783,"",0.990289741581832
n/a,n/a,"",n/a,ifikra,n/a,0.0,n/a,n/a,0.714285714285714,10,n/a,1.0,0,n/a,n/a,14,n/a,"",n/a
n/a,0.195066562255286,"",2009-03-06 15:52:00,RamyRaoof,n/a,0.0,n/a,0,0.8125,13,0.205220569042026,1.0,0,9279,n/a,16,0,"",0.205220569042026
n/a,0.988201513965022,"",2009-03-07 12:35:22,Ghonim,n/a,0.0,n/a,288,0.142857142857143,1,0.988201513965022,1.0,0,3981,n/a,7,7378,"",0.988201513965022
n/a,0.98167580266249,"",2008-06-27 08:57:04,weddady,n/a,n/a,n/a,556,n/a,"",0.98167580266249,n/a,"",30342,n/a,n/a,5074,"",0.98167580266249
n/a,n/a,"",n/a,wsaqaf,n/a,n/a,n/a,n/a,n/a,"",n/a,n/a,"",n/a,n/a,n/a,n/a,"",n/a
n/a,0.969068128425998,"",2009-03-18 19:55:39,justimage,n/a,0.0,n/a,138,0.6,3,0.969068128425998,1.0,0,2790,n/a,5,3227,"",0.969068128425998
n/a,0.961002349256069,"",2007-03-28 04:31:51,joshmull,n/a,0.0,n/a,2112,0.242424242424242,8,0.961002349256069,1.0,0,12348,n/a,33,2660,"",0.961002349256069
n/a,0.967710780475072,"",2007-02-01 18:17:41,ircpresident,n/a,0.0,n/a,826,0.166666666666667,4,0.967710780475072,1.0,0,22649,n/a,24,3121,"",0.967710780475072
1.0,0.992195249282172,0,2007-10-21 08:37:59,3arabawy,1.0,0.0,1,350,0.763440860215054,71,0.992195249282172,1.0,0,28889,0.0,93,10677,1,0.992195249282172
0.0,0.682772122161316,0,2011-01-01 16:58:50,AzizaSami,1.0,0.0,1,98,0.283950617283951,23,0.682772122161316,1.0,0,2157,0.0,81,301,0,0.682772122161316
n/a,n/a,"",n/a,H_Eid,n/a,n/a,n/a,n/a,n/a,"",n/a,n/a,"",n/a,n/a,n/a,n/a,"",n/a
1.0,0.98564343513443,0,2007-01-06 21:21:50,Zeinobia,1.0,0.0,2,2974,0.71875,46,0.98564343513443,1.0,0,34266,0.0,64,6331,2,0.98564343513443
n/a,0.986296006264683,"",2009-05-15 07:49:52,ianinegypt,n/a,n/a,n/a,97,n/a,"",0.986296006264683,n/a,"",1155,n/a,n/a,6593,"",0.986296006264683
0.333333333333333,0.874784651527016,0,2007-11-29 22:55:26,mtwfeeq,1.0,0.0,3,243,0.316666666666667,19,0.874784651527016,1.0,0,25287,0.0,60,993,1,0.874784651527016
n/a,n/a,"",n/a,faroukadel,n/a,n/a,n/a,n/a,n/a,"",n/a,n/a,"",n/a,n/a,n/a,n/a,"",n/a
n/a,0.93069694596711,"",2009-06-26 13:42:46,tarekshalaby,n/a,0.0,n/a,144,0.75,3,0.93069694596711,1.0,0,4434,n/a,4,1665,"",0.93069694596711
n/a,0.974288697468024,"",2007-12-11 10:02:37,Sarahcarr,n/a,0.0,n/a,361,0.333333333333333,12,0.974288697468024,1.0,0,8549,n/a,36,3779,"",0.974288697468024
n/a,0.97755155311929,"",2010-06-26 12:44:20,BloggerSeif,n/a,0.0,n/a,1271,0.150943396226415,8,0.97755155311929,1.0,0,12423,n/a,53,4288,"",0.97755155311929
n/a,0.984364395719133,"",2007-07-15 16:20:35,monasosh,n/a,0.0,n/a,198,0.241379310344828,7,0.984364395719133,1.0,0,7793,n/a,29,5839,"",0.984364395719133
n/a,0.204829026363874,"",2009-01-24 13:35:19,naglarzk,n/a,0.0,n/a,0,0.075,3,0.189480553380318,1.0,0,2601,n/a,40,0,"",0.189480553380318
n/a,0.900156617071261,"",2009-03-28 21:39:39,ShereefAbbas,n/a,0.0,n/a,229,0.142857142857143,1,0.900156617071261,1.0,0,2615,n/a,7,1236,"",0.900156617071261
n/a,0.969720699556252,"",2007-03-14 17:47:53,wael,n/a,0.0,n/a,998,0.444444444444444,4,0.969720699556252,1.0,0,14642,n/a,9,3278,"",0.969720699556252
n/a,0.975907073871052,"",2008-04-23 16:57:21,jonjensen,n/a,0.0,n/a,106,1.0,3,0.975907073871052,1.0,0,1757,n/a,3,4028,"",0.975907073871052
n/a,0.874732445836596,"",2009-06-07 15:55:10,3effat,n/a,0.0,n/a,195,0.428571428571429,3,0.874732445836596,1.0,0,1990,n/a,7,993,"",0.874732445836596
n/a,0.976559645001305,"",2007-03-22 19:01:24,manal,n/a,0.0,n/a,238,0.5,2,0.976559645001305,1.0,0,5934,n/a,4,4119,"",0.976559645001305
n/a,0.801853302009919,"",2007-04-24 07:09:31,estr4ng3d,n/a,0.0,n/a,95,0.375,3,0.801853302009919,1.0,0,2061,n/a,8,600,"",0.801853302009919
n/a,0.771025841816758,"",2009-11-18 02:04:00,RiverDryFilm,n/a,0.0,n/a,220,0.0,0,0.770817019055077,1.0,0,708,n/a,4,500,"",0.770817019055077
0.0,0.976194205168363,0,2008-12-28 16:41:39,beleidy,1.0,0.0,1,166,0.214285714285714,3,0.976194205168363,1.0,0,6474,0.0,14,4078,0,0.976194205168363
n/a,0.993395980161838,"",2007-03-25 10:58:09,waelabbas,n/a,0.0,n/a,238,0.256410256410256,10,0.993395980161838,1.0,0,45247,n/a,39,12797,"",0.993395980161838
n/a,0.929496215087445,"",2010-03-26 13:16:17,DannyRamadan,n/a,n/a,n/a,96,n/a,"",0.929496215087445,n/a,"",862,n/a,n/a,1639,"",0.929496215087445
n/a,n/a,"",n/a,Linaattalah,n/a,0.0,n/a,n/a,0.0,0,n/a,1.0,0,n/a,n/a,1,n/a,"",n/a
0.0,0.971051944661968,0,2010-01-04 06:09:28,mfatta7,1.0,0.0,3,427,0.704081632653061,69,0.971051944661968,1.0,0,17465,0.0,98,3386,0,0.971051944661968
n/a,0.942521534847298,"",2007-01-05 00:37:53,gr33ndata,n/a,0.0,n/a,882,0.5,1,0.942521534847298,1.0,0,15916,n/a,2,1962,"",0.942521534847298
1.0,0.821665361524406,0,2010-05-18 09:59:41,AhmedDarweesh,1.0,0.0,1,1021,0.177777777777778,8,0.821665361524406,1.0,0,2381,0.0,45,680,1,0.821665361524406
n/a,0.121273818846254,"",2008-11-03 15:59:01,muiz,n/a,0.0,n/a,0,0.21875,7,0.0500913599582354,1.0,0,13475,n/a,32,0,"",0.0500913599582354
n/a,0.931271208561733,"",2009-01-08 08:34:38,litfreak,n/a,0.0,n/a,438,0.130434782608696,9,0.931271208561733,1.0,0,10567,n/a,69,1670,"",0.931271208561733
n/a,0.931427825632994,"",2009-07-11 18:40:51,mosaaberizing,n/a,0.0,n/a,181,0.361111111111111,13,0.931427825632994,1.0,0,4286,n/a,36,1677,"",0.931427825632994
n/a,n/a,"",n/a,MohammadYasser,n/a,n/a,n/a,n/a,n/a,"",n/a,n/a,"",n/a,n/a,n/a,n/a,"",n/a
n/a,n/a,"",n/a,NahlahAyed,n/a,n/a,n/a,n/a,n/a,"",n/a,n/a,"",n/a,n/a,n/a,n/a,"",n/a
n/a,0.184103367267032,"",2010-01-23 20:50:22,mariamali7,n/a,0.0,n/a,0,0.153846153846154,2,0.133072304881232,1.0,0,397,n/a,13,0,"",0.133072304881232
n/a,0.971260767423649,"",2006-12-27 23:54:07,Lastoadri,n/a,0.0,n/a,439,0.333333333333333,13,0.971260767423649,1.0,0,22291,n/a,39,3419,"",0.971260767423649
n/a,0.804620203602193,"",2009-01-03 01:40:06,Organica_,n/a,0.0,n/a,418,0.0666666666666667,3,0.804646306447403,1.0,0,13148,n/a,45,609,"",0.804646306447403
1.0,0.921926389976507,0,2009-08-19 07:58:18,Beirutiyat,1.0,0.0,2,1816,0.351851851851852,19,0.921926389976507,1.0,0,6124,0.0,54,1511,2,0.921926389976507
n/a,0.957452362307492,"",2009-02-19 03:57:38,TravellerW,n/a,0.0,n/a,642,0.0,0,0.957452362307492,1.0,0,16832,n/a,22,2502,"",0.957452362307492
n/a,0.899791177238319,"",2009-05-19 19:27:53,parvezsharma,n/a,n/a,n/a,414,n/a,"",0.899791177238319,n/a,"",1300,n/a,n/a,1233,"",0.899791177238319
n/a,0.878465152701644,"",2007-08-16 09:42:38,Ayyachomsky,n/a,0.0,n/a,312,0.214285714285714,3,0.878465152701644,1.0,0,5624,n/a,14,1024,"",0.878465152701644
0.6,0.98371182458888,0,2009-03-13 22:03:49,Gsquare86,1.0,0.0,5,478,0.451612903225806,42,0.98371182458888,1.0,0,9327,0.0,93,5636,3,0.98371182458888
n/a,0.829574523623075,"",2010-08-13 23:20:00,ShawkattRaghib,n/a,n/a,n/a,589,n/a,"",0.829574523623075,n/a,"",1082,n/a,n/a,716,"",0.829574523623075
n/a,n/a,"",n/a,waelabdelfattah,n/a,0.0,n/a,n/a,0.333333333333333,4,n/a,1.0,0,n/a,n/a,12,n/a,"",n/a
n/a,0.879222135212738,"",2009-02-07 13:59:57,Tom_El_Rumi,n/a,0.0,n/a,300,1.0,1,0.879222135212738,1.0,0,3904,n/a,1,1030,"",0.879222135212738
