relevant_percent_user_gets_retweeted,irrelevant_total,followers_percentile,relevant_user_gets_retweeted,created_at,screen_name,relevant_percent_original_tweets,irrelevant_percent_user_retweets,relevant_user_retweets,friends_count,irrelevant_percent_user_gets_retweeted,relevant_total,friends_percentile,irrelevant_percent_original_tweets,irrelevant_user_gets_retweeted,statuses_count,relevant_percent_user_retweets,irrelevant_user_retweets,followers_count,statuses_percentile
0.68,29,0.953136396790664,17,2008-10-07 02:28:49,mar3e,1.0,0.0,0,1088,0.620689655172414,25,0.953136396790664,1.0,18,24356,0.0,0,2398,0.953136396790664
0.68,29,0.953136396790664,17,2008-10-07 02:28:49,mar3e,1.0,0.0,0,1088,0.620689655172414,25,0.953136396790664,1.0,18,24356,0.0,0,2398,0.953136396790664
n/a,n/a,0.988876732312181,"",2007-03-22 18:41:12,alaa,n/a,n/a,"",348,n/a,n/a,0.988876732312181,n/a,"",33201,n/a,"",9269,0.988876732312181
n/a,n/a,0.969756173804314,"",2008-06-07 12:01:01,ifikra,n/a,n/a,"",595,n/a,n/a,0.969756173804314,n/a,"",6874,n/a,"",3511,0.969756173804314
n/a,25,0.988746483276024,"",2009-03-06 15:52:00,RamyRaoof,n/a,0.0,"",112,0.96,n/a,0.988746483276024,1.0,24,9430,n/a,0,9108,0.988746483276024
n/a,17,0.987860789830155,"",2009-03-07 12:35:22,Ghonim,n/a,0.0,"",289,1.0,n/a,0.987860789830155,1.0,17,3981,n/a,0,8559,0.987860789830155
0.88,107,0.980202146504116,22,2008-06-27 08:57:04,weddady,1.0,0.0,0,556,0.700934579439252,25,0.980202146504116,1.0,75,30469,0.0,0,5236,0.980202146504116
1.0,n/a,0.537746170678337,1,2008-08-22 14:47:42,wsaqaf,1.0,n/a,0,8,n/a,1,0.537694071063874,n/a,"",27,0.0,"",138,0.537694071063874
0.333333333333333,9,0.968115035948734,1,2009-03-18 19:55:39,justimage,1.0,0.0,0,138,0.222222222222222,3,0.968115035948734,1.0,2,2805,0.0,0,3342,0.968115035948734
n/a,7,0.958658955923726,"",2007-03-28 04:31:51,joshmull,n/a,0.0,"",2126,0.285714285714286,n/a,0.958658955923726,1.0,2,12365,n/a,0,2667,0.958658955923726
0.375,49,0.966083150984683,3,2007-02-01 18:17:41,ircpresident,1.0,0.0,0,827,0.408163265306122,8,0.966083150984683,1.0,20,22668,0.0,0,3180,0.966083150984683
1.0,154,0.990517870167761,13,2007-10-21 08:37:59,3arabawy,1.0,0.0,0,351,0.941558441558442,13,0.990517870167761,1.0,145,28986,0.0,0,11189,0.990517870167761
0.777777777777778,212,0.690919037199125,42,2011-01-01 16:58:50,AzizaSami,1.0,0.0,0,101,0.627358490566038,54,0.690919037199125,1.0,133,2266,0.0,0,318,0.690919037199125
n/a,n/a,n/a,"",n/a,H_Eid,n/a,n/a,"",n/a,n/a,n/a,n/a,n/a,"",n/a,n/a,"",n/a,n/a
