relevant_percent_user_gets_retweeted,irrelevant_total,followers_percentile,created_at,screen_name,relevant_percent_original_tweets,irrelevant_percent_user_retweets,friends_count,relevant_total,irrelevant_percent_user_gets_retweeted,friends_percentile,irrelevant_percent_original_tweets,irrelevant_user_gets_retweeted,statuses_count,relevant_percent_user_retweets,irrelevant_user_retweets,followers_count,statuses_percentile
n/a,1,0.953136396790664,2008-10-07 02:28:49,mar3e,n/a,0.0,1088,n/a,1.0,0.953136396790664,1.0,1,24356,n/a,0,2398,0.953136396790664
n/a,1,0.953136396790664,2008-10-07 02:28:49,mar3e,n/a,0.0,1088,n/a,1.0,0.953136396790664,1.0,1,24356,n/a,0,2398,0.953136396790664
0.767241379310345,578,0.988876732312181,2007-03-22 18:41:12,alaa,1.0,0.0,348,116,0.538062283737024,0.988876732312181,1.0,311,33201,0.0,0,9269,0.988876732312181
n/a,n/a,0.969756173804314,2008-06-07 12:01:01,ifikra,n/a,n/a,595,n/a,n/a,0.969756173804314,n/a,"",6874,n/a,"",3511,0.969756173804314
1.0,25,0.988746483276024,2009-03-06 15:52:00,RamyRaoof,1.0,0.0,112,17,1.0,0.988746483276024,1.0,25,9430,0.0,0,9108,0.988746483276024
n/a,n/a,0.987860789830155,2009-03-07 12:35:22,Ghonim,n/a,n/a,289,n/a,n/a,0.987860789830155,n/a,"",3981,n/a,"",8559,0.987860789830155
0.872340425531915,262,0.980202146504116,2008-06-27 08:57:04,weddady,1.0,0.0,556,47,0.683206106870229,0.980202146504116,1.0,179,30469,0.0,0,5236,0.980202146504116
0.0,n/a,0.537746170678337,2008-08-22 14:47:42,wsaqaf,1.0,n/a,8,1,n/a,0.537694071063874,n/a,"",27,0.0,"",138,0.537694071063874
1.0,13,0.968115035948734,2009-03-18 19:55:39,justimage,1.0,0.0,138,45,1.0,0.968115035948734,1.0,13,2805,0.0,0,3342,0.968115035948734
0.75,58,0.958658955923726,2007-03-28 04:31:51,joshmull,1.0,0.0,2126,4,0.327586206896552,0.958658955923726,1.0,19,12365,0.0,0,2667,0.958658955923726
n/a,n/a,0.966083150984683,2007-02-01 18:17:41,ircpresident,n/a,n/a,827,n/a,n/a,0.966083150984683,n/a,"",22668,n/a,"",3180,0.966083150984683
n/a,n/a,0.990517870167761,2007-10-21 08:37:59,3arabawy,n/a,n/a,351,n/a,n/a,0.990517870167761,n/a,"",28986,n/a,"",11189,0.990517870167761
n/a,n/a,0.690919037199125,2011-01-01 16:58:50,AzizaSami,n/a,n/a,101,n/a,n/a,0.690919037199125,n/a,"",2266,n/a,"",318,0.690919037199125
n/a,n/a,n/a,n/a,H_Eid,n/a,n/a,n/a,n/a,n/a,n/a,n/a,"",n/a,n/a,"",n/a,n/a
n/a,n/a,0.984265916432218,2007-01-06 21:21:50,Zeinobia,n/a,n/a,2974,n/a,n/a,0.984265916432218,n/a,"",34495,n/a,"",6674,0.984265916432218
1.0,21,0.986922996769824,2009-05-15 07:49:52,ianinegypt,1.0,0.0,100,28,0.904761904761905,0.986922996769824,1.0,19,1207,0.0,0,7831,0.986922996769824
n/a,7,0.876081067000104,2007-11-29 22:55:26,mtwfeeq,n/a,0.0,247,n/a,0.571428571428571,0.876081067000104,1.0,4,25408,n/a,0,1027,0.876081067000104
n/a,n/a,n/a,n/a,faroukadel,n/a,n/a,n/a,n/a,n/a,n/a,n/a,"",n/a,n/a,"",n/a,n/a
n/a,n/a,0.944696259247682,2009-06-26 13:42:46,tarekshalaby,n/a,n/a,144,n/a,n/a,0.944696259247682,n/a,"",4444,n/a,"",2090,0.944696259247682
0.888888888888889,53,0.973246847973325,2007-12-11 10:02:37,Sarahcarr,1.0,0.0,362,18,0.415094339622642,0.973246847973325,1.0,22,8575,0.0,0,3923,0.973246847973325
0.428571428571429,76,0.976919870792956,2010-06-26 12:44:20,BloggerSeif,1.0,0.0,1280,7,0.171052631578947,0.976919870792956,1.0,13,12528,0.0,0,4588,0.976919870792956
