relevant_percent_user_gets_retweeted,irrelevant_total,followers_percentile,created_at,screen_name,relevant_percent_original_tweets,irrelevant_percent_user_retweets,friends_count,relevant_total,irrelevant_percent_user_gets_retweeted,friends_percentile,irrelevant_percent_original_tweets,statuses_count,relevant_percent_user_retweets,followers_count,statuses_percentile
n/a,n/a,0.993774096071689,2009-04-09 13:09:12,monaeltahawy,n/a,n/a,226,n/a,n/a,0.993774096071689,n/a,26189,n/a,19204,0.993774096071689
n/a,n/a,0.993774096071689,2009-04-09 13:09:12,monaeltahawy,n/a,n/a,226,n/a,n/a,0.993774096071689,n/a,26189,n/a,19204,0.993774096071689
0.916666666666667,137,0.986949046577055,2008-02-27 13:54:53,Jilliancyork,1.0,0.0,2501,12,0.386861313868613,0.986949046577055,1.0,43476,0.0,7841,0.986949046577055
1.0,28,0.991664061685944,2008-04-24 20:08:49,octavianasr,1.0,0.0,927,4,0.928571428571429,0.991664061685944,1.0,13398,0.0,13194,0.991664061685944
1.0,11,0.99617067833698,2006-07-14 05:49:14,xenijardin,1.0,0.0,774,1,0.454545454545455,0.99617067833698,1.0,17856,0.0,35516,0.99617067833698
n/a,8,0.993201000312598,2010-04-30 15:54:29,PJCrowley,n/a,0.0,85,n/a,1.0,0.993201000312598,1.0,279,n/a,17372,0.993201000312598
0.96,106,0.992028758987183,2008-02-23 12:22:25,ioerror,1.0,0.0,754,50,0.650943396226415,0.992028758987183,1.0,9446,0.0,14090,0.992028758987183
1.0,21,0.994034594144003,2008-04-01 12:01:59,JPBarlow,1.0,0.0,837,8,1.0,0.994034594144003,1.0,5148,0.0,20190,0.994034594144003
0.7,36,0.978482859226842,2008-02-13 23:06:46,JustAmira,1.0,0.0,876,10,0.388888888888889,0.978482859226842,1.0,11178,0.0,4912,0.978482859226842
1.0,22,0.989788475565281,2007-03-12 23:01:19,ethanz,1.0,0.0,686,4,0.681818181818182,0.989788475565281,1.0,4687,0.0,10061,0.989788475565281
n/a,n/a,0.998046264457643,2007-05-18 16:25:33,cshirky,n/a,n/a,531,n/a,n/a,0.998046264457643,n/a,1954,n/a,104247,0.998046264457643
n/a,1,0.996769823903303,2006-07-13 21:27:23,zephoria,n/a,0.0,689,n/a,1.0,0.996769823903303,1.0,2232,n/a,40498,0.996769823903303
n/a,30,0.99744711889132,2007-03-08 02:13:46,baratunde,n/a,0.0,2783,n/a,0.566666666666667,0.99744711889132,1.0,32624,n/a,65677,0.99744711889132
n/a,n/a,0.999791601542149,2009-01-23 13:42:31,SenJohnMcCain,n/a,n/a,203,n/a,n/a,0.999791601542149,n/a,2124,n/a,1710930,0.999791601542149
n/a,n/a,0.998489111180577,2010-02-11 18:11:43,PressSec,n/a,n/a,223,n/a,n/a,0.998489111180577,n/a,963,n/a,144754,0.998489111180577
n/a,4,0.999869750963843,2009-04-10 21:10:30,whitehouse,n/a,0.0,116,n/a,1.0,0.999869750963843,1.0,2077,n/a,1947182,0.999869750963843
n/a,4,0.973559445660102,2010-04-09 11:51:24,pfeiffer44,n/a,0.0,122,n/a,0.5,0.973559445660102,1.0,57,n/a,3986,0.973559445660102
