screen_name,relevant_total,irrelevant_total,friends_count,friends_percentile,followers_count,followers_percentile,statuses_count,statuses_percentile,created_at,relevant_user_gets_retweeted,relevant_user_retweets,relevant_percent_user_gets_retweeted,relevant_percent_user_retweets,irrelevant_user_gets_retweeted,irrelevant_user_retweets,irrelevant_percent_user_gets_retweeted,irrelevant_percent_user_retweets
0.891304347826087,828,26189,1.0,115,19204,0.993774096071689,monaeltahawy,0.0,0,0.993774096071689,2009-04-09 13:09:12,0.982905982905983,117,1.0,738,226,0.0,0,0.993774096071689
monaeltahawy,117,828,226,0.993774096071689,19204,0.993774096071689,26189,0.993774096071689,2009-04-09 13:09:12,115,0,0.982905982905983,0.0,738,0,0.891304347826087,0.0
Jilliancyork,55,940,2501,0.986949046577055,7841,0.986949046577055,43476,0.986949046577055,2008-02-27 13:54:53,49,0,0.890909090909091,0.0,365,0,0.388297872340426,0.0
octavianasr,43,325,927,0.991664061685944,13194,0.991664061685944,13398,0.991664061685944,2008-04-24 20:08:49,41,0,0.953488372093023,0.0,253,0,0.778461538461538,0.0
xenijardin,23,379,774,0.99617067833698,35516,0.99617067833698,17856,0.99617067833698,2006-07-14 05:49:14,20,0,0.869565217391304,0.0,188,0,0.496042216358839,0.0
PJCrowley,n/a,42,85,0.993201000312598,17372,0.993201000312598,279,0.993201000312598,2010-04-30 15:54:29,"","",n/a,n/a,42,0,1.0,0.0
ioerror,177,521,754,0.992028758987183,14090,0.992028758987183,9446,0.992028758987183,2008-02-23 12:22:25,168,0,0.949152542372881,0.0,361,0,0.692898272552783,0.0
JPBarlow,26,213,837,0.994034594144003,20190,0.994034594144003,5148,0.994034594144003,2008-04-01 12:01:59,26,0,1.0,0.0,175,0,0.821596244131455,0.0
JustAmira,151,793,876,0.978482859226842,4912,0.978482859226842,11178,0.978482859226842,2008-02-13 23:06:46,126,0,0.834437086092715,0.0,507,0,0.639344262295082,0.0
ethanz,41,205,686,0.989788475565281,10061,0.989788475565281,4687,0.989788475565281,2007-03-12 23:01:19,41,0,1.0,0.0,158,0,0.770731707317073,0.0
cshirky,5,9,531,0.998046264457643,104247,0.998046264457643,1954,0.998046264457643,2007-05-18 16:25:33,4,0,0.8,0.0,9,0,1.0,0.0
zephoria,2,10,689,0.996769823903303,40498,0.996769823903303,2232,0.996769823903303,2006-07-13 21:27:23,1,0,0.5,0.0,10,0,1.0,0.0
baratunde,9,302,2783,0.99744711889132,65677,0.99744711889132,32624,0.99744711889132,2007-03-08 02:13:46,9,0,1.0,0.0,170,0,0.562913907284768,0.0
SenJohnMcCain,n/a,29,203,0.999791601542149,1710930,0.999791601542149,2124,0.999791601542149,2009-01-23 13:42:31,"","",n/a,n/a,28,0,0.96551724137931,0.0
PressSec,n/a,23,223,0.998489111180577,144754,0.998489111180577,963,0.998489111180577,2010-02-11 18:11:43,"","",n/a,n/a,16,0,0.695652173913043,0.0
whitehouse,n/a,121,116,0.999869750963843,1947182,0.999869750963843,2077,0.999869750963843,2009-04-10 21:10:30,"","",n/a,n/a,117,0,0.966942148760331,0.0
pfeiffer44,1,29,122,0.973559445660102,3986,0.973559445660102,57,0.973559445660102,2010-04-09 11:51:24,0,0,0.0,0.0,17,0,0.586206896551724,0.0
Sandmonkey,215,957,626,0.993305199541523,17638,0.993305199541523,15113,0.993305199541523,2007-04-04 13:12:38,186,0,0.865116279069767,0.0,333,0,0.347962382445141,0.0
ProducerMatthew,8,1020,1415,0.946728144211733,2146,0.946728144211733,9480,0.946728144211733,2007-02-04 13:40:33,6,0,0.75,0.0,395,0,0.387254901960784,0.0
acarvin,169,537,1506,0.993800145878921,19385,0.993800145878921,39324,0.993800145878921,2007-02-17 22:53:33,106,0,0.627218934911243,0.0,226,0,0.420856610800745,0.0
digiphile,11,764,2270,0.997316869855163,57064,0.997316869855163,34381,0.997316869855163,2007-03-14 19:12:20,8,0,0.727272727272727,0.0,273,0,0.357329842931937,0.0
doctorow,n/a,58,508,0.997968115035949,100752,0.997968115035949,6541,0.997968115035949,2007-03-28 21:40:55,"","",n/a,n/a,42,0,0.724137931034483,0.0
timoreilly,n/a,111,719,0.999609252891529,1441642,0.999609252891529,13223,0.999609252891529,2007-03-27 01:14:05,"","",n/a,n/a,101,0,0.90990990990991,0.0
sacca,4,106,629,0.999531103469834,1299207,0.999531103469834,13418,0.999531103469834,2006-07-13 09:05:49,4,0,1.0,0.0,68,0,0.641509433962264,0.0
chrismessina,n/a,96,1933,0.995493383348963,27899,0.995493383348963,13472,0.995493383348963,2006-07-16 06:53:48,"","",n/a,n/a,52,0,0.541666666666667,0.0
tinucherian,21,498,42111,0.996691674481609,39708,0.996691674481609,21342,0.996691674481609,2009-06-30 12:17:39,20,0,0.952380952380952,0.0,205,0,0.411646586345382,0.0
JulioAlonso,2,437,156,0.996040429300823,33950,0.996040429300823,5975,0.996040429300823,2007-03-20 19:07:03,2,0,1.0,0.0,314,0,0.718535469107552,0.0
ElBaradei,n/a,9,35,0.996457226216526,37947,0.996457226216526,320,0.996457226216526,2010-03-03 12:09:47,"","",n/a,n/a,9,0,1.0,0.0
evgenymorozov,10,274,1420,0.990465770553298,11016,0.990465770553298,6537,0.990465770553298,2009-04-10 22:39:27,10,0,1.0,0.0,206,0,0.751824817518248,0.0
Alyssa_Milano,1,262,885,0.999505053662603,1282081,0.999505053662603,14552,0.999505053662603,2009-03-26 00:34:20,1,0,1.0,0.0,257,0,0.980916030534351,0.0
AlOraibi,1,106,236,0.970277169948942,3566,0.970277169948942,3409,0.970277169948942,2009-04-30 19:32:41,1,0,1.0,0.0,40,0,0.377358490566038,0.0
jessicanorthey,n/a,677,87366,0.998202563301032,116767,0.998202563301032,44368,0.998202563301032,2009-02-09 23:24:20,"","",n/a,n/a,243,0,0.358936484490399,0.0
kpereira,7,67,259,0.998072314264874,105325,0.998072314264874,4379,0.998072314264874,2007-10-06 05:35:11,7,0,1.0,0.0,59,0,0.880597014925373,0.0
STXherry,10,485,54589,0.997160571011774,54729,0.997160571011774,59680,0.997160571011774,2009-04-14 17:36:30,7,0,0.7,0.0,151,0,0.311340206185567,0.0
rmack,26,56,1895,0.989970824215901,10299,0.989970824215901,7670,0.989970824215901,2007-03-04 12:05:41,26,0,1.0,0.0,50,0,0.892857142857143,0.0
carloslatuff,18,400,8,0.978691257684693,4935,0.978691257684693,638,0.978691257684693,2010-04-11 15:39:49,17,0,0.944444444444444,0.0,266,0,0.665,0.0
tharwacolamus,880,1212,252,0.909893716786496,1378,0.909893716786496,11523,0.909893716786496,2009-05-15 20:07:09,639,0,0.726136363636364,0.0,1023,0,0.844059405940594,0.0
ulil,5,834,447,0.996874023132229,43544,0.996874023132229,28344,0.996874023132229,2008-12-24 16:04:51,1,0,0.2,0.0,279,0,0.334532374100719,0.0
shadihamid,110,204,999,0.983823069709284,6465,0.983797019902053,3316,0.983823069709284,2009-03-13 05:54:44,100,0,0.909090909090909,0.0,127,0,0.622549019607843,0.0
anonymousirc,55,504,370,0.982911326456184,6019,0.982911326456184,1875,0.982911326456184,2010-12-12 04:11:26,55,0,1.0,0.0,443,0,0.878968253968254,0.0
exiledsurfer,309,839,271,0.887490882567469,1128,0.887490882567469,9791,0.887490882567469,2010-12-03 14:30:38,245,0,0.792880258899676,0.0,577,0,0.687723480333731,0.0
McAndrew,n/a,n/a,463,0.972986349901011,3897,0.972986349901011,471,0.972986349901011,2007-03-22 13:32:14,"","",n/a,n/a,"","",n/a,n/a
anon_vv,n/a,n/a,291,0.938678753777222,1927,0.938678753777222,1046,0.938678753777222,2010-12-24 19:41:22,"","",n/a,n/a,"","",n/a,n/a
