relevant_percent_user_gets_retweeted,followers_percentile,created_at,screen_name,relevant_percent_original_tweets,relevant_total,irrelevant_percent_user_retweets,friends_count,irrelevant_percent_user_gets_retweeted,irrelevant_user_gets_retweeted,friends_percentile,irrelevant_percent_original_tweets,irrelevant_user_retweets,statuses_count,relevant_percent_user_retweets,irrelevant_total,followers_count,statuses_percentile
n/a,0.992221352127382,2009-02-23 18:08:56,Evanchill,n/a,n/a,0.0,147,0.695652173913043,16,0.992221352127382,1.0,0,1961,n/a,23,10710,0.992221352127382
n/a,0.992221352127382,2009-02-23 18:08:56,Evanchill,n/a,n/a,0.0,147,0.695652173913043,16,0.992221352127382,1.0,0,1961,n/a,23,10710,0.992221352127382
n/a,0.9938136256852,2010-10-12 13:20:38,Dima_Khatib,n/a,n/a,n/a,534,n/a,"",0.9938136256852,n/a,"",12757,n/a,n/a,13770,0.9938136256852
n/a,n/a,n/a,ajimran,n/a,n/a,0.0,n/a,0.5,2,n/a,1.0,0,n/a,n/a,4,n/a,n/a
n/a,0.133072304881232,2009-03-10 13:00:00,AymanM,n/a,n/a,0.0,0,1.0,11,0.172592012529366,1.0,0,1100,n/a,11,0,0.172592012529366
n/a,0.995249282171757,2009-11-25 15:35:26,nolanjazeera,n/a,n/a,0.0,163,0.5,1,0.995249282171757,1.0,0,1162,n/a,2,18270,0.995249282171757
n/a,n/a,n/a,Marwa_Alasar,n/a,n/a,n/a,n/a,n/a,"",n/a,n/a,"",n/a,n/a,n/a,n/a,n/a
n/a,0.199895588619159,2010-10-21 20:39:10,RawyaRageh,n/a,n/a,0.0,0,0.75,3,0.210049595405899,1.0,0,329,n/a,4,0,0.210049595405899
1.0,0.990211433046202,2009-03-16 09:31:14,SherineT,1.0,1,0.0,169,0.25,2,0.990211433046202,1.0,0,1134,0.0,8,8685,0.990211433046202
1.0,0.941320803967633,2010-08-26 18:29:19,adamakary,1.0,2,0.0,41,0.75,3,0.941320803967633,1.0,0,537,0.0,4,1929,0.941320803967633
n/a,n/a,n/a,glcarlstrom,n/a,n/a,n/a,n/a,n/a,"",n/a,n/a,"",n/a,n/a,n/a,n/a,n/a
n/a,0.976977290524667,2009-01-23 19:33:31,AlanFisher,n/a,n/a,0.0,238,0.566666666666667,17,0.976977290524667,1.0,0,11589,n/a,30,4202,0.976977290524667
1.0,0.934403549986949,2007-05-03 13:45:19,abdu,1.0,1,0.0,616,0.772727272727273,68,0.934403549986949,1.0,0,4264,0.0,88,1748,0.934403549986949
n/a,n/a,n/a,abdullahmussa,n/a,n/a,n/a,n/a,n/a,"",n/a,n/a,"",n/a,n/a,n/a,n/a,n/a
n/a,0.985199686765857,2009-10-26 05:08:15,IvanCNN,n/a,n/a,n/a,23,n/a,"",0.985199686765857,n/a,"",1071,n/a,n/a,6071,0.985199686765857
