relevant_percent_user_gets_retweeted,irrelevant_total,followers_percentile,created_at,screen_name,relevant_percent_original_tweets,irrelevant_percent_user_retweets,friends_count,relevant_total,irrelevant_percent_user_gets_retweeted,friends_percentile,irrelevant_percent_original_tweets,irrelevant_user_gets_retweeted,statuses_count,relevant_percent_user_retweets,irrelevant_user_retweets,followers_count,statuses_percentile
n/a,23,0.991403563613629,2009-02-23 18:08:56,Evanchill,n/a,0.0,147,n/a,0.347826086956522,0.991403563613629,1.0,8,2000,n/a,0,12601,0.991403563613629
n/a,23,0.991403563613629,2009-02-23 18:08:56,Evanchill,n/a,0.0,147,n/a,0.347826086956522,0.991403563613629,1.0,8,2000,n/a,0,12601,0.991403563613629
n/a,n/a,0.992106908408878,2010-10-12 13:20:38,Dima_Khatib,n/a,n/a,535,n/a,n/a,0.992106908408878,n/a,"",12998,n/a,"",14366,0.992106908408878
n/a,3,0.811399395644472,2009-05-27 10:04:32,ajimran,n/a,0.0,82,n/a,0.333333333333333,0.811425445451704,1.0,1,271,n/a,0,647,0.811425445451704
n/a,9,0.993591747421069,2009-03-10 13:00:00,AymanM,n/a,0.0,118,n/a,0.555555555555556,0.993591747421069,1.0,5,2316,n/a,0,18694,0.993591747421069
n/a,3,0.993956444722309,2009-11-25 15:35:26,nolanjazeera,n/a,0.0,164,n/a,0.666666666666667,0.993956444722309,1.0,2,1182,n/a,0,19967,0.993956444722309
n/a,3,0.89900489736376,2009-05-25 08:15:27,Marwa_Alasar,n/a,0.0,53,n/a,0.0,0.89900489736376,1.0,0,120,n/a,0,1250,0.89900489736376
n/a,13,0.970146920912785,2010-10-21 20:39:10,RawyaRageh,n/a,0.0,59,n/a,0.153846153846154,0.970146920912785,1.0,2,336,n/a,0,3544,0.970146920912785
n/a,17,0.989762425758049,2009-03-16 09:31:14,SherineT,n/a,0.0,169,n/a,1.0,0.989762425758049,1.0,17,1190,n/a,0,10049,0.989762425758049
1.0,n/a,0.940215692403876,2010-08-26 18:29:19,adamakary,1.0,n/a,41,1,n/a,0.940215692403876,n/a,"",542,0.0,"",1969,0.940215692403876
n/a,9,0.980123997082422,2008-04-09 22:23:15,glcarlstrom,n/a,0.0,407,n/a,0.555555555555556,0.980123997082422,1.0,5,9881,n/a,0,5209,0.980123997082422
n/a,54,0.975669480045848,2009-01-23 19:33:31,AlanFisher,n/a,0.0,242,n/a,0.555555555555556,0.975669480045848,1.0,30,11661,n/a,0,4357,0.975669480045848
0.0,48,0.934041888090028,2007-05-03 13:45:19,abdu,1.0,0.0,618,1,0.666666666666667,0.934041888090028,1.0,32,4305,0.0,0,1811,0.934041888090028
n/a,n/a,n/a,n/a,abdullahmussa,n/a,n/a,n/a,n/a,n/a,n/a,n/a,"",n/a,n/a,"",n/a,n/a
n/a,3,0.987600291757841,2009-10-26 05:08:15,IvanCNN,n/a,0.0,23,n/a,1.0,0.987600291757841,1.0,3,1101,n/a,0,8374,0.987600291757841
n/a,2,0.995232885276649,2009-10-19 12:42:46,BenCNN,n/a,0.0,226,n/a,1.0,0.995232885276649,1.0,2,1946,n/a,0,25922,0.995232885276649
n/a,2,0.972725851828696,2008-11-11 23:14:48,arwadamonCNN,n/a,0.0,230,n/a,0.5,0.972725851828696,1.0,1,1425,n/a,0,3852,0.972725851828696
n/a,2,0.999426904240909,2008-06-24 22:37:59,AndersonCooper,n/a,0.0,56,n/a,1.0,0.999426904240909,1.0,2,10091,n/a,0,903832,0.999426904240909
n/a,12,0.992862352818589,2009-03-19 16:41:46,HalaGorani,n/a,0.0,394,n/a,0.75,0.992862352818589,1.0,9,2228,n/a,0,16589,0.992862352818589
n/a,1,0.96165468375534,2009-03-10 08:56:34,fpleitgenCNN,n/a,0.0,61,n/a,1.0,0.96165468375534,1.0,1,1598,n/a,0,2855,0.96165468375534
n/a,n/a,n/a,n/a,SaadAbedine,n/a,n/a,n/a,n/a,n/a,n/a,n/a,"",n/a,n/a,"",n/a,n/a
n/a,n/a,0.989319579035115,2009-03-16 23:41:59,NicRobertsonCNN,n/a,n/a,44,n/a,n/a,0.989319579035115,n/a,"",489,n/a,"",9779,0.989319579035115
n/a,n/a,0.885641346254038,2009-03-06 19:12:45,MAFox,n/a,n/a,69,n/a,n/a,0.885641346254038,n/a,"",56,n/a,"",1110,0.885641346254038
n/a,3,0.986922996769824,2009-05-15 07:49:52,ianinegypt,n/a,0.0,100,n/a,0.333333333333333,0.986922996769824,1.0,1,1207,n/a,0,7831,0.986922996769824
n/a,n/a,0.843075961237887,2008-12-05 00:00:50,neilhallsworth,n/a,n/a,20,n/a,n/a,0.843075961237887,n/a,"",114,n/a,"",799,0.843075961237887
n/a,1,0.995024486818798,2008-09-06 16:00:37,edhenryCNN,n/a,0.0,2297,n/a,1.0,0.995024486818798,1.0,1,7131,n/a,0,24887,0.995024486818798
n/a,4,0.940892987391893,2009-03-08 14:21:19,JamjoomCNN,n/a,0.0,611,n/a,0.75,0.940892987391893,1.0,3,421,n/a,0,1983,0.940892987391893
n/a,2,0.981296238407836,2007-03-16 15:38:22,etanowitz,n/a,0.0,2601,n/a,0.5,0.981296238407836,1.0,1,11177,n/a,0,5579,0.981296238407836
n/a,60,0.998853808481817,2010-11-16 09:37:44,piersmorgan,n/a,0.0,320,n/a,0.8,0.998853808481817,1.0,48,3251,n/a,0,276568,0.998853808481817
