relevant_percent_user_gets_retweeted,irrelevant_total,followers_percentile,relevant_user_gets_retweeted,created_at,screen_name,relevant_percent_original_tweets,irrelevant_percent_user_retweets,relevant_user_retweets,friends_count,irrelevant_percent_user_gets_retweeted,relevant_total,friends_percentile,irrelevant_percent_original_tweets,irrelevant_user_gets_retweeted,statuses_count,relevant_percent_user_retweets,irrelevant_user_retweets,followers_count,statuses_percentile
0.974025974025974,12,0.991403563613629,75,2009-02-23 18:08:56,Evanchill,1.0,0.0,0,147,0.833333333333333,77,0.991403563613629,1.0,10,2000,0.0,0,12601,0.991403563613629
0.974025974025974,12,0.991403563613629,75,2009-02-23 18:08:56,Evanchill,1.0,0.0,0,147,0.833333333333333,77,0.991403563613629,1.0,10,2000,0.0,0,12601,0.991403563613629
0.960244648318043,49,0.992106908408878,314,2010-10-12 13:20:38,Dima_Khatib,1.0,0.0,0,535,0.489795918367347,327,0.992106908408878,1.0,24,12998,0.0,0,14366,0.992106908408878
n/a,2,0.811399395644472,"",2009-05-27 10:04:32,ajimran,n/a,0.0,"",82,0.0,n/a,0.811425445451704,1.0,0,271,n/a,0,647,0.811425445451704
1.0,n/a,0.993591747421069,1,2009-03-10 13:00:00,AymanM,1.0,n/a,0,118,n/a,1,0.993591747421069,n/a,"",2316,0.0,"",18694,0.993591747421069
1.0,2,0.993956444722309,12,2009-11-25 15:35:26,nolanjazeera,1.0,0.0,0,164,1.0,12,0.993956444722309,1.0,2,1182,0.0,0,19967,0.993956444722309
n/a,n/a,0.89900489736376,"",2009-05-25 08:15:27,Marwa_Alasar,n/a,n/a,"",53,n/a,n/a,0.89900489736376,n/a,"",120,n/a,"",1250,0.89900489736376
n/a,n/a,0.970146920912785,"",2010-10-21 20:39:10,RawyaRageh,n/a,n/a,"",59,n/a,n/a,0.970146920912785,n/a,"",336,n/a,"",3544,0.970146920912785
0.970588235294118,69,0.989762425758049,33,2009-03-16 09:31:14,SherineT,1.0,0.0,0,169,0.869565217391304,34,0.989762425758049,1.0,60,1190,0.0,0,10049,0.989762425758049
1.0,n/a,0.940215692403876,12,2010-08-26 18:29:19,adamakary,1.0,n/a,0,41,n/a,12,0.940215692403876,n/a,"",542,0.0,"",1969,0.940215692403876
n/a,n/a,0.980123997082422,"",2008-04-09 22:23:15,glcarlstrom,n/a,n/a,"",407,n/a,n/a,0.980123997082422,n/a,"",9881,n/a,"",5209,0.980123997082422
0.5,24,0.975669480045848,1,2009-01-23 19:33:31,AlanFisher,1.0,0.0,0,242,0.125,2,0.975669480045848,1.0,3,11661,0.0,0,4357,0.975669480045848
