relevant_percent_user_gets_retweeted,followers_percentile,created_at,screen_name,relevant_percent_original_tweets,relevant_total,irrelevant_percent_user_retweets,friends_count,irrelevant_percent_user_gets_retweeted,irrelevant_user_gets_retweeted,friends_percentile,irrelevant_percent_original_tweets,irrelevant_user_retweets,statuses_count,relevant_percent_user_retweets,irrelevant_total,followers_count,statuses_percentile
n/a,0.999216914643696,2007-04-17 08:23:08,AJEnglish,n/a,n/a,0.0,58,1.0,24,0.999216914643696,1.0,0,30655,n/a,24,164170,0.999216914643696
n/a,0.999216914643696,2007-04-17 08:23:08,AJEnglish,n/a,n/a,0.0,58,1.0,24,0.999216914643696,1.0,0,30655,n/a,24,164170,0.999216914643696
n/a,0.997415818324197,2008-12-28 08:02:32,AJELive,n/a,n/a,n/a,32,n/a,"",0.997415818324197,n/a,"",1376,n/a,n/a,33913,0.997415818324197
n/a,0.0829026363873662,2007-04-26 19:33:12,AJArabic,n/a,n/a,0.0,0,0.764705882352941,26,0.120856173322892,1.0,0,50783,n/a,34,0,0.120856173322892
n/a,n/a,n/a,AJNLive,n/a,n/a,n/a,n/a,n/a,"",n/a,n/a,"",n/a,n/a,n/a,n/a,n/a
n/a,0.979457060819629,2007-07-30 20:51:45,AJTalk,n/a,n/a,0.0,33,0.0,0,0.979457060819629,1.0,0,5868,n/a,4,4664,0.979457060819629
n/a,0.0829026363873662,2007-04-26 19:33:12,ajarabic,n/a,n/a,0.0,0,0.764705882352941,26,0.120856173322892,1.0,0,50783,n/a,34,0,0.120856173322892
n/a,n/a,n/a,guardian,n/a,n/a,0.0,n/a,0.888888888888889,16,n/a,1.0,0,n/a,n/a,18,n/a,n/a
1.0,0.990472461498303,2010-06-17 14:24:57,guardian_world,1.0,1,0.0,181,1.0,17,0.990472461498303,1.0,0,1684,0.0,17,8903,0.990472461498303
n/a,n/a,n/a,guardiannews,n/a,n/a,0.0,n/a,0.983333333333333,59,n/a,1.0,0,n/a,n/a,60,n/a,n/a
n/a,0.141660140955364,2007-02-01 07:44:29,BBCWorld,n/a,n/a,0.0,0,1.0,75,0.141294701122422,1.0,0,75403,n/a,75,0,0.141294701122422
n/a,n/a,n/a,BBCBreaking,n/a,n/a,0.0,n/a,1.0,5,n/a,1.0,0,n/a,n/a,5,n/a,n/a
n/a,n/a,n/a,r4today,n/a,n/a,0.0,n/a,1.0,4,n/a,1.0,0,n/a,n/a,4,n/a,n/a
n/a,n/a,n/a,BBCNewsnight,n/a,n/a,0.0,n/a,1.0,7,n/a,1.0,0,n/a,n/a,7,n/a,n/a
n/a,n/a,n/a,BBC_HaveYourSay,n/a,n/a,0.0,n/a,0.333333333333333,1,n/a,1.0,0,n/a,n/a,3,n/a,n/a
n/a,n/a,n/a,WSJMidEast,n/a,n/a,0.0,n/a,0.333333333333333,1,n/a,1.0,0,n/a,n/a,3,n/a,n/a
n/a,n/a,n/a,WSJ,n/a,n/a,0.0,n/a,1.0,17,n/a,1.0,0,n/a,n/a,17,n/a,n/a
n/a,0.999582354476638,2007-03-27 11:19:39,washingtonpost,n/a,n/a,0.0,7214,0.989583333333333,95,0.999582354476638,1.0,0,22312,n/a,96,306031,0.999582354476638
n/a,n/a,n/a,cnn,n/a,n/a,0.0,n/a,1.0,19,n/a,1.0,0,n/a,n/a,19,n/a,n/a
n/a,n/a,n/a,cnni,n/a,n/a,0.0,n/a,0.863636363636364,19,n/a,1.0,0,n/a,n/a,22,n/a,n/a
n/a,1.0,2007-01-02 01:48:14,cnnbrk,n/a,n/a,0.0,28,1.0,22,1.0,1.0,0,7380,n/a,22,3762309,1.0
n/a,0.990080918820151,2009-09-03 20:21:30,cnnpr,n/a,n/a,0.0,250,0.4,2,0.990080918820151,1.0,0,2242,n/a,5,8640,0.990080918820151
n/a,n/a,n/a,cnnlive,n/a,n/a,0.0,n/a,1.0,17,n/a,1.0,0,n/a,n/a,17,n/a,n/a
n/a,n/a,n/a,CNNee,n/a,n/a,0.0,n/a,1.0,13,n/a,1.0,0,n/a,n/a,13,n/a,n/a
n/a,0.998668754894284,2007-10-20 20:14:41,CNN_Newsroom,n/a,n/a,0.0,840,1.0,2,0.998668754894284,1.0,0,3115,n/a,2,75889,0.998668754894284
n/a,n/a,n/a,PoliticalTicker,n/a,n/a,0.0,n/a,0.84,21,n/a,1.0,0,n/a,n/a,25,n/a,n/a
n/a,n/a,n/a,PiersTonight,n/a,n/a,0.0,n/a,0.882352941176471,15,n/a,1.0,0,n/a,n/a,17,n/a,n/a
n/a,n/a,n/a,iDeskCNN,n/a,n/a,0.0,n/a,0.733333333333333,11,n/a,1.0,0,n/a,n/a,15,n/a,n/a
n/a,n/a,n/a,natlsecuritycnn,n/a,n/a,0.0,n/a,0.947368421052632,18,n/a,1.0,0,n/a,n/a,19,n/a,n/a
n/a,0.995797441921169,2009-03-05 18:49:43,cnnAM,n/a,n/a,0.0,182,0.684210526315789,13,0.995797441921169,1.0,0,5119,n/a,19,20787,0.995797441921169
n/a,n/a,n/a,CNNsotu,n/a,n/a,n/a,n/a,n/a,"",n/a,n/a,"",n/a,n/a,n/a,n/a,n/a
n/a,0.991020621247716,2007-12-10 14:29:26,BackStory,n/a,n/a,n/a,2698,n/a,"",0.991020621247716,n/a,"",4477,n/a,n/a,9412,0.991020621247716
n/a,0.189402244844688,2008-04-03 13:54:30,time,n/a,n/a,0.0,0,1.0,46,0.199556251631428,1.0,0,19202,n/a,46,0,0.199556251631428
n/a,0.0229444009397024,2008-04-24 14:07:28,huffingtonpost,n/a,n/a,0.0,0,1.0,68,0.0364917776037588,1.0,0,46120,n/a,68,0,0.0364917776037588
n/a,0.99997389715479,2007-03-02 20:41:42,NYTimes,n/a,n/a,0.0,191,1.0,68,0.99997389715479,1.0,0,58179,n/a,68,2888528,0.99997389715479
n/a,0.205794831636648,2007-03-22 13:59:49,nytimesworld,n/a,n/a,0.0,0,0.675,27,0.190446358653093,1.0,0,39399,n/a,40,0,0.190446358653093
n/a,n/a,n/a,nytimespolitics,n/a,n/a,0.0,n/a,0.59375,19,n/a,1.0,0,n/a,n/a,32,n/a,n/a
n/a,n/a,n/a,thelede,n/a,n/a,0.0,n/a,1.0,2,n/a,1.0,0,n/a,n/a,2,n/a,n/a
n/a,0.99989558861916,2008-06-05 00:54:31,CBSNews,n/a,n/a,0.0,101,1.0,32,0.99989558861916,1.0,0,14251,n/a,32,1620159,0.99989558861916
n/a,0.133385539023754,2009-04-04 12:40:32,ABC,n/a,n/a,0.0,0,0.979591836734694,48,0.172905246671887,1.0,0,23103,n/a,49,0,0.172905246671887
n/a,n/a,n/a,ABCWorldNews,n/a,n/a,0.0,n/a,0.96875,31,n/a,1.0,0,n/a,n/a,32,n/a,n/a
n/a,n/a,n/a,ABCNewsNews,n/a,n/a,0.0,n/a,1.0,3,n/a,1.0,0,n/a,n/a,3,n/a,n/a
n/a,0.114904724614983,2007-03-29 02:15:36,ABCNews,n/a,n/a,0.0,0,0.930232558139535,40,0.0437222657269642,1.0,0,72650,n/a,43,0,0.0437222657269642
n/a,n/a,n/a,Nightline,n/a,n/a,0.0,n/a,1.0,3,n/a,1.0,0,n/a,n/a,3,n/a,n/a
n/a,n/a,n/a,TheDailyShow,n/a,n/a,0.0,n/a,1.0,5,n/a,1.0,0,n/a,n/a,5,n/a,n/a
n/a,0.99994779430958,2007-05-13 23:06:45,BreakingNews,n/a,n/a,0.0,311,1.0,59,0.99994779430958,1.0,0,45887,n/a,59,2100802,0.99994779430958
n/a,0.0815452884364396,2007-03-20 17:46:05,reuters,n/a,n/a,0.0,0,1.0,30,0.119498825371966,1.0,0,39371,n/a,30,0,0.119498825371966
n/a,n/a,n/a,la_informacion,n/a,n/a,0.0,n/a,0.875,28,n/a,1.0,0,n/a,n/a,32,n/a,n/a
n/a,n/a,n/a,BestNewsChannel,n/a,n/a,n/a,n/a,n/a,"",n/a,n/a,"",n/a,n/a,n/a,n/a,n/a
n/a,0.0700600365439833,2009-02-28 08:31:32,AlArabiya_Eng,n/a,n/a,0.0,0,0.666666666666667,16,0.0957452362307492,1.0,0,3659,n/a,24,0,0.0957452362307492
n/a,0.0827721221613156,2009-04-26 07:56:24,DailyNewsEgypt,n/a,n/a,0.0,0,1.0,4,0.120725659096842,1.0,0,8486,n/a,4,0,0.120725659096842
0.666666666666667,0.206525711302532,2009-05-24 10:56:31,Shorouk_News,1.0,3,0.0,0,0.652173913043478,15,0.191177238318977,1.0,0,25609,0.0,23,0,0.191177238318977
n/a,0.984964761158966,2009-04-30 10:59:09,AlMasryAlYoum_E,n/a,n/a,0.0,23,0.85,17,0.984964761158966,1.0,0,5304,n/a,20,6007,0.984964761158966
n/a,0.209449229966066,2010-11-04 12:46:28,ahramonline,n/a,n/a,0.0,0,0.478260869565217,11,0.194100756982511,1.0,0,859,n/a,23,0,0.194100756982511
n/a,0.991986426520491,2007-12-18 23:56:22,arabist,n/a,n/a,n/a,448,n/a,"",0.991986426520491,n/a,"",6126,n/a,n/a,10452,0.991986426520491
n/a,0.209475332811276,2009-09-15 13:26:55,BikyaMasr,n/a,n/a,n/a,0,n/a,"",0.194126859827721,n/a,"",7886,n/a,n/a,0,0.194126859827721
