relevant_total,followers_count,irrelevant_percent_user_gets_retweeted,statuses_percentile,followers_percentile,irrelevant_percent_original_tweets,created_at,relevant_percent_user_retweets,screen_name,irrelevant_total,relevant_percent_user_gets_retweeted,friends_count,relevant_percent_original_tweets,friends_percentile,irrelevant_percent_user_retweets,statuses_count
67,9644,0.947368421052632,0.991978609625668,0.991978162776447,0.962406015037594,2009-02-23 18:08:56,0.0149253731343284,Evanchill,133,0.985074626865672,143,0.985074626865672,0.991978162776447,0.037593984962406,1908
67,9644,0.947368421052632,0.991978609625668,0.991978162776447,0.962406015037594,2009-02-23 18:08:56,0.0149253731343284,Evanchill,133,0.985074626865672,143,0.985074626865672,0.991978162776447,0.037593984962406,1908
141,12808,0.423728813559322,0.994011809269162,0.994011475683806,0.983050847457627,2010-10-12 13:20:38,0.0,Dima_Khatib,59,0.957446808510638,525,1.0,0.994011475683806,0.0169491525423729,12320
11,n/a,0.319148936170213,n/a,n/a,0.819148936170213,n/a,0.363636363636364,ajimran,188,0.454545454545455,n/a,0.636363636363636,n/a,0.180851063829787,n/a
88,0,0.580357142857143,0.0731394830659536,0.0273800902456688,0.866071428571429,2009-03-10 13:00:00,0.0,AymanM,112,0.988636363636364,0,1.0,0.0731435574619799,0.133928571428571,1100
41,18270,0.805031446540881,0.995738636363636,0.995738398974988,0.911949685534591,2009-11-25 15:35:26,0.0731707317073171,nolanjazeera,159,0.926829268292683,163,0.926829268292683,0.995738398974988,0.0880503144654088,1162
11,n/a,0.333333333333333,n/a,n/a,0.782051282051282,n/a,0.545454545454545,Marwa_Alasar,78,0.181818181818182,n/a,0.454545454545455,n/a,0.217948717948718,n/a
1,0,0.49748743718593,0.0923573975044564,0.060470168792825,0.974874371859296,2010-10-21 20:39:10,0.0,RawyaRageh,199,1.0,0,1.0,0.0923625424767422,0.0251256281407035,329
85,8685,0.660869565217391,0.99105949197861,0.991058993927915,0.756521739130435,2009-03-16 09:31:14,0.0705882352941176,SherineT,115,0.917647058823529,169,0.929411764705882,0.991058993927915,0.243478260869565,1134
"",1784,"",0.940201648841355,0.940226171243942,"",2010-08-26 18:29:19,"",adamakary,"","",41,"",0.940198317642471,"",522
