relevant_total,followers_count,irrelevant_percent_user_gets_retweeted,statuses_percentile,followers_percentile,irrelevant_percent_original_tweets,created_at,relevant_percent_user_retweets,screen_name,irrelevant_total,relevant_percent_user_gets_retweeted,friends_count,relevant_percent_original_tweets,friends_percentile,irrelevant_percent_user_retweets,statuses_count
52,157243,0.912162162162162,0.999303698752228,0.999303659963233,0.912162162162162,2007-04-17 08:23:08,0.0769230769230769,AJEnglish,148,0.903846153846154,58,0.923076923076923,0.999303659963233,0.0878378378378378,30622
52,157243,0.912162162162162,0.999303698752228,0.999303659963233,0.912162162162162,2007-04-17 08:23:08,0.0769230769230769,AJEnglish,148,0.903846153846154,58,0.923076923076923,0.999303659963233,0.0878378378378378,30622
41,33913,0.723270440251572,0.997632575757576,0.997632443874993,0.723270440251572,2008-12-28 08:02:32,0.48780487804878,AJELive,159,0.51219512195122,32,0.51219512195122,0.997632443874993,0.276729559748428,1376
168,0,0.96875,0.241170900178253,0.257924349618406,1.0,2007-04-26 19:33:12,0.0,AJArabic,32,0.994047619047619,0,1.0,0.241184335134533,0.0,50783
8,n/a,0.41304347826087,n/a,n/a,0.978260869565217,n/a,0.0,AJNLive,46,0.375,n/a,1.0,n/a,0.0217391304347826,n/a
172,4664,0.964285714285714,0.98086564171123,0.98086457578965,1.0,2007-07-30 20:51:45,0.0,AJTalk,28,0.982558139534884,33,1.0,0.98086457578965,0.0,5868
168,0,0.96875,0.241170900178253,0.257924349618406,1.0,2007-04-26 19:33:12,0.0,ajarabic,32,0.994047619047619,0,1.0,0.241184335134533,0.0,50783
24,n/a,0.840909090909091,n/a,n/a,0.977272727272727,n/a,0.0416666666666667,guardian,176,0.833333333333333,n/a,0.958333333333333,n/a,0.0227272727272727,n/a
43,8760,0.866242038216561,0.991143048128342,0.991142554732327,0.923566878980892,2010-06-17 14:24:57,0.0232558139534884,guardian_world,157,0.976744186046512,177,0.976744186046512,0.991142554732327,0.0764331210191083,1771
0,n/a,0.965,n/a,n/a,1.0,n/a,NaN,guardiannews,200,NaN,n/a,NaN,n/a,0.0,n/a
0,0,0.99,0.0231729055258467,0.0946465377973372,1.0,2007-02-01 07:44:29,NaN,BBCWorld,200,NaN,0,NaN,0.0231741964235975,0.0,75403
4,n/a,0.994897959183674,n/a,n/a,0.994897959183674,n/a,0.0,BBCBreaking,196,1.0,n/a,1.0,n/a,0.00510204081632653,n/a
15,n/a,0.891891891891892,n/a,n/a,0.908108108108108,n/a,0.0,r4today,185,1.0,n/a,1.0,n/a,0.0918918918918919,n/a
1,n/a,0.5678391959799,n/a,n/a,0.678391959798995,n/a,0.0,BBCNewsnight,199,1.0,n/a,1.0,n/a,0.321608040201005,n/a
2,n/a,0.277777777777778,n/a,n/a,0.984848484848485,n/a,0.0,BBC_HaveYourSay,198,0.0,n/a,1.0,n/a,0.0151515151515152,n/a
0,n/a,0.665,n/a,n/a,1.0,n/a,NaN,WSJMidEast,200,NaN,n/a,NaN,n/a,0.0,n/a
0,n/a,0.91,n/a,n/a,0.98,n/a,NaN,WSJ,200,NaN,n/a,NaN,n/a,0.02,n/a
2,303672,0.974747474747475,0.999610071301248,0.999610049579411,0.984848484848485,2007-03-27 11:19:39,0.0,washingtonpost,198,1.0,7214,1.0,0.999610049579411,0.0151515151515152,22244
1,n/a,0.994974874371859,n/a,n/a,0.994974874371859,n/a,0.0,cnn,199,1.0,n/a,1.0,n/a,0.0050251256281407,n/a
7,n/a,0.927461139896373,n/a,n/a,0.937823834196891,n/a,0.142857142857143,cnni,193,0.857142857142857,n/a,0.857142857142857,n/a,0.0621761658031088,n/a
8,3762815,0.723958333333333,1.0,1.0,0.723958333333333,2007-01-02 01:48:14,1.0,cnnbrk,192,0.0,28,0.0,1.0,0.276041666666667,7394
4,8558,0.448979591836735,0.99075311942959,0.990752604311738,0.775510204081633,2009-09-03 20:21:30,0.25,cnnpr,196,0.5,249,0.75,0.990752604311738,0.224489795918367,2232
4,n/a,0.964285714285714,n/a,n/a,0.989795918367347,n/a,0.0,cnnlive,196,1.0,n/a,1.0,n/a,0.0102040816326531,n/a
5,n/a,0.943589743589744,n/a,n/a,0.953846153846154,n/a,0.0,CNNee,195,1.0,n/a,1.0,n/a,0.0461538461538462,n/a
"",75743,"",0.998746657754011,0.99874658793382,"",2007-10-20 20:14:41,"",CNN_Newsroom,"","",841,"",0.99874658793382,"",3112
"",n/a,"",n/a,n/a,"",n/a,"",PoliticalTicker,"","",n/a,"",n/a,"",n/a
2,n/a,0.808080808080808,n/a,n/a,0.888888888888889,n/a,1.0,PiersTonight,198,0.0,n/a,0.0,n/a,0.111111111111111,n/a
18,n/a,0.736263736263736,n/a,n/a,0.923076923076923,n/a,0.166666666666667,iDeskCNN,182,0.777777777777778,n/a,0.833333333333333,n/a,0.0769230769230769,n/a
12,n/a,0.765957446808511,n/a,n/a,0.824468085106383,n/a,0.666666666666667,natlsecuritycnn,188,0.333333333333333,n/a,0.333333333333333,n/a,0.175531914893617,n/a
6,20787,0.365979381443299,0.996239973262032,0.99623976380146,0.788659793814433,2009-03-05 18:49:43,0.166666666666667,cnnAM,194,0.333333333333333,182,0.833333333333333,0.99623976380146,0.211340206185567,5119
0,n/a,0.4,n/a,n/a,0.975,n/a,NaN,CNNsotu,200,NaN,n/a,NaN,n/a,0.025,n/a
5,9412,0.230769230769231,0.991783645276292,0.991783187566152,0.666666666666667,2007-12-10 14:29:26,0.0,BackStory,195,0.4,2698,1.0,0.991783187566152,0.333333333333333,4477
15,0,1.0,0.0803531639928698,0.0484652665589661,1.0,2008-04-03 13:54:30,0.0,time,185,1.0,0,1.0,0.0803576402428834,0.0,19202
29,0,0.912280701754386,0.116895053475936,0.117876441423876,0.912280701754386,2008-04-24 14:07:28,0.206896551724138,huffingtonpost,171,0.793103448275862,0,0.793103448275862,0.116901565372403,0.087719298245614,46120
3,2888270,0.99492385786802,0.999972147950089,0.999972146398529,0.99492385786802,2007-03-02 20:41:42,0.0,NYTimes,197,1.0,191,1.0,0.999972146398529,0.0050761421319797,58175
"",0,"",0.055676247771836,0.0809704194752382,"",2007-03-22 13:59:49,"",nytimesworld,"","",0,"",0.0556793493398696,"",39399
0,n/a,0.525,n/a,n/a,1.0,n/a,NaN,nytimespolitics,200,NaN,n/a,NaN,n/a,0.0,n/a
0,n/a,0.855,n/a,n/a,1.0,n/a,NaN,thelede,200,NaN,n/a,NaN,n/a,0.0,n/a
25,0,0.862857142857143,0.0365975935828877,0.0307225224221492,0.885714285714286,2008-06-05 00:54:31,0.04,CBSNews,175,0.96,0,0.96,0.0365996323324606,0.114285714285714,14220
16,0,0.923913043478261,0.0735572638146168,0.0277978942677288,0.945652173913043,2009-04-04 12:40:32,0.0,ABC,184,1.0,0,1.0,0.0735613614840399,0.0543478260869565,23103
3,n/a,0.543147208121827,n/a,n/a,0.761421319796954,n/a,0.0,ABCWorldNews,197,1.0,n/a,1.0,n/a,0.238578680203046,n/a
"",n/a,"",n/a,n/a,"",n/a,"",ABCNewsNews,"","",n/a,"",n/a,"",n/a
4,0,0.908163265306122,0.203877005347594,0.222383154141831,0.928571428571429,2007-03-29 02:15:36,0.0,ABCNews,196,1.0,0,1.0,0.203888362765306,0.0714285714285714,72650
1,n/a,0.618090452261307,n/a,n/a,0.673366834170854,n/a,1.0,Nightline,199,0.0,n/a,0.0,n/a,0.326633165829146,n/a
1,n/a,0.92964824120603,n/a,n/a,0.949748743718593,n/a,0.0,TheDailyShow,199,1.0,n/a,1.0,n/a,0.050251256281407,n/a
3,2090375,0.873096446700508,0.999944295900178,0.999944292797059,0.873096446700508,2007-05-13 23:06:45,1.0,BreakingNews,197,0.0,312,0.0,0.999944292797059,0.126903553299492,45662
0,0,1.0,0.239611185383244,0.256364547936048,1.0,2007-03-20 17:46:05,NaN,reuters,200,NaN,0,NaN,0.239624533452175,0.0,39371
7,n/a,0.849740932642487,n/a,n/a,0.989637305699482,n/a,0.0,la_informacion,193,0.571428571428571,n/a,1.0,n/a,0.0103626943005181,n/a
