screen_name,relevant_total,irrelevant_total,friends_count,friends_percentile,followers_count,followers_percentile,statuses_count,statuses_percentile,created_at,relevant_user_gets_retweeted,relevant_user_retweets,relevant_percent_user_gets_retweeted,relevant_percent_user_retweets,irrelevant_user_gets_retweeted,irrelevant_user_retweets,irrelevant_percent_user_gets_retweeted,irrelevant_percent_user_retweets
AliAldafiri,56,580,82,0.989396014668846,7291,0.989396014668846,2360,0.989396014668846,2009-07-01 00:18:13,50,0,0.892857142857143,0.0,116,0,0.2,0.0
SBZ_news,340,1509,7,0.952944815093006,2148,0.952944815093006,3905,0.952944815093006,2010-12-27 11:17:36,281,0,0.826470588235294,0.0,890,0,0.589794565937707,0.0
Emnabenjemaa,12,839,458,0.973490036672116,3386,0.973490036672116,9975,0.973490036672116,2009-05-10 18:33:20,12,0,1.0,0.0,410,0,0.488676996424315,0.0
ibnkafka,780,1692,1919,0.962046569168913,2543,0.962046569168913,30110,0.962046569168913,2008-03-29 12:40:21,641,0,0.821794871794872,0.0,1362,0,0.804964539007092,0.0
HendSabry,5,73,272,0.983696372553351,5107,0.983696372553351,748,0.983696372553351,2009-06-16 22:51:44,5,0,1.0,0.0,50,0,0.684931506849315,0.0
ayman_nour,4,225,1557,0.99169354482393,8969,0.99169354482393,2202,0.99169354482393,2009-10-08 16:32:44,2,0,0.5,0.0,145,0,0.644444444444444,0.0
balooot,12,777,89,0.987628683780321,6565,0.987628683780321,10747,0.987628683780321,2010-08-18 02:34:43,12,0,1.0,0.0,259,0,0.333333333333333,0.0
benmhennilina,133,269,417,0.957318959042107,2337,0.957318959042107,11091,0.957318959042107,2010-04-08 11:32:05,92,0,0.691729323308271,0.0,95,0,0.353159851301115,0.0
alahmarim,2,37,112,0.981929041664826,4706,0.981929041664826,1016,0.981929041664826,2010-01-15 07:28:52,2,0,1.0,0.0,29,0,0.783783783783784,0.0
Almatrafi,4,998,48,0.980250077320726,4440,0.980250077320726,5986,0.980250077320726,2009-08-15 23:07:28,4,0,1.0,0.0,430,0,0.430861723446894,0.0
alzaid,1,620,1041,0.983431272920072,5034,0.983431272920072,18125,0.983431272920072,2008-04-23 09:56:48,1,0,1.0,0.0,115,0,0.185483870967742,0.0
souihli,82,99,1949,0.930499712808731,1551,0.930499712808731,9752,0.930499712808731,2009-01-10 09:34:08,39,0,0.475609756097561,0.0,17,0,0.171717171717172,0.0
Saudiwoman,11,200,626,0.979012945698758,4206,0.979012945698758,2809,0.979012945698758,2009-08-31 04:01:28,11,0,1.0,0.0,122,0,0.61,0.0
iDhooom,35,846,1573,0.936906287279636,1676,0.936906287279636,36285,0.936906287279636,2010-06-01 18:03:31,26,0,0.742857142857143,0.0,279,0,0.329787234042553,0.0
Hisham_G,168,580,1799,0.956214377236778,2279,0.956214377236778,12008,0.956214377236778,2009-03-29 19:11:10,91,0,0.541666666666667,0.0,272,0,0.468965517241379,0.0
