screen_name,user_type,text,created_at,originator,replied_to
Niketa,normal_user,RT @twitterglobalpr: We can confirm that Twitter was blocked in #Egypt around 8am PT today. It is impacting both Twitter.com & apps (1/2),2011-01-25 16:44:09,true,twitterglobalpr
mrjaimisra,normal_user,RT @twitterglobalpr: We can confirm that Twitter was blocked in Egypt around 8am PT today. It is impacting both Twitter.com & applicatio ...,2011-01-25 16:46:13,false,twitterglobalpr
bitbckt,normal_user,RT @twitterglobalpr: We can confirm that Twitter was blocked in Egypt around 8am PT today. It is impacting both Twitter.com & applicatio ...,2011-01-25 16:46:12,false,twitterglobalpr
ladyallein1,normal_user,RT @twitterglobalpr: We can confirm that Twitter was blocked in Egypt around 8am PT today. It is impacting both Twitter.com & applicatio ...,2011-01-25 16:46:10,false,twitterglobalpr
MilleAudi,normal_user,RT @twitterglobalpr: We can confirm that Twitter was blocked in Egypt around 8am PT today. It is impacting both Twitter.com & applicatio ...,2011-01-25 16:46:10,false,n/a
ceezedby,normal_user,RT @seanbonner: RT @twitterglobalpr: We can confirm that Twitter was blocked in Egypt around 8am PT today. It is impacting both Twitter. ...,2011-01-25 16:46:05,false,seanbonner
parissummer,normal_user,RT @twitterglobalpr: We can confirm that Twitter was blocked in Egypt around 8am PT today. It is impacting both Twitter.com & applicatio ...,2011-01-25 16:45:34,false,n/a
veritaz,normal_user,RT @twitterglobalpr: We can confirm that Twitter was blocked in Egypt around 8am PT today. It is impacting both Twitter.com & applicatio ...,2011-01-25 16:45:28,false,twitterglobalpr
cjlambert,normal_user,RT @twitterglobalpr: We can confirm that Twitter was blocked in Egypt around 8am PT today. It is impacting both Twitter.com & applicatio ...,2011-01-25 16:45:28,false,n/a
joelwhitaker,normal_user,RT @twitterglobalpr: We can confirm that Twitter was blocked in Egypt around 8am PT today. It is impacting both Twitter.com & applicatio ...,2011-01-25 16:45:23,false,twitterglobalpr
kungfupussy,normal_user,RT @seanbonner: RT @twitterglobalpr: We can confirm that Twitter was blocked in Egypt around 8am PT today. It is impacting both Twitter. ...,2011-01-25 16:45:22,false,seanbonner
lsaldanamd,normal_user,RT @twitterglobalpr: We can confirm that Twitter was blocked in Egypt around 8am PT today. It is impacting both Twitter.com & applicatio ...,2011-01-25 16:52:11,false,twitterglobalpr
ReemAbdellatif,normal_user,RT @twitterglobalpr: We can confirm that Twitter was blocked in Egypt around 8am PT today. It is impacting both Twitter.com & applicatio ...,2011-01-25 16:52:10,false,n/a
LabrishJamaica,normal_user,RT @xenijardin: RT @twitterglobalpr: We can confirm that Twitter was blocked in Egypt around 8am PT today. It is impacting both Twitter. ...,2011-01-25 16:52:08,false,xenijardin
blakehounshell,2,RT @twitterglobalpr: We can confirm that Twitter was blocked in Egypt around 8am PT today. It is impacting both Twitter.com & applicatio ...,2011-01-25 16:52:03,false,twitterglobalpr
Gangelakis,normal_user,RT @twitterglobalpr: We can confirm that Twitter was blocked in Egypt around 8am PT today. It is impacting both Twitter.com & applicatio ...,2011-01-25 16:51:58,false,twitterglobalpr
Zetourist,normal_user,RT @twitterglobalpr: We can confirm that Twitter was blocked in Egypt around 8am PT today. It is impacting both Twitter.com & applicatio ...,2011-01-25 16:51:44,false,twitterglobalpr
wmjohn,normal_user,RT @twitterglobalpr: We can confirm that Twitter was blocked in Egypt around 8am PT today. It is impacting both Twitter.com & applicatio ...,2011-01-25 16:51:43,false,twitterglobalpr
iDhooom,3,RT @twitterglobalpr: We can confirm that Twitter was blocked in Egypt around 8am PT today. It is impacting both Twitter.com & applicatio ...,2011-01-25 16:51:39,false,twitterglobalpr
grapple9,normal_user,RT @twitterglobalpr: We can confirm that Twitter was blocked in Egypt around 8am PT today. It is impacting both Twitter.com & applicatio ...,2011-01-25 16:51:38,false,twitterglobalpr
ReyFitzgerald,normal_user,RT @twitterglobalpr: We can confirm that Twitter was blocked in Egypt around 8am PT today. It is impacting both Twitter.com & applicatio ...,2011-01-25 16:51:28,false,twitterglobalpr
rawmeet,normal_user,RT @twitterglobalpr: We can confirm that Twitter was blocked in Egypt around 8am PT today. It is impacting both Twitter.com & applicatio ...,2011-01-25 16:51:24,false,twitterglobalpr
sal286,normal_user,RT @twitterglobalpr: We can confirm that Twitter was blocked in Egypt around 8am PT today. It is impacting both Twitter.com & applicatio ...,2011-01-25 16:51:23,false,n/a
txhoudini,normal_user,RT @twitterglobalpr: We can confirm that Twitter was blocked in Egypt around 8am PT today. It is impacting both Twitter.com & applicatio ...,2011-01-25 16:55:06,false,twitterglobalpr
