screen_name,user_type,text,created_at,originator,replied_to
LB2S,normal_user,RT @BreakingNews: 3 private jets leave Cairo airport under heavy security; #Egypt parliament speaker to make major announcement - NBC #Jan25,2011-01-28 13:44:51,true,BreakingNews
nisaa,normal_user,RT @BreakingNews 3 private jets leave Cairo airport under heavy security; #Egypt parliament speaker to make major announcement - NBC #Jan25,2011-01-28 13:44:51,false,BreakingNews
TomRaftery,normal_user,RT @BreakingNews: 3 private jets leave Cairo airport under heavy security; #Egypt parliament speaker to make major announcement - NBC #Jan25,2011-01-28 13:44:45,false,BreakingNews
Wordydiva,normal_user,RT @BreakingNews: 3 private jets leave Cairo airport under heavy security; #Egypt parliament speaker to make major announcement - NBC #Jan25,2011-01-28 13:44:43,false,BreakingNews
wikichipi,normal_user,RT @BreakingNews: 3 private jets leave Cairo airport under heavy security; #Egypt parliament speaker to make major announcement - NBC #Jan25,2011-01-28 13:44:42,false,BreakingNews
pacificbrewnews,normal_user,RT @BreakingNews: 3 private jets leave Cairo airport under heavy security; #Egypt parliament speaker to make major announcement - NBC #Jan25,2011-01-28 13:44:42,false,BreakingNews
HelleKlein,normal_user,RT @BreakingNews: 3 private jets leave Cairo airport under heavy security; #Egypt parliament speaker to make major announcement - NBC #Jan25,2011-01-28 13:44:40,false,BreakingNews
bralts,normal_user,RT @BreakingNews: 3 private jets leave Cairo airport under heavy security; #Egypt parliament speaker to make major announcement - NBC #Jan25,2011-01-28 13:44:30,false,BreakingNews
corcoran310,normal_user,"RT @carney: Whoa! ""3 private jets leave Cairo airport under heavy security; #Egypt parliament speaker to make major announcement - NBC""",2011-01-28 13:44:30,false,n/a
marsax,normal_user,RT @BreakingNews: 3 private jets leave Cairo airport under heavy security; #Egypt parliament speaker to make major announcement - NBC #Jan25,2011-01-28 13:44:28,false,BreakingNews
Crimson_Cougar,normal_user,RT @BreakingNews: 3 private jets leave Cairo airport under heavy security; #Egypt parliament speaker to make major announcement - NBC #Jan25,2011-01-28 13:44:27,false,BreakingNews
Emnabenjemaa,3,RT @BreakingNews 3 private jets leave Cairo airport under heavy security; #Egypt parliament speaker to make major announcement - NBC #Jan25,2011-01-28 13:44:26,false,BreakingNews
lars_akerhaug,normal_user,3 private jets leave Cairo airport under heavy security; #Egypt parliament speaker to make major announcement - NBC #Jan25,2011-01-28 13:44:21,false,n/a
LoLornaMarie,normal_user,RT @BreakingNews: 3 private jets leave Cairo airport under heavy security; #Egypt parliament speaker to make major announcement - NBC #Jan25,2011-01-28 13:44:19,false,BreakingNews
davidtc,normal_user,RT @breakingnews: 3 private jets leave Cairo airport under heavy security; #Egypt parliament speaker to make major announcement - NBC #Jan25,2011-01-28 13:44:18,false,BreakingNews
thirdlanguage,normal_user,RT @BreakingNews: 3 private jets leave Cairo airport under heavy security; #Egypt parliament speaker to make major announcement - NBC #Jan25,2011-01-28 13:44:14,false,BreakingNews
DavidSchober,normal_user,RT @BreakingNews: 3 private jets leave Cairo airport under heavy security; #Egypt parliament speaker to make major announcement - NBC #Jan25,2011-01-28 13:44:14,false,BreakingNews
CornoDiBassetto,normal_user,RT @BreakingNews: 3 private jets leave Cairo airport under heavy security; #Egypt parliament speaker to make major announcement - NBC #Jan25,2011-01-28 13:44:12,false,BreakingNews
tylerlin,normal_user,RT @BreakingNews: 3 private jets leave Cairo airport under heavy security; #Egypt parliament speaker to make major announcement - NBC #Jan25,2011-01-28 13:44:09,false,BreakingNews
cailinAolain,normal_user,RT @BreakingNews: 3 private jets leave Cairo airport under heavy security; #Egypt parliament speaker to make major announcement - NBC #Jan25,2011-01-28 13:44:04,false,BreakingNews
TorstenBeeck,normal_user,RT @BreakingNews: 3 private jets leave Cairo airport under heavy security; #Egypt parliament speaker to make major announcement - NBC #Jan25,2011-01-28 13:44:03,false,BreakingNews
vleonel,normal_user,RT @BreakingNews: 3 private jets leave Cairo airport under heavy security; #Egypt parliament speaker to make major announcement - NBC #Jan25,2011-01-28 13:44:02,false,BreakingNews
Linkin_Earth,normal_user,RT @BreakingNews: 3 private jets leave Cairo airport under heavy security; #Egypt parliament speaker to make major announcement - NBC #Jan25,2011-01-28 13:47:12,false,n/a
MRB86,normal_user,RT @BreakingNews: 3 private jets leave Cairo airport under heavy security; #Egypt parliament speaker to make major announcement - NBC #Jan25,2011-01-28 13:47:12,false,BreakingNews
AndreaWoo,normal_user,RT @BreakingNews: 3 private jets leave Cairo airport under heavy security; #Egypt parliament speaker to make major announcement - NBC #Jan25,2011-01-28 13:47:12,false,BreakingNews
H_Shouli,normal_user,RT @BreakingNews: 3 private jets leave Cairo airport under heavy security; #Egypt parliament speaker to make major announcement - NBC #Jan25,2011-01-28 13:47:12,false,n/a
tmwsiy,normal_user,RT @BreakingNews 3 private jets leave Cairo airport under heavy security; #Egypt parliament speaker to make major announcement - NBC #Jan25,2011-01-28 13:47:11,false,BreakingNews
amazi3,normal_user,RT @BreakingNews: 3 private jets leave Cairo airport under heavy security; #Egypt parliament speaker to make major announcement - NBC #Jan25,2011-01-28 13:47:11,false,BreakingNews
Rachael_Davis,normal_user,@BreakingNews: 3 private jets leave Cairo airport under heavy security; #Egypt parliament speaker to make major announcement - NBC #Jan25,2011-01-28 13:47:11,false,BreakingNews
CastanCentre,normal_user,RT @BreakingNews: 3 private jets leave Cairo airport under heavy security; #Egypt parliament speaker to make major announcement - NBC #Jan25,2011-01-28 13:47:09,false,BreakingNews
AfrikaWinslet,normal_user,RT @BreakingNews: 3 private jets leave Cairo airport under heavy security; #Egypt parliament speaker to make major announcement - NBC #Jan25,2011-01-28 13:47:08,false,BreakingNews
DancerofSpook,normal_user,RT @BreakingNews: 3 private jets leave Cairo airport under heavy security; #Egypt parliament speaker to make major announcement - NBC #Jan25,2011-01-28 13:47:08,false,BreakingNews
btruono,normal_user,RT @BreakingNews: 3 private jets leave Cairo airport under heavy security; #Egypt parliament speaker to make major announcement - NBC #Jan25,2011-01-28 13:46:45,false,BreakingNews
FLNewsCenter,normal_user,RT @BreakingNews: 3 private jets leave Cairo airport under heavy security; #Egypt parliament speaker to make major announcement - NBC #Jan25,2011-01-28 13:46:43,false,BreakingNews
tommymiles,normal_user,RT @BreakingNews: 3 private jets leave Cairo airport under heavy security; #Egypt parliament speaker to make major announcement - NBC #Jan25,2011-01-28 13:46:40,false,BreakingNews
thespindleshay,normal_user,RT @BreakingNews: 3 private jets leave Cairo airport under heavy security; #Egypt parliament speaker to make major announcement - NBC #Jan25,2011-01-28 13:46:37,false,BreakingNews
NiceBastard,normal_user,RT @BreakingNews: 3 private jets leave Cairo airport under heavy security; #Egypt parliament speaker to make major announcement - NBC #Jan25,2011-01-28 13:46:34,false,BreakingNews
letoams,normal_user,RT @BreakingNews: 3 private jets leave Cairo airport under heavy security; #Egypt parliament speaker to make major announcement - NBC #Jan25,2011-01-28 13:46:32,false,BreakingNews
david_o_connell,normal_user,RT @BreakingNews: 3 private jets leave Cairo airport under heavy security; #Egypt parliament speaker to make major announcement - NBC #Jan25,2011-01-28 13:46:32,false,BreakingNews
Bluemoon82,normal_user,RT @BreakingNews: 3 private jets leave Cairo airport under heavy security; #Egypt parliament speaker to make major announcement - NBC #Jan25,2011-01-28 13:46:30,false,BreakingNews
RabZsz,normal_user,RT @BreakingNews: 3 private jets leave Cairo airport under heavy security; #Egypt parliament speaker to make major announcement - NBC #Jan25,2011-01-28 13:46:29,false,BreakingNews
mandywarhol,normal_user,RT @BreakingNews: 3 private jets leave Cairo airport under heavy security; #Egypt parliament speaker to make major announcement - NBC #Jan25,2011-01-28 13:49:45,false,BreakingNews
alexlobov,normal_user,RT @lars_akerhaug: 3 private jets leave Cairo airport under heavy security; #Egypt parliament speaker to make major announcement - NBC # ...,2011-01-28 13:49:42,false,lars_akerhaug
mikecane,normal_user,RT @BreakingNews: 3 private jets leave Cairo airport under heavy security; #Egypt parliament speaker to make major announcement - NBC #Jan25,2011-01-28 13:49:42,false,BreakingNews
HanneLK,normal_user,RT @BreakingNews: 3 private jets leave Cairo airport under heavy security; #Egypt parliament speaker to make major announcement - NBC #Jan25,2011-01-28 13:49:38,false,BreakingNews
