screen_name,user_type,text,created_at,originator,replied_to
sadymay3,normal_user,RT @time: Egypt is about to have a Facebook revolution | http://ti.me/fKCday,2011-01-24 16:11:31,true,n/a
o_salem,normal_user,Egypt is about to have a Facebook revolution http://ti.me/fKCday :D (via @TIME) #egypt #facebook #revolution #25jan,2011-01-24 15:41:06,false,n/a
JP_O,normal_user,RT @TIME: Egypt is about to have a Facebook revolution | http://ti.me/fKCday,2011-01-24 15:41:06,false,n/a
marucozy,normal_user,A revolution from Facebook. RT @TIME: Egypt is about to have a Facebook revolution | http://ti.me/fKCday,2011-01-24 15:41:15,false,n/a
NouWahby,normal_user,RT @TIME: Egypt is about to have a Facebook revolution | http://ti.me/fKCday,2011-01-24 15:41:19,false,TIME
whatever2013,normal_user,RT @TIME: Egypt is about to have a Facebook revolution | http://ti.me/fKCday,2011-01-24 15:41:37,false,TIME
caddytiwa,normal_user,RT @TIME: Egypt is about to have a Facebook revolution | http://ti.me/fKCday,2011-01-24 15:41:44,false,TIME
aatkco,normal_user,RT @o_salem: Egypt is about to have a Facebook revolution http://ti.me/fKCday :D (via @TIME) #egypt #facebook #revolution #25jan,2011-01-24 15:41:52,false,o_salem
ABLEKash,normal_user,RT @TIME: Egypt is about to have a Facebook revolution | http://ti.me/fKCday,2011-01-24 15:41:55,false,TIME
DMaxSamson,normal_user,Is Egypt About to Have a Facebook Revolution? http://t.co/fqZv1qt via @TIME,2011-01-24 15:41:55,false,n/a
WPGreenBus,normal_user,RT @TIME: Egypt is about to have a Facebook revolution | http://ti.me/fKCday,2011-01-24 15:42:18,false,TIME
lauren_elizab,normal_user,RT @TIME: Egypt is about to have a Facebook revolution | http://ti.me/fKCday,2011-01-24 15:42:19,false,TIME
HeyJairus,normal_user,RT @TIME: Egypt is about to have a Facebook revolution | http://ti.me/fKCday,2011-01-24 15:42:21,false,TIME
TamerMarzouk,normal_user,RT @TIME: Egypt is about to have a Facebook revolution | http://ti.me/fKCday,2011-01-24 15:42:36,false,TIME
radixhidayat,normal_user,"Watch it, Mubarak! RT @TIME Egypt is about to have a Facebook revolution | http://ti.me/fKCday",2011-01-24 15:42:51,false,n/a
jero_esq,normal_user,RT @TIME: Egypt is about to have a Facebook revolution | http://ti.me/fKCday,2011-01-24 15:43:13,false,n/a
IhsanunuXtreme,normal_user,RT @TIME: Egypt is about to have a Facebook revolution | http://ti.me/fKCday,2011-01-24 15:43:14,false,TIME
bartoccig,normal_user,RT @TIME: Egypt is about to have a Facebook revolution | http://ti.me/fKCday,2011-01-24 15:43:24,false,TIME
9ege,normal_user,RT @TIME Egypt is about to have a Facebook revolution | http://ti.me/fKCday,2011-01-24 15:43:28,false,TIME
allicblog,normal_user,RT @TIME: Egypt is about to have a #Facebook revolution | http://ti.me/fKCday,2011-01-24 15:43:49,false,TIME
a5imkhan,normal_user,Is Egypt About to Have a Facebook Revolution? http://t.co/i0pcpmO via @TIME,2011-01-24 15:43:57,false,n/a
hafidz_ariff,normal_user,RT @TIME: Egypt is about to have a Facebook revolution | http://ti.me/fKCday,2011-01-24 15:44:14,false,TIME
Sam7rocks,normal_user,RT @TIME: Egypt is about to have a Facebook revolution | http://ti.me/fKCday,2011-01-24 15:44:29,false,TIME
mar_bolz,normal_user,RT @TIME: Egypt is about to have a Facebook revolution | http://ti.me/fKCday,2011-01-24 15:45:01,false,n/a
NooraMuharraqi,normal_user,RT @TIME: Egypt is about to have a Facebook revolution | http://ti.me/fKCday,2011-01-24 15:45:56,false,TIME
claulopezgarzon,normal_user,RT @TIME: Egypt is about to have a Facebook revolution | http://ti.me/fKCday,2011-01-24 15:45:57,false,TIME
racheljo,normal_user,Is Egypt About to Have a Facebook Revolution? http://t.co/lfqlFi2 via @TIME,2011-01-24 15:46:05,false,n/a
mohamedahmos,normal_user,Is Egypt About to Have a Facebook Revolution? http://t.co/IbP4jib via @TIME #jan25 #Egypt,2011-01-24 15:49:55,false,n/a
esraa_ali,normal_user,RT @mohamedahmos: Is Egypt About to Have a Facebook Revolution? http://t.co/IbP4jib via @TIME #jan25 #Egypt,2011-01-24 15:52:06,false,mohamedahmos
echoisthename,normal_user,RT @TIME: Egypt is about to have a Facebook revolution | http://ti.me/fKCday,2011-01-24 15:52:34,false,TIME
_The_Scientist,normal_user,@TIME Egypt is about to have a Facebook revolution #25Jan #Jan25 #Egypt WAKE UP EGYPT,2011-01-24 15:53:57,false,TIME
DFMorrison,normal_user,RT @TIME: Egypt is about to have a Facebook revolution | http://ti.me/fKCday,2011-01-24 15:54:27,false,TIME
clearlydefine,normal_user,RT @TIME: Egypt is about to have a Facebook revolution | http://ti.me/fKCday,2011-01-24 15:54:47,false,TIME
TheHarrisWalker,normal_user,Uh-oh- watch out! RT @TIME: Egypt is about to have a Facebook revolution | http://ti.me/fKCday,2011-01-24 15:55:04,false,n/a
amrabdelkerim,normal_user,RT @TIME: Egypt is about to have a Facebook revolution | http://ti.me/fKCday,2011-01-24 15:55:19,false,TIME
FREETUNISIA14,normal_user,RT @o_salem: Egypt is about to have a Facebook revolution http://ti.me/fKCday :D (via @TIME) #egypt #facebook #revolution #25jan,2011-01-24 15:59:22,false,o_salem
crissyname,normal_user,RT @TIME: Egypt is about to have a Facebook revolution | http://ti.me/fKCday,2011-01-24 15:59:40,false,TIME
JawedOT,normal_user,RT:@FREETUNISIA14  Egypt is about to have a Facebook revolution http://ti.me/fKCday :D (via @TIME) #egypt #facebook #revolution #25jan,2011-01-24 15:59:58,false,FREETUNISIA14
