screen_name,user_type,text,created_at,originator,replied_to
bemartine,normal_user,RT @TIME: Arabs cheer on Tunisia rebels: Are they next in line for revolution? | http://su.pr/1HfxPV,2011-01-17 16:06:28,true,TIME
Gabriel_ahh,normal_user,RT @TIME: Arabs cheer on Tunisia rebels: Are they next in line for revolution? | http://su.pr/1HfxPV,2011-01-17 16:06:07,false,TIME
NatashaTynes,4,RT @TIME: Arabs cheer on Tunisia rebels: Are they next in line for revolution? | http://su.pr/1HfxPV,2011-01-17 16:05:44,false,TIME
AhmadAlalshaikh,normal_user,RT @TIME: Arabs cheer on Tunisia rebels: Are they next in line for revolution? | http://su.pr/1HfxPV,2011-01-17 16:05:21,false,TIME
azizhamdy,normal_user,RT @TIME: Arabs cheer on Tunisia rebels: Are they next in line for revolution? | http://su.pr/1HfxPV,2011-01-17 16:03:52,false,TIME
JoelGroninga,normal_user,RT @TIME: Arabs cheer on Tunisia rebels: Are they next in line for revolution? | http://su.pr/1HfxPV,2011-01-17 16:03:50,false,TIME
Emiroman,normal_user,RT @TIME: Arabs cheer on Tunisia rebels: Are they next in line for revolution? | http://su.pr/1HfxPV,2011-01-17 16:03:28,false,TIME
ismasanchez,normal_user,RT @TIME: Arabs cheer on Tunisia rebels: Are they next in line for revolution? | http://su.pr/1HfxPV,2011-01-17 16:03:26,false,TIME
juanita_cole1,normal_user,TIME: Arabs cheer on Tunisia rebels: Are they next in line for revolution? | http://su.pr/1HfxPV,2011-01-17 16:03:25,false,n/a
TheRealK5,normal_user,RT @TIME: Arabs cheer on Tunisia rebels: Are they next in line for revolution? | http://su.pr/1HfxPV,2011-01-17 16:11:24,false,TIME
InesInProg,normal_user,RT @TIME: Arabs cheer on Tunisia rebels: Are they next in line for revolution? | http://su.pr/1HfxPV,2011-01-17 16:10:52,false,TIME
habibidiana,normal_user,RT @TIME: Arabs cheer on Tunisia rebels: Are they next in line for revolution? | http://su.pr/1HfxPV,2011-01-17 16:10:46,false,TIME
partydie,normal_user,"Chian,when?RT @TIME: Arabs cheer on Tunisia rebels: Are they next in line for revolution? | http://su.pr/1HfxPV",2011-01-17 16:10:22,false,n/a
misschris_tine,normal_user,RT @TIME: Arabs cheer on Tunisia rebels: Are they next in line for revolution? | http://su.pr/1HfxPV,2011-01-17 16:10:19,false,TIME
DinaBasnaly,normal_user,RT @TIME: Arabs cheer on Tunisia rebels: Are they next in line for revolution? | http://su.pr/1HfxPV,2011-01-17 16:09:31,false,TIME
harvarddr,normal_user,RT @TIME: Arabs cheer on Tunisia rebels: Are they next in line for revolution? | http://su.pr/1HfxPV,2011-01-17 16:29:14,false,n/a
ABDUL___,normal_user,RT @TIME: Arabs cheer on Tunisia rebels: Are they next in line for revolution? | http://su.pr/1HfxPV,2011-01-17 16:38:57,false,TIME
lamzoke,normal_user,Surely! RT @TIME: Arabs cheer on Tunisia rebels: Are they next in line for revolution? | http://su.pr/1HfxPV,2011-01-17 16:37:20,false,n/a
rjdelgadom,normal_user,RT @TIME: Arabs cheer on Tunisia rebels: Are they next in line for revolution? | http://su.pr/1HfxPV,2011-01-17 16:36:04,false,TIME
Mi3raj,normal_user,RT @TIME: Arabs cheer on Tunisia rebels: Are they next in line for revolution? | http://su.pr/1HfxPV,2011-01-17 16:51:42,false,TIME
FieryCelticLass,normal_user,RT @TIME: Arabs cheer on Tunisia rebels: Are they next in line for revolution? | http://su.pr/1HfxPV,2011-01-17 17:01:49,false,TIME
Andrewkonichiwa,normal_user,RT @TIME: Arabs cheer on Tunisia rebels: Are they next in line for revolution? | http://su.pr/1HfxPV,2011-01-17 17:25:44,false,TIME
NGKrishn,normal_user,RT @TIME: Arabs cheer on Tunisia rebels: Are they next in line for revolution? | http://su.pr/1HfxPV,2011-01-17 17:28:59,false,TIME
jihadm,normal_user,RT @TIME: Arabs cheer on Tunisia rebels: Are they next in line for revolution? | http://su.pr/1HfxPV,2011-01-17 17:39:21,false,TIME
tariqal,normal_user,RT @TIME: Arabs cheer on Tunisia rebels: Are they next in line for revolution? | http://su.pr/1HfxPV,2011-01-17 17:34:01,false,TIME
yassirovich,normal_user,RT @time: Arabs cheer on Tunisia rebels: Are they next in line for revolution? | http://su.pr/1HfxPV,2011-01-17 18:42:17,false,n/a
buali13,normal_user,RT @TIME: Arabs cheer on Tunisia rebels: Are they next in line for revolution? | http://su.pr/1HfxPV,2011-01-17 22:19:31,false,TIME
