screen_name,user_type,text,created_at,originator,replied_to
elizterry,normal_user,"RT @adammynott: #Tunisia Drama in our hotel. Militia with clubs on 1st floor, me on the 5th, soldiers in the grounds.",2011-01-16 15:51:37,true,n/a
journodave,normal_user,"RT @adammynott: #Tunisia Drama in our hotel. Militia with clubs on 1st floor, me on the 5th, soldiers in the grounds.",2011-01-16 14:27:34,false,adammynott
snawsi,normal_user,"attackin reporters!! RT @adammynott  #Tunisia Drama in our hotel. Militia with clubs on 1st floor, me on the 5th, soldiers in the grounds.",2011-01-16 14:27:53,false,n/a
daraghmcg,normal_user,"RT @adammynott: #Tunisia Drama in our hotel. Militia with clubs on 1st floor, me on the 5th, soldiers in the grounds.",2011-01-16 14:28:09,false,adammynott
LillyLyle,normal_user,"RT @adammynott: #Tunisia Drama in our hotel. Militia with clubs on 1st floor, me on the 5th, soldiers in the grounds.",2011-01-16 14:28:11,false,adammynott
rossofcourse,normal_user,"RT @adammynott: #Tunisia Drama in our hotel. Militia with clubs on 1st floor, me on the 5th, soldiers in the grounds.",2011-01-16 14:28:39,false,adammynott
ameliadowd,normal_user,"RT @adammynott: #Tunisia Drama in our hotel. Militia with clubs on 1st floor, me on the 5th, soldiers in the grounds.",2011-01-16 14:28:54,false,adammynott
CamillePolloni,normal_user,"RT @adammynott: #Tunisia Drama in our hotel. Militia with clubs on 1st floor, me on the 5th, soldiers in the grounds.",2011-01-16 14:29:16,false,adammynott
denisfitz,normal_user,"RT @garethoconnor: Tunis &gt; RT @adammynott #Tunisia Drama in our hotel. Militia with clubs on 1st floor, me on the 5th, soldiers in th ...",2011-01-16 14:29:37,false,garethoconnor
dianakola,normal_user,"BBC journalist in Tunis RT @adammynott #Tunisia Drama in our hotel. Militia with clubs on 1st floor, me on the 5th, soldiers in the grounds.",2011-01-16 14:30:10,false,n/a
PoliticalBee,normal_user,"RT @marmite_news: ➽ #Tunisia Drama in our hotel. Militia with clubs on 1st floor, me on the 5th, soldiers in the grounds. via @adammynot ...",2011-01-16 14:30:30,false,marmite_news
JasminTN,normal_user,"RT @Selim_: “@adammynott: #Tunisia Drama in our hotel. Militia with clubs on 1st floor, me on the 5th, soldiers in the grounds.” #sidibouzid",2011-01-16 14:34:07,false,Selim_
merqueen234,normal_user,"RT @adammynott: #Tunisia Drama in our hotel. Militia with clubs on 1st floor, me on the 5th, soldiers in the grounds.",2011-01-16 14:38:01,false,adammynott
DirtyJos,normal_user,"RT @adammynott: #Tunisia Drama in our hotel. Militia with clubs on 1st floor, me on the 5th, soldiers in the grounds.",2011-01-16 14:38:01,false,adammynott
ibnkafka,blogger,"RT @garethoconnor: Tunis &gt; RT @adammynott #Tunisia Drama in our hotel. Militia with clubs on 1st floor, me on the 5th, soldiers in th ...",2011-01-16 14:38:05,false,garethoconnor
JerryCaA,normal_user,"RT @adammynott: #Tunisia Drama in our hotel. Militia with clubs on 1st floor, me on the 5th, soldiers in the grounds.",2011-01-16 14:38:22,false,adammynott
veniviedivici,normal_user,"RT @adammynott: #Tunisia Drama in our hotel. Militia with clubs on 1st floor, me on the 5th, soldiers in the grounds.",2011-01-16 14:38:24,false,adammynott
io_floriano,normal_user,"RT @adammynott: #Tunisia Drama in our hotel. Militia with clubs on 1st floor, me on the 5th, soldiers in the grounds.",2011-01-16 14:38:28,false,n/a
nashwanasreldin,normal_user,"RT @garethoconnor: Tunis &gt; RT @adammynott #Tunisia Drama in our hotel. Militia with clubs on 1st floor, me on the 5th, soldiers in th ...",2011-01-16 14:38:48,false,garethoconnor
bumblebums,normal_user,"RT @adammynott: #Tunisia Drama in our hotel. Militia with clubs on 1st floor, me on the 5th, soldiers in the grounds.",2011-01-16 14:38:58,false,n/a
vabolium,normal_user,"RT @WilliamsJon: Most journalists in same hotel  RT @adammynott: #Tunisia Drama in our hotel. Militia with clubs on 1st floor, me on 5th ...",2011-01-16 14:39:15,false,WilliamsJon
BBCAfricaHYS,normal_user,"RT @adammynott: #Tunisia Drama in our hotel. Militia with clubs on 1st floor, me on the 5th, soldiers in the grounds.",2011-01-16 14:39:37,false,adammynott
JillyCL,normal_user,"RT @adammynott: #Tunisia Drama in our hotel. Militia with clubs on 1st floor, me on the 5th, soldiers in the grounds.",2011-01-16 14:39:41,false,adammynott
sachab,normal_user,"RT @adammynott: #Tunisia Drama in our hotel. Militia with clubs on 1st floor, me on the 5th, soldiers in the grounds.",2011-01-16 14:40:20,false,adammynott
browntoby,normal_user,"RT @adammynott: #Tunisia Drama in our hotel. Militia with clubs on 1st floor, me on the 5th, soldiers in the grounds.",2011-01-16 14:52:33,false,adammynott
NoraHamadi,normal_user,"“@adammynott: #Tunisia Drama in our hotel. Militia with clubs on 1st floor, me on the 5th, soldiers in the grounds.”",2011-01-16 14:52:45,false,n/a
lacanlune,normal_user,"RT @adammynott: #Tunisia Drama in our hotel. Militia with clubs on 1st floor, me on the 5th, soldiers in the grounds.",2011-01-16 14:52:48,false,adammynott
Armada81,normal_user,"RT @adammynott: #Tunisia Drama in our hotel. Militia with clubs on 1st floor, me on the 5th, soldiers in the grounds.",2011-01-16 14:52:51,false,adammynott
3llam,normal_user,"RT @adammynott: #Tunisia Drama in our hotel. Militia with clubs on 1st floor, me on the 5th, soldiers in the grounds.",2011-01-16 14:53:08,false,adammynott
jamiejkerr,normal_user,"RT @adammynott: #Tunisia Drama in our hotel. Militia with clubs on 1st floor, me on the 5th, soldiers in the grounds.",2011-01-16 14:54:13,false,adammynott
Loredina,normal_user,"RT @adammynott: #Tunisia Drama in our hotel. Militia with clubs on 1st floor, me on the 5th, soldiers in the grounds.",2011-01-16 14:55:21,false,adammynott
kakouik,normal_user,"RT @adammynott: #Tunisia Drama in our hotel. Militia with clubs on 1st floor, me on the 5th, soldiers in the grounds.",2011-01-16 14:55:21,false,adammynott
john_hooper,normal_user,"RT @adammynott: #Tunisia Drama in our hotel. Militia with clubs on 1st floor, me on the 5th, soldiers in the grounds.",2011-01-16 14:55:31,false,n/a
thethingisgav,normal_user,"RT @john_hooper: RT @adammynott: #Tunisia Drama in our hotel. Militia with clubs on 1st floor, me on the 5th, soldiers in the grounds.",2011-01-16 15:15:53,false,john_hooper
timlovejoy,normal_user,"RT @adammynott: #Tunisia Drama in our hotel. Militia with clubs on 1st floor, me on the 5th, soldiers in the grounds.",2011-01-16 15:16:37,false,adammynott
redinnorthants,normal_user,"RT @adammynott: #Tunisia Drama in our hotel. Militia with clubs on 1st floor, me on the 5th, soldiers in the grounds.",2011-01-16 15:24:37,false,adammynott
rashersambo,normal_user,"@garethoconnor  RT @adammynott: #Tunisia Drama in our hotel. Militia with clubs on 1st floor, me on the 5th, soldiers in the grounds.",2011-01-16 15:24:48,false,garethoconnor
MatthewWells,normal_user,"RT @adammynott: #Tunisia Drama in our hotel. Militia with clubs on 1st floor, me on the 5th, soldiers in the grounds.",2011-01-16 15:25:04,false,adammynott
Marg2202,normal_user,"RT @adammynott: #Tunisia Drama in our hotel. Militia with clubs on 1st floor, me on the 5th, soldiers in the grounds.",2011-01-16 15:34:24,false,adammynott
Saisi_,normal_user,"RT @adammynott: #Tunisia Drama in our hotel. Militia with clubs on 1st floor, me on the 5th, soldiers in the grounds.",2011-01-16 15:34:53,false,adammynott
favstar_pop,normal_user,"RT @adammynott: #Tunisia Drama in our hotel. Militia with clubs on 1st floor, me on the 5th, soldiers in the grounds.",2011-01-16 15:35:00,false,adammynott
JeanCallan,normal_user,"RT @adammynott: #Tunisia Drama in our hotel. Militia with clubs on 1st floor, me on the 5th, soldiers in the grounds.",2011-01-16 15:35:27,false,adammynott
DarryllEaton,normal_user,"RT @adammynott: #Tunisia Drama in our hotel. Militia with clubs on 1st floor, me on the 5th, soldiers in the grounds.",2011-01-16 15:35:28,false,adammynott
chicgibson,normal_user,"RT @adammynott: #Tunisia Drama in our hotel. Militia with clubs on 1st floor, me on the 5th, soldiers in the grounds.",2011-01-16 15:37:04,false,adammynott
IanJamesyJames,normal_user,"RT @adammynott: #Tunisia Drama in our hotel. Militia with clubs on 1st floor, me on the 5th, soldiers in the grounds.",2011-01-16 15:37:29,false,adammynott
LizzyPhillips78,normal_user,"RT @adammynott: #Tunisia Drama in our hotel. Militia with clubs on 1st floor, me on the 5th, soldiers in the grounds.",2011-01-16 15:37:35,false,adammynott
pswider,normal_user,"RT @adammynott: #Tunisia Drama in our hotel. Militia with clubs on 1st floor, me on the 5th, soldiers in the grounds.",2011-01-16 15:38:50,false,adammynott
copperhead7903,normal_user,"RT @adammynott: #Tunisia Drama in our hotel. Militia with clubs on 1st floor, me on the 5th, soldiers in the grounds.",2011-01-16 15:39:29,false,adammynott
sharrabang10,normal_user,"RT @adammynott: #Tunisia Drama in our hotel. Militia with clubs on 1st floor, me on the 5th, soldiers in the grounds.",2011-01-16 15:40:05,false,adammynott
sotonbod,normal_user,"RT @adammynott: #Tunisia Drama in our hotel. Militia with clubs on 1st floor, me on the 5th, soldiers in the grounds.",2011-01-16 15:40:40,false,adammynott
SGFMann,normal_user,"RT @adammynott: #Tunisia Drama in our hotel. Militia with clubs on 1st floor, me on the 5th, soldiers in the grounds.",2011-01-16 15:49:13,false,adammynott
randomirishnews,normal_user,"RT @adammynott: #Tunisia Drama in our hotel. Militia with clubs on 1st floor, me on the 5th, soldiers in the grounds.",2011-01-16 15:49:17,false,adammynott
Gary_Barlow,normal_user,"RT @adammynott: #Tunisia Drama in our hotel. Militia with clubs on 1st floor, me on the 5th, soldiers in the grounds.",2011-01-16 15:53:36,false,adammynott
inouk03,normal_user,"RT @adammynott: #Tunisia Drama in our hotel. Militia with clubs on 1st floor, me on the 5th, soldiers in the grounds.",2011-01-16 16:25:47,false,adammynott
TheAngryindian,normal_user,"RT @adammynott: #Tunisia Drama in our hotel. Militia with clubs on 1st floor, me on the 5th, soldiers in the grounds.",2011-01-16 17:05:18,false,n/a
leandrojacruz,normal_user,"RT @adammynott: #Tunisia Drama in our hotel. Militia with clubs on 1st floor, me on the 5th, soldiers in the grounds.",2011-01-16 17:37:00,false,adammynott
Derklin,normal_user,"RT @adammynott: #Tunisia Drama in our hotel. Militia with clubs on 1st floor, me on the 5th, soldiers in the grounds.",2011-01-16 22:19:49,false,adammynott
ladiefen,normal_user,"RT @adammynott: #Tunisia Drama in our hotel. Militia with clubs on 1st floor, me on the 5th, soldiers in the grounds.",2011-01-16 22:24:40,false,adammynott
Soheb,normal_user,"RT @adammynott: #Tunisia Drama in our hotel. Militia with clubs on 1st floor, me on the 5th, soldiers in the grounds.",2011-01-16 22:44:07,false,adammynott
