screen_name,relevant_total,irrelevant_total,friends_count,friends_percentile,followers_count,followers_percentile,statuses_count,statuses_percentile,created_at,relevant_user_gets_retweeted,relevant_user_retweets,relevant_percent_user_gets_retweeted,relevant_percent_user_retweets,irrelevant_user_gets_retweeted,irrelevant_user_retweets,irrelevant_percent_user_gets_retweeted,irrelevant_percent_user_retweets
AliAldafiri,2,21,82,0.989396014668846,7291,0.989396014668846,2360,0.989396014668846,2009-07-01 00:18:13,1,0,0.5,0.0,3,0,0.142857142857143,0.0
SBZ_news,1,32,7,0.952944815093006,2148,0.952944815093006,3905,0.952944815093006,2010-12-27 11:17:36,0,0,0.0,0.0,16,0,0.5,0.0
Emnabenjemaa,2,95,458,0.973490036672116,3386,0.973490036672116,9975,0.973490036672116,2009-05-10 18:33:20,2,0,1.0,0.0,37,0,0.389473684210526,0.0
ibnkafka,26,79,1919,0.962046569168913,2543,0.962046569168913,30110,0.962046569168913,2008-03-29 12:40:21,16,0,0.615384615384615,0.0,48,0,0.607594936708861,0.0
HendSabry,n/a,n/a,272,0.983696372553351,5107,0.983696372553351,748,0.983696372553351,2009-06-16 22:51:44,"","",n/a,n/a,"","",n/a,n/a
ayman_nour,n/a,28,1557,0.99169354482393,8969,0.99169354482393,2202,0.99169354482393,2009-10-08 16:32:44,"","",n/a,n/a,25,0,0.892857142857143,0.0
balooot,2,86,89,0.987628683780321,6565,0.987628683780321,10747,0.987628683780321,2010-08-18 02:34:43,2,0,1.0,0.0,29,0,0.337209302325581,0.0
benmhennilina,6,13,417,0.957318959042107,2337,0.957318959042107,11091,0.957318959042107,2010-04-08 11:32:05,6,0,1.0,0.0,10,0,0.769230769230769,0.0
alahmarim,n/a,2,112,0.981929041664826,4706,0.981929041664826,1016,0.981929041664826,2010-01-15 07:28:52,"","",n/a,n/a,2,0,1.0,0.0
Almatrafi,1,131,48,0.980250077320726,4440,0.980250077320726,5986,0.980250077320726,2009-08-15 23:07:28,1,0,1.0,0.0,58,0,0.442748091603053,0.0
