screen_name,relevant_total,irrelevant_total,friends_count,friends_percentile,followers_count,followers_percentile,statuses_count,statuses_percentile,created_at,relevant_user_gets_retweeted,relevant_user_retweets,relevant_percent_user_gets_retweeted,relevant_percent_user_retweets,irrelevant_user_gets_retweeted,irrelevant_user_retweets,irrelevant_percent_user_gets_retweeted,irrelevant_percent_user_retweets
Brian_Whit,58,46,87,0.970573940706049,3136,0.970573940706049,2047,0.970573940706049,2009-02-20 15:41:03,56,0,0.96551724137931,0.0,38,0,0.826086956521739,0.0
tuniscope_,4,33,0,0.108867582733177,0,0.106260769672602,1404,0.108867582733177,2009-06-10 14:13:37,3,0,0.75,0.0,24,0,0.727272727272727,0.0
MideastChannel,3,103,999,0.967348561834489,2871,0.967348561834489,1540,0.967348561834489,2010-02-25 17:10:44,3,0,1.0,0.0,70,0,0.679611650485437,0.0
Jeune_Afrique,1,208,2773,0.980559360226218,4520,0.980559360226218,6650,0.980559360226218,2009-11-09 17:07:27,0,0,0.0,0.0,124,0,0.596153846153846,0.0
france24_ar,8,249,436,0.978571112976627,4117,0.978571112976627,10153,0.978571112976627,2009-03-18 09:24:42,8,0,1.0,0.0,158,0,0.634538152610442,0.0
aramram,1,98,2007,0.944196527194804,1856,0.944196527194804,2566,0.944196527194804,2010-02-01 15:13:18,1,0,1.0,0.0,53,0,0.540816326530612,0.0
rue89,1,171,103,0.998718685105819,78657,0.998718685105819,6564,0.998718685105819,2009-01-22 14:55:35,1,0,1.0,0.0,145,0,0.847953216374269,0.0
nprpolitics,4,121,0,0.105465470772765,0,0.0752441125789776,15054,0.105465470772765,2007-05-03 14:45:05,4,0,1.0,0.0,121,0,1.0,0.0
rww,1,250,0,0.100958777007025,0,0.0707374188132374,17556,0.100958777007025,2007-04-14 22:48:21,1,0,1.0,0.0,248,0,0.992,0.0
Metro_TV,n/a,1286,16,0.999867450183361,418347,0.999867450183361,41593,0.999867450183361,2009-07-16 06:19:23,"","",n/a,n/a,1267,0,0.985225505443235,0.0
nprnews,7,330,0,0.105509654044979,0,0.0752882958511908,24443,0.105509654044979,2007-04-22 05:10:15,7,0,1.0,0.0,328,0,0.993939393939394,0.0
lemondefr,10,792,176,0.999469800733442,172570,0.999469800733442,29407,0.999469800733442,2009-03-16 18:44:51,10,0,1.0,0.0,762,0,0.962121212121212,0.0
ANCALERTS,n/a,1257,545,0.99929306764459,134684,0.99929306764459,32139,0.99929306764459,2009-06-04 21:26:24,"","",n/a,n/a,1086,0,0.863961813842482,0.0
skynewsbreak,n/a,147,7,0.999204701100163,114439,0.999204701100163,5382,0.999204701100163,2009-11-04 11:25:45,"","",n/a,n/a,147,0,1.0,0.0
thedailybeast,1,513,436,0.998895418194672,94267,0.998895418194672,10909,0.998895418194672,2008-08-27 15:24:02,1,0,1.0,0.0,481,0,0.937621832358674,0.0
vivanews,1,972,3408,0.998851234922458,93934,0.998851234922458,28017,0.998851234922458,2009-05-22 02:19:27,1,0,1.0,0.0,836,0,0.860082304526749,0.0
Rue89,1,171,103,0.998718685105819,78657,0.998718685105819,6564,0.998718685105819,2009-01-22 14:55:35,1,0,1.0,0.0,145,0,0.847953216374269,0.0
inquirerdotnet,n/a,1315,244,0.998674501833606,77903,0.998674501833606,77391,0.998674501833606,2008-07-16 00:36:41,"","",n/a,n/a,994,0,0.755893536121673,0.0
bbcbrasil,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,"","",n/a,n/a,"","",n/a,n/a
liputan6dotcom,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,"","",n/a,n/a,"","",n/a,n/a
